时间,前值,现值,发布日期
2008年01月,15592,16984.0,2008-02-04
2008年02月,16984,14384.0,2008-03-06
2008年03月,14384,10993.0,2008-04-04
2008年04月,10993,10945.0,2008-05-05
2008年05月,10945,10138.0,2008-06-04
2008年06月,10138,11876.0,2008-07-05
2008年07月,11876,8930.0,2008-08-04
2008年08月,8930,6402.0,2008-09-04
2008年09月,6402,7369.0,2008-10-05
2008年10月,7369,6054.0,2008-11-04
2008年11月,6054,3786.0,2008-12-05
2008年12月,3786,5437.0,2009-01-04
2009年01月,5437,5759.0,2009-02-04
2009年02月,5759,5043.0,2009-03-07
2009年03月,5043,8062.0,2009-04-04
2009年04月,8062,11148.0,2009-05-05
2009年05月,11148,13067.0,2009-06-04
2009年06月,13067,15747.0,2009-07-05
2009年07月,15747,14039.0,2009-08-04
2009年08月,14039,13245.0,2009-09-04
2009年09月,13245,14437.0,2009-10-05
2009年10月,14437,11112.0,2009-11-04
2009年11月,11112,11191.0,2009-12-05
2009年12月,11191,11112.0,2010-01-04
2010年01月,11112,12380.0,2010-02-04
2010年02月,12380,13423.0,2010-03-07
2010年03月,13423,12706.0,2010-04-04
2010年04月,12706,14300.0,2010-05-05
2010年05月,14300,13325.0,2010-06-04
2010年06月,13325,11128.0,2010-07-05
2010年07月,11128,14885.0,2010-08-04
2010年08月,14885,16946.0,2010-09-04
2010年09月,16946,13749.0,2010-10-05
2010年10月,13749,12140.0,2010-11-04
2010年11月,12140,15967.0,2010-12-05
2010年12月,15967,11790.0,2011-01-04
2011年01月,11790,9917.0,2011-02-04
2011年02月,9917,12401.0,2011-03-07
2011年03月,12401,13501.0,2011-04-04
2011年04月,13501,10386.0,2011-05-05
2011年05月,10386,12536.0,2011-06-04
2011年06月,12536,11601.0,2011-07-05
2011年07月,11601,7291.0,2011-08-04
2011年08月,7291,7348.0,2011-09-04
2011年09月,7348,6579.0,2011-10-05
2011年10月,6579,5675.0,2011-11-04
2011年11月,5675,5982.0,2011-12-05
2011年12月,5982,5597.0,2012-01-04
2012年01月,5597,4490.0,2012-02-04
2012年02月,4490,5425.0,2012-03-06
2012年03月,5425,14306.0,2012-04-04
2012年04月,14306,10728.0,2012-05-05
2012年05月,10728,11484.0,2012-06-04
2012年06月,11484,8389.0,2012-07-05
2012年07月,8389,7706.0,2012-08-04
2012年08月,7706,10377.0,2012-09-04
2012年09月,10377,9990.0,2012-10-05
2012年10月,9990,11928.0,2012-11-04
2012年11月,11928,11581.0,2012-12-05
2012年12月,11581,9129.0,2013-01-03
2013年01月,9129,8302.0,2013-02-04
2013年02月,8302,9643.0,2013-03-04
2013年03月,9643,6841.0,2013-05-03
2013年04月,6841,4387.0,2013-06-04
2013年05月,4387,5288.0,2013-07-03
2013年06月,5288,4616.0,2013-08-02
2013年07月,4616,5489.0,2013-09-03
2013年08月,5489,5111.0,2013-10-03
2013年09月,5111,5114.0,2013-11-04
2013年10月,5114,4648.0,2013-12-03
2013年11月,4648,5061.0,2013-12-03
2013年12月,5061,6003.0,2014-02-05
2014年01月,6003,5817.0,2014-03-04
2014年02月,5817,3987.0,2014-04-02
2014年03月,3987,4184.0,2014-04-02
2014年04月,4184,6012.0,2014-06-04
2014年05月,6012,6785.0,2014-06-04
2014年06月,6785,7404.0,2014-07-03
2014年07月,7404,9400.0,2014-08-04
2014年08月,9400,7902.0,2014-09-02
2014年09月,7902,7996.0,2014-10-06
2014年10月,7996,7967.0,2014-11-04
2014年11月,7967,6457.0,2014-12-02
2014年12月,6457,7578.0,2015-01-06
2015年01月,7578,8310.0,2015-02-03
2015年02月,8310,8060.0,2015-03-03
2015年03月,8060,6211.0,2015-04-02
2015年04月,6211,6223.0,2015-05-05
2015年05月,6223,6839.0,2015-06-02
2015年06月,6839,7993.0,2015-07-03
2015年07月,7993,7338.0,2015-08-04
2015年08月,7338,5197.0,2015-09-02
2015年09月,5197,5467.0,2015-10-05
2015年10月,5467,4491.0,2015-11-03
2015年11月,4491,4736.0,2015-12-02
2015年12月,4736,5294.0,2016-01-05
2016年01月,5294,3123.0,2016-02-02
2016年02月,3123,2583.0,2016-03-02
2016年03月,2583,3154.0,2016-04-05
2016年04月,3154,5613.0,2016-05-04
