时间,前值,现值,发布日期
2008年01月,78.4,77.9,2008-02-21
2008年02月,77.9,79.0,2008-03-23
2008年03月,79.0,79.0,2008-04-21
2008年04月,79.0,79.5,2008-05-22
2008年05月,79.5,79.7,2008-06-21
2008年06月,79.7,80.4,2008-07-22
2008年07月,80.4,81.0,2008-08-21
2008年08月,81.0,79.7,2008-09-21
2008年09月,79.7,78.6,2008-10-22
2008年10月,78.6,78.9,2008-11-21
2008年11月,78.9,80.3,2008-12-22
2008年12月,80.3,80.0,2009-01-21
2009年01月,80.0,80.3,2009-02-21
2009年02月,80.3,79.7,2009-03-24
2009年03月,79.7,79.9,2009-04-21
2009年04月,79.9,80.0,2009-05-22
2009年05月,80.0,79.8,2009-06-21
2009年06月,79.8,79.7,2009-07-22
2009年07月,79.7,79.7,2009-08-21
2009年08月,79.7,78.4,2009-09-21
2009年09月,78.4,78.9,2009-10-22
2009年10月,78.9,80.9,2009-11-21
2009年11月,80.9,80.9,2009-12-22
2009年12月,80.9,81.3,2010-01-21
2010年01月,81.3,81.3,2010-02-21
2010年02月,81.3,82.1,2010-03-24
2010年03月,82.1,81.6,2010-04-21
2010年04月,81.6,82.1,2010-05-22
2010年05月,82.1,82.0,2010-06-21
2010年06月,82.0,82.1,2010-07-22
2010年07月,82.1,80.2,2010-08-21
2010年08月,80.2,80.2,2010-09-21
2010年09月,80.2,80.4,2010-10-22
2010年10月,80.4,82.9,2010-11-21
2010年11月,82.9,83.2,2010-12-22
2010年12月,83.2,83.6,2011-01-21
2011年01月,83.6,84.1,2011-02-21
2011年02月,84.1,85.0,2011-03-24
2011年03月,85.0,85.2,2011-04-21
2011年04月,85.2,85.8,2011-05-22
2011年05月,85.8,86.3,2011-06-21
2011年06月,86.3,86.7,2011-07-22
2011年07月,86.7,86.5,2011-08-21
2011年08月,86.5,84.8,2011-09-21
2011年09月,84.8,85.1,2011-10-22
2011年10月,85.1,87.7,2011-11-21
2011年11月,87.7,87.9,2011-12-22
2011年12月,87.9,88.4,2012-01-21
2012年01月,88.4,89.2,2012-02-21
2012年02月,89.2,89.0,2012-03-23
2012年03月,89.0,89.4,2012-04-21
2012年04月,89.4,89.9,2012-05-22
2012年05月,89.9,89.9,2012-06-21
2012年06月,89.9,89.9,2012-07-22
2012年07月,89.9,88.0,2012-08-21
2012年08月,88.0,88.0,2012-09-21
2012年09月,88.0,88.3,2012-10-22
2012年10月,88.3,91.0,2012-11-21
2012年11月,91.0,91.2,2012-12-22
2012年12月,91.2,91.7,2013-01-21
2013年01月,91.7,91.9,2013-02-21
2013年02月,91.9,92.8,2013-03-24
2013年03月,92.8,92.7,2013-04-21
2013年04月,92.7,93.5,2013-05-22
2013年05月,93.5,93.4,2013-06-21
2013年06月,93.4,93.6,2013-07-22
2013年07月,93.6,94.1,2013-08-21
2013年08月,94.1,91.9,2013-09-21
2013年09月,91.9,92.4,2013-10-22
2013年10月,92.4,94.9,2013-11-21
2013年11月,94.9,95.2,2013-12-22
2013年12月,95.2,95.6,2014-01-21
2014年01月,95.6,96.1,2014-02-21
2014年02月,96.1,96.5,2014-03-24
2014年03月,96.5,96.3,2014-04-21
2014年04月,96.3,97.0,2014-05-22
2014年05月,97.0,96.9,2014-06-21
2014年06月,96.9,96.9,2014-07-22
2014年07月,96.9,97.9,2014-08-21
2014年08月,97.9,95.6,2014-09-21
2014年09月,95.6,98.5,2014-10-22
2014年10月,98.5,99.8,2014-11-21
2014年11月,99.8,100.0,2014-12-22
2014年12月,100.0,100.3,2015-01-21
2015年01月,100.3,100.0,2015-02-21
2015年02月,100.0,100.8,2015-03-24
2015年03月,100.8,100.5,2015-04-21
2015年04月,100.5,99.7,2015-05-22
2015年05月,99.7,99.7,2015-06-21
2015年06月,99.7,99.8,2015-07-22
2015年07月,99.8,100.3,2015-08-21
2015年08月,100.3,98.6,2015-09-21
2015年09月,98.6,100.5,2015-10-22
2015年10月,100.5,102.1,2015-11-21
2015年11月,102.1,102.3,2015-12-22
2015年12月,102.3,102.6,2016-01-21
2016年01月,102.6,102.5,2016-02-21
2016年02月,102.5,103.8,2016-03-23
2016年03月,103.8,103.4,2016-04-21
2016年04月,103.4,102.4,2016-05-22
