时间,前值,现值,发布日期
2008第1季度,458870,418762.0,2008-05-15
2008第2季度,418762,409388.0,2008-08-15
2008第3季度,409388,436152.0,2008-11-15
2008第4季度,436152,443186.0,2009-02-14
2009第1季度,443186,389033.0,2009-05-15
2009第2季度,389033,396706.0,2009-08-15
2009第3季度,396706,421283.0,2009-11-15
2009第4季度,421283,452223.0,2010-02-14
2010第1季度,452223,422783.0,2010-05-15
2010第2季度,422783,412768.0,2010-08-15
2010第3季度,412768,456830.0,2010-11-15
2010第4季度,456830,483951.0,2011-02-14
2011第1季度,483951,463467.0,2011-05-15
2011第2季度,463467,456607.0,2011-08-15
2011第3季度,456607,495500.0,2011-11-15
2011第4季度,495500,518856.0,2012-02-14
2012第1季度,518856,483654.0,2012-05-15
2012第2季度,483654,473958.0,2012-08-15
2012第3季度,473958,523740.0,2012-11-15
2012第4季度,523740,555707.0,2013-02-14
2013第1季度,555707,509631.0,2013-05-15
2013第2季度,509631,492375.0,2013-08-15
2013第3季度,492375,551059.0,2013-11-15
2013第4季度,551059,585240.0,2014-02-14
2014第1季度,585240,535907.0,2014-05-15
2014第2季度,535907,526194.0,2014-08-15
2014第3季度,526194,580793.0,2014-11-15
2014第4季度,580793,617111.0,2015-02-14
2015第1季度,617111,572160.0,2015-05-15
2015第2季度,572160,565750.0,2015-08-15
2015第3季度,565750,614251.0,2015-11-15
2015第4季度,614251,646119.0,2016-02-14
2016第1季度,646119,590572.0,2016-05-15
2016第2季度,590572,585155.0,2016-08-15
2016第3季度,585155,636400.0,2016-11-15
2016第4季度,636400,678471.0,2017-02-14
2017第1季度,678471,631450.0,2017-05-15
2017第2季度,631450,628300.0,2017-08-15
2017第3季度,628300,679453.0,2017-11-15
2017第4季度,679453,720408.0,2018-02-14
2018第1季度,720408,684576.0,2018-05-15
2018第2季度,684576,673782.0,2018-08-15
2018第3季度,673782,723381.0,2018-11-15
2018第4季度,723381,753690.0,2019-02-14
2019第1季度,753690,702601.0,2019-05-17
2019第2季度,702601,688922.0,2019-08-16
2019第3季度,688922,714029.0,2019-11-15
2019第4季度,714029,739470.0,2020-02-10
2020第1季度,739470,654083.0,2020-05-15
2020第2季度,654083,627597.0,2020-08-14
2020第3季度,627597,687240.0,2020-11-13
2020第4季度,687240,706873.0,2021-02-24
2021第1季度,706873,705034.0,2021-05-14
2021第2季度,705034,678768.0,2021-08-20
2021第3季度,678768,730394.0,2021-11-12
2021第4季度,730394,753426.0,2022-02-23
2022第1季度,753426,684813.0,2022-05-13
2022第2季度,684813,674635.0,2022-08-12
2022第3季度,674635,717540.0,2022-11-11
2022第4季度,717540,731993.0,2023-02-22
2023第1季度,731993,718925.0,2023-05-12
2023第2季度,718925,704144.0,2023-08-11
2023第3季度,704144,766327.0,2023-11-10
2023第4季度,766327,794012.0,2024-02-28
2024第1季度,794012,768444.0,2024-05-17
2024第2季度,768444,759309.0,2024-08-16
2024第3季度,759309,820038.0,2024-11-15
2024第4季度,820038,839050.0,2025-02-26
2025第1季度,839050,802884.0,2025-05-16
2025第2季度,802884,789146.0,2025-08-15
2025第3季度,789146,857664.0,2025-11-14
2025第4季度,857664,882080.0,2026-02-25
2026第1季度,882080,,2026-05-15
