时间,前值,现值,发布日期
2008第1季度,12.3,9.7,2008-05-15
2008第2季度,9.7,6.0,2008-08-15
2008第3季度,6.0,2.9,2008-11-15
2008第4季度,2.9,-3.4,2009-02-14
2009第1季度,-3.4,-7.1,2009-05-15
2009第2季度,-7.1,-3.1,2009-08-15
2009第3季度,-3.1,-3.4,2009-11-15
2009第4季度,-3.4,2.0,2010-02-14
2010第1季度,2.0,8.7,2010-05-15
2010第2季度,8.7,4.0,2010-08-15
2010第3季度,4.0,8.4,2010-11-15
2010第4季度,8.4,7.0,2011-02-14
2011第1季度,7.0,9.6,2011-05-15
2011第2季度,9.6,10.6,2011-08-15
2011第3季度,10.6,8.5,2011-11-15
2011第4季度,8.5,7.2,2012-02-14
2012第1季度,7.2,4.4,2012-05-15
2012第2季度,4.4,3.8,2012-08-15
2012第3季度,3.8,5.7,2012-11-15
2012第4季度,5.7,7.1,2013-02-14
2013第1季度,7.1,5.4,2013-05-15
2013第2季度,5.4,3.9,2013-08-15
2013第3季度,3.9,5.2,2013-11-15
2013第4季度,5.2,5.3,2014-02-14
2014第1季度,5.3,5.2,2014-05-15
2014第2季度,5.2,6.9,2014-08-15
2014第3季度,6.9,5.4,2014-11-15
2014第4季度,5.4,5.4,2015-02-14
2015第1季度,5.4,6.8,2015-05-15
2015第2季度,6.8,7.5,2015-08-15
2015第3季度,7.5,5.8,2015-11-15
2015第4季度,5.8,4.7,2016-02-14
2016第1季度,4.7,3.2,2016-05-15
2016第2季度,3.2,3.4,2016-08-15
2016第3季度,3.4,3.6,2016-11-15
2016第4季度,3.6,5.0,2017-02-14
2017第1季度,5.0,6.9,2017-05-15
2017第2季度,6.9,7.4,2017-08-15
2017第3季度,7.4,6.8,2017-11-15
2017第4季度,6.8,6.2,2018-02-14
2018第1季度,6.2,8.4,2018-05-15
2018第2季度,8.4,7.2,2018-08-15
2018第3季度,7.2,6.5,2018-11-15
2018第4季度,6.5,4.6,2019-02-14
2019第1季度,4.6,2.6,2019-05-17
2019第2季度,2.6,2.2,2019-08-16
2019第3季度,2.2,-1.3,2019-11-15
2019第4季度,-1.3,-1.9,2020-02-10
2020第1季度,-1.9,-6.9,2020-05-15
2020第2季度,-6.9,-8.9,2020-08-14
2020第3季度,-8.9,-3.8,2020-11-13
2020第4季度,-3.8,-4.4,2021-02-24
2021第1季度,-4.4,7.8,2021-05-14
2021第2季度,7.8,8.2,2021-08-20
2021第3季度,8.2,6.3,2021-11-12
2021第4季度,6.3,6.6,2022-02-23
2022第1季度,6.6,-2.9,2022-05-13
2022第2季度,-2.9,-0.6,2022-08-12
2022第3季度,-0.6,-1.8,2022-11-11
2022第4季度,-1.8,-2.9,2023-02-22
2023第1季度,-2.9,5.0,2023-05-12
2023第2季度,5.0,4.4,2023-08-11
2023第3季度,4.4,6.8,2023-11-10
2023第4季度,6.8,8.5,2024-02-28
2024第1季度,8.5,7.0,2024-05-17
2024第2季度,7.0,7.9,2024-08-16
2024第3季度,7.9,7.1,2024-11-15
2024第4季度,7.1,5.7,2025-02-26
2025第1季度,5.7,4.5,2025-05-16
2025第2季度,4.5,3.9,2025-08-15
2025第3季度,3.9,4.6,2025-11-14
2025第4季度,4.6,5.1,2026-02-25
2026第1季度,5.1,,2026-05-15
