时间,前值,现值,发布日期
2008第1季度,4.4,5.9,2008-06-13
2008第2季度,5.9,6.9,2008-09-12
2008第3季度,6.9,5.8,2008-12-12
2008第4季度,5.8,3.9,2009-03-13
2009第1季度,3.9,-1.4,2009-06-12
2009第2季度,-1.4,-2.97,2009-09-14
2009第3季度,-2.97,-2.0,2009-12-14
2009第4季度,-2.0,-0.3,2010-03-12
2010第1季度,-0.3,4.1,2010-06-14
2010第2季度,4.1,5.92,2010-09-13
2010第3季度,5.92,6.43,2010-12-13
2010第4季度,6.43,7.62,2011-03-11
2011第1季度,7.62,8.17,2011-06-13
2011第2季度,8.17,8.97,2011-09-15
2011第3季度,8.97,9.59,2011-12-13
2011第4季度,9.59,6.61,2012-03-12
2012第1季度,6.61,3.64,2012-06-14
2012第2季度,3.64,-0.62,2012-09-13
2012第3季度,-0.62,-1.49,2012-12-13
2012第4季度,-1.49,-1.0,2013-03-14
2013第1季度,-1.0,0.6,2013-06-14
2013第2季度,0.6,-2.4,2013-09-12
2013第3季度,-2.4,-5.2,2013-12-12
2013第4季度,-5.2,-5.5,2014-03-13
2014第1季度,-5.5,-6.3,2014-06-13
2014第2季度,-6.3,-0.4,2014-09-12
2014第3季度,-0.4,1.3,2014-12-12
2014第4季度,1.3,-1.2,2015-03-13
2015第1季度,-1.2,-0.6,2015-06-12
2015第2季度,-0.6,-2.8,2015-09-14
2015第3季度,-2.8,-4.4,2015-12-14
2015第4季度,-4.4,-3.2,2016-03-14
2016第1季度,-3.2,-2.8,2016-06-14
2016第2季度,-2.8,0.4,2016-09-13
2016第3季度,0.4,3.9,2016-12-13
2016第4季度,3.9,4.0,2017-03-13
2017第1季度,4.0,4.2,2017-06-13
2017第2季度,4.2,3.7,2017-09-14
2017第3季度,3.7,3.7,2017-12-14
2017第4季度,3.7,3.5,2018-03-13
2018第1季度,3.5,3.8,2018-06-14
2018第2季度,3.8,3.8,2018-09-13
2018第3季度,3.8,0.1,2018-12-14
2018第4季度,0.1,0.3,2019-03-14
2019第1季度,0.3,0.8,2019-06-14
2019第2季度,0.8,0.8,2019-09-12
2019第3季度,0.8,1.4,2019-12-13
2019第4季度,1.4,1.1,2020-03-13
2020第1季度,1.1,1.3,2020-06-12
2020第2季度,1.3,1.3,2020-09-14
2020第3季度,1.3,3.8,2020-12-14
2020第4季度,3.8,2.9,2021-03-12
2021第1季度,2.9,1.9,2021-06-15
2021第2季度,1.9,2.7,2021-09-13
2021第3季度,2.7,-0.8,2021-12-13
2021第4季度,-0.8,1.2,2022-03-14
2022第1季度,1.2,2.3,2022-06-14
2022第2季度,2.3,0.8,2022-09-14
2022第3季度,0.8,0.4,2022-12-13
2022第4季度,0.4,-0.3,2023-03-14
2023第1季度,-0.3,0.9,2023-06-15
2023第2季度,0.9,-0.2,2023-09-13
2023第3季度,-0.2,3.0,2023-12-14
2023第4季度,3.0,2.7,2024-03-14
2024第1季度,2.7,1.2,2024-06-14
2024第2季度,1.2,3.1,2024-09-12
2024第3季度,3.1,3.2,2024-12-12
2024第4季度,3.2,4.1,2025-03-13
2025第1季度,4.1,4.8,2025-06-12
2025第2季度,4.8,4.0,2025-09-15
2025第3季度,4.0,7.7,2025-12-15
2025第4季度,7.7,9.5,2026-03-13
2026第1季度,9.5,,2026-06-12
