时间,前值,现值,发布日期
2008年01月,3.4,3.4,2008-02-18
2008年02月,3.4,3.3,2008-03-20
2008年03月,3.3,3.3,2008-04-18
2008年04月,3.3,3.3,2008-05-19
2008年05月,3.3,3.3,2008-06-18
2008年06月,3.3,3.2,2008-07-19
2008年07月,3.2,3.2,2008-08-18
2008年08月,3.2,3.3,2008-09-18
2008年09月,3.3,3.5,2008-10-19
2008年10月,3.5,3.6,2008-11-18
2008年11月,3.6,3.9,2008-12-19
2008年12月,3.9,4.1,2009-01-18
2009年01月,4.1,4.6,2009-02-18
2009年02月,4.6,5.1,2009-03-21
2009年03月,5.1,5.2,2009-04-18
2009年04月,5.2,5.3,2009-05-19
2009年05月,5.3,5.3,2009-06-18
2009年06月,5.3,5.3,2009-07-19
2009年07月,5.3,5.4,2009-08-18
2009年08月,5.4,5.5,2009-09-18
2009年09月,5.5,5.4,2009-10-19
2009年10月,5.4,5.2,2009-11-18
2009年11月,5.2,5.1,2009-12-19
2009年12月,5.1,5.0,2010-01-18
2010年01月,5.0,4.9,2010-02-18
2010年02月,4.9,4.7,2010-03-21
2010年03月,4.7,4.6,2010-04-18
2010年04月,4.6,4.5,2010-05-19
2010年05月,4.5,4.6,2010-06-18
2010年06月,4.6,4.6,2010-07-19
2010年07月,4.6,4.3,2010-08-18
2010年08月,4.3,4.3,2010-09-18
2010年09月,4.3,4.2,2010-10-19
2010年10月,4.2,4.2,2010-11-18
2010年11月,4.2,4.0,2010-12-19
2010年12月,4.0,3.9,2011-01-18
2011年01月,3.9,3.8,2011-02-18
2011年02月,3.8,3.6,2011-03-21
2011年03月,3.6,3.5,2011-04-18
2011年04月,3.5,3.6,2011-05-19
2011年05月,3.6,3.6,2011-06-18
2011年06月,3.6,3.6,2011-07-19
2011年07月,3.6,3.5,2011-08-18
2011年08月,3.5,3.3,2011-09-18
2011年09月,3.3,3.3,2011-10-19
2011年10月,3.3,3.3,2011-11-18
2011年11月,3.3,3.3,2011-12-19
2011年12月,3.3,3.3,2012-01-18
2012年01月,3.3,3.2,2012-02-18
2012年02月,3.2,3.4,2012-03-20
2012年03月,3.4,3.3,2012-04-18
2012年04月,3.3,3.3,2012-05-19
2012年05月,3.3,3.2,2012-06-18
2012年06月,3.2,3.3,2012-07-19
2012年07月,3.3,3.2,2012-08-18
2012年08月,3.2,3.3,2012-09-18
2012年09月,3.3,3.4,2012-10-19
2012年10月,3.4,3.4,2012-11-18
2012年11月,3.4,3.4,2012-12-19
2012年12月,3.4,3.2,2013-01-18
2013年01月,3.2,3.5,2013-02-18
2013年02月,3.5,3.5,2013-03-21
2013年03月,3.5,3.5,2013-04-18
2013年04月,3.5,3.5,2013-05-19
2013年05月,3.5,3.5,2013-06-18
2013年06月,3.5,3.4,2013-07-19
2013年07月,3.4,3.3,2013-08-18
2013年08月,3.3,3.3,2013-09-18
2013年09月,3.3,3.3,2013-10-19
2013年10月,3.3,3.3,2013-11-18
2013年11月,3.3,3.3,2013-12-19
2013年12月,3.3,3.2,2014-01-18
2014年01月,3.2,3.2,2014-02-18
2014年02月,3.2,3.1,2014-03-21
2014年03月,3.1,3.2,2014-04-18
2014年04月,3.2,3.2,2014-05-19
2014年05月,3.2,3.2,2014-06-18
2014年06月,3.2,3.2,2014-07-19
2014年07月,3.2,3.3,2014-08-18
2014年08月,3.3,3.3,2014-09-18
2014年09月,3.3,3.3,2014-10-19
2014年10月,3.3,3.3,2014-11-18
2014年11月,3.3,3.3,2014-12-19
2014年12月,3.3,3.3,2015-01-18
2015年01月,3.3,3.3,2015-02-18
2015年02月,3.3,3.3,2015-03-21
2015年03月,3.3,3.3,2015-04-18
2015年04月,3.3,3.3,2015-05-19
2015年05月,3.3,3.3,2015-06-18
2015年06月,3.3,3.3,2015-07-20
2015年07月,3.3,3.3,2015-08-18
2015年08月,3.3,3.3,2015-09-17
2015年09月,3.3,3.3,2015-10-19
2015年10月,3.3,3.3,2015-11-17
2015年11月,3.3,3.3,2015-12-17
2015年12月,3.3,3.3,2016-01-19
2016年01月,3.3,3.4,2016-02-23
2016年02月,3.4,3.4,2016-03-17
2016年03月,3.4,3.4,2016-04-19
2016年04月,3.4,3.4,2016-05-17
