统计时间,省市地区,原保险保费收入,财产险保费收入,人身险保费收入,人身险-寿险保费收入,人身险-健康险保费收入,人身险-意外险保费收入,养老保险公司企业年金缴费,原保险赔付支出,财产险保费赔付支出,人身险保费赔付支出,人身险-寿险赔付支出,人身险-健康险赔付支出,人身险-意外险赔付支出,业务及管理费,银行存款,投资,资产总额,养老保险公司企业年金受托管理资产,养老保险公司企业年金投资管理资产
2026.2,新疆,1900600.0,372400.0,,1182500.0,321600.0,24100.0,,,,,,,,,,,,,
2026.2,宁夏,694500.0,134500.0,,491600.0,61300.0,7100.0,,,,,,,,,,,,,
2026.2,青海,328100.0,94300.0,,194500.0,35400.0,3900.0,,,,,,,,,,,,,
2026.2,甘肃,1717100.0,253400.0,,1026200.0,420400.0,17100.0,,,,,,,,,,,,,
2026.2,陕西,3921300.0,470100.0,,2865300.0,557200.0,28700.0,,,,,,,,,,,,,
2026.2,西藏,188500.0,145000.0,,33300.0,5400.0,4800.0,,,,,,,,,,,,,
2026.2,云南,2529600.0,492800.0,,1380500.0,618500.0,37800.0,,,,,,,,,,,,,
2026.2,贵州,1456700.0,457100.0,,732200.0,245700.0,21600.0,,,,,,,,,,,,,
2026.2,四川,8602000.0,1150600.0,,5919100.0,1455800.0,76500.0,,,,,,,,,,,,,
2026.2,重庆,4369100.0,437200.0,,2873400.0,1030900.0,27700.0,,,,,,,,,,,,,
2026.2,海南,494700.0,164400.0,,275000.0,48000.0,7200.0,,,,,,,,,,,,,
2026.2,广西,2305100.0,466400.0,,1619900.0,184500.0,34400.0,,,,,,,,,,,,,
2026.2,广东,4835900.0,889200.0,,2732800.0,1138200.0,75700.0,,,,,,,,,,,,,
2026.2,广东,14476600.0,2142300.0,,10165500.0,1985000.0,183700.0,,,,,,,,,,,,,
2026.2,湖南,4713700.0,752400.0,,3379000.0,532900.0,49300.0,,,,,,,,,,,,,
2026.2,湖北,7375000.0,867700.0,,5196500.0,1246000.0,64800.0,,,,,,,,,,,,,
2026.2,河南,8781800.0,1408900.0,,5931500.0,1381100.0,60400.0,,,,,,,,,,,,,
2026.2,山东,1765500.0,261700.0,,1290600.0,198400.0,14800.0,,,,,,,,,,,,,
2026.2,山东,10082900.0,1387000.0,,7065900.0,1542800.0,87200.0,,,,,,,,,,,,,
2026.2,江西,3398700.0,522000.0,,2295900.0,553600.0,27200.0,,,,,,,,,,,,,
2026.2,福建,869000.0,147300.0,,554200.0,158800.0,8800.0,,,,,,,,,,,,,
2026.2,福建,3432600.0,475600.0,,2382100.0,536700.0,38200.0,,,,,,,,,,,,,
2026.2,安徽,5288800.0,885700.0,,3553000.0,799600.0,50500.0,,,,,,,,,,,,,
2026.2,浙江,1659700.0,319100.0,,1167200.0,160200.0,13200.0,,,,,,,,,,,,,
2026.2,浙江,10112600.0,1545600.0,,7069100.0,1412000.0,86000.0,,,,,,,,,,,,,
2026.2,江苏,18781900.0,2189200.0,,14034800.0,2432200.0,125600.0,,,,,,,,,,,,,
2026.2,上海,7587700.0,1325700.0,,5077400.0,1082400.0,102200.0,,,,,,,,,,,,,
2026.2,黑龙江,2702200.0,273900.0,,1938200.0,465700.0,24400.0,,,,,,,,,,,,,
2026.2,吉林,2128400.0,286700.0,,1530300.0,22100.0,289300.0,,,,,,,,,,,,,
2026.2,辽宁,1284300.0,159500.0,,967100.0,148600.0,9200.0,,,,,,,,,,,,,
2026.2,辽宁,3222700.0,447800.0,,2147000.0,596400.0,31400.0,,,,,,,,,,,,,
2026.2,内蒙古,2163200.0,330600.0,,1552100.0,262200.0,18300.0,,,,,,,,,,,,,
2026.2,山西,3286400.0,412300.0,,2394800.0,442900.0,36400.0,,,,,,,,,,,,,
2026.2,河北,6318100.0,972800.0,,4135900.0,1157800.0,51700.0,,,,,,,,,,,,,
2026.2,天津,2036300.0,295100.0,,1484000.0,237500.0,19700.0,,,,,,,,,,,,,
2026.2,北京,9404700.0,1110800.0,,6588300.0,1618300.0,87400.0,,,,,,,,,,,,,
2026.2,全国,164215900.0,24047100.0,140168800.0,113226600.0,25363000.0,1579100.0,,68018800.0,14176600.0,53842200.0,,,,,,,4252331700.0,,
2026.1,新疆,1356800.0,238700.0,,948200.0,155500.0,14400.0,,,,,,,,,,,,,
2026.1,宁夏,518600.0,86200.0,,388700.0,39400.0,4400.0,,,,,,,,,,,,,
2026.1,青海,265700.0,72700.0,,162500.0,27600.0,2800.0,,,,,,,,,,,,,
2026.1,甘肃,1365600.0,170500.0,,829300.0,354600.0,11200.0,,,,,,,,,,,,,
2026.1,陕西,2885500.0,305800.0,,2221100.0,338500.0,20100.0,,,,,,,,,,,,,
2026.1,西藏,164200.0,127600.0,,30800.0,3500.0,2300.0,,,,,,,,,,,,,
2026.1,云南,1755200.0,315300.0,,1104000.0,311900.0,24000.0,,,,,,,,,,,,,
2026.1,贵州,1019900.0,277400.0,,531500.0,197900.0,13200.0,,,,,,,,,,,,,
2026.1,四川,5895700.0,731100.0,,4184100.0,929800.0,50700.0,,,,,,,,,,,,,
2026.1,重庆,2478400.0,275100.0,,1952800.0,234100.0,16300.0,,,,,,,,,,,,,
2026.1,海南,377300.0,124800.0,,217600.0,30400.0,4500.0,,,,,,,,,,,,,
2026.1,广西,1651700.0,307400.0,,1203700.0,117700.0,23000.0,,,,,,,,,,,,,
2026.1,广东,3452100.0,621800.0,,2101200.0,679000.0,50200.0,,,,,,,,,,,,,
2026.1,广东,11001000.0,1519800.0,,8056200.0,1292800.0,132100.0,,,,,,,,,,,,,
2026.1,湖南,3331300.0,501300.0,,2476600.0,322200.0,31200.0,,,,,,,,,,,,,
2026.1,湖北,5221000.0,541100.0,,3892700.0,742900.0,44300.0,,,,,,,,,,,,,
2026.1,河南,6248900.0,892300.0,,4289200.0,1031400.0,35900.0,,,,,,,,,,,,,
2026.1,山东,1323600.0,177400.0,,1008300.0,128600.0,9300.0,,,,,,,,,,,,,
2026.1,山东,7363400.0,894400.0,,5442500.0,973700.0,52800.0,,,,,,,,,,,,,
2026.1,江西,2264100.0,333000.0,,1645800.0,269000.0,16300.0,,,,,,,,,,,,,
2026.1,福建,666500.0,96700.0,,435500.0,128500.0,5800.0,,,,,,,,,,,,,
2026.1,福建,2509700.0,318000.0,,1827900.0,337500.0,26400.0,,,,,,,,,,,,,
2026.1,安徽,3683100.0,552900.0,,2622800.0,473900.0,33600.0,,,,,,,,,,,,,
2026.1,浙江,1281700.0,214900.0,,965600.0,92700.0,8400.0,,,,,,,,,,,,,
2026.1,浙江,7105100.0,1019800.0,,5388900.0,641000.0,55300.0,,,,,,,,,,,,,
2026.1,江苏,13033600.0,1387300.0,,10209700.0,1357200.0,79400.0,,,,,,,,,,,,,
2026.1,上海,5665800.0,864700.0,,3966000.0,770000.0,65000.0,,,,,,,,,,,,,
2026.1,黑龙江,2089100.0,189100.0,,1582800.0,300600.0,16600.0,,,,,,,,,,,,,
2026.1,吉林,1621500.0,185900.0,,1229300.0,16100.0,190300.0,,,,,,,,,,,,,
2026.1,辽宁,965300.0,107000.0,,754100.0,98800.0,5400.0,,,,,,,,,,,,,
2026.1,辽宁,2325200.0,292000.0,,1654900.0,356500.0,21900.0,,,,,,,,,,,,,
2026.1,内蒙古,1694900.0,227700.0,,1282500.0,173300.0,11400.0,,,,,,,,,,,,,
2026.1,山西,2554500.0,272600.0,,1944800.0,311600.0,25500.0,,,,,,,,,,,,,
2026.1,河北,4650200.0,613500.0,,3227200.0,777100.0,32400.0,,,,,,,,,,,,,
2026.1,天津,1495600.0,190000.0,,1138800.0,154200.0,12600.0,,,,,,,,,,,,,
2026.1,北京,7217200.0,809800.0,,5174000.0,1169800.0,63700.0,,,,,,,,,,,,,
2026.1,全国,118499000.0,15855700.0,102643300.0,86091700.0,15513200.0,1038400.0,,50415300.0,7881400.0,42533900.0,,,,,,,4206005200.0,,
2025.12,新疆,7923600.0,2786700.0,,3595000.0,1359400.0,182600.0,,,,,,,,,,,,,
2025.12,宁夏,2720600.0,866900.0,,1438500.0,366300.0,49000.0,,,,,,,,,,,,,
2025.12,青海,1284500.0,545100.0,,547600.0,165000.0,26800.0,,,,,,,,,,,,,
2025.12,甘肃,5719100.0,1610300.0,,3036800.0,961300.0,110700.0,,,,,,,,,,,,,
2025.12,陕西,14283600.0,3109300.0,,8727800.0,2270200.0,176300.0,,,,,,,,,,,,,
2025.12,西藏,573500.0,394200.0,,71300.0,68600.0,39400.0,,,,,,,,,,,,,
2025.12,云南,9105700.0,3064400.0,,4133900.0,1669000.0,238500.0,,,,,,,,,,,,,
2025.12,贵州,5954700.0,2721000.0,,2184600.0,897300.0,151900.0,,,,,,,,,,,,,
2025.12,四川,29654800.0,7138500.0,,16409400.0,5614400.0,492500.0,,,,,,,,,,,,,
2025.12,重庆,12274200.0,2624500.0,,7214400.0,2248300.0,187000.0,,,,,,,,,,,,,
