日期,最新值,涨跌幅,近3月涨跌幅,近6月涨跌幅,近1年涨跌幅,近2年涨跌幅,近3年涨跌幅
2004-07-01,0.0,,,,,,
2004-09-01,24536163.46,,,,,,
2004-10-01,27043147.72,10.21750717,,,,,
2004-11-01,29563966.99,9.32147136,,,,,
2004-12-01,31935859.21,8.02291594,30.15832431,,,,
2005-01-01,3117246.68,-90.23903926,-88.47306271,,,,
2005-02-01,5512427.64,76.83642669,-81.35423557,,,,
2005-03-01,11241544.37,103.93091945,-64.79961821,-54.18377291,,,
2005-04-01,13778977.81,22.57192923,342.02397899,-49.04817312,,,
2005-05-01,16248657.71,17.92353492,194.7640998,-45.03898034,,,
2005-06-01,20082949.37,23.5975902,78.64938045,-37.11473602,,,
2005-07-01,22259891.14,10.83975132,61.54965518,614.0882139,,,
2005-08-01,24604393.59,10.53240753,51.42416087,346.34406466,,,
2005-09-01,27773271.01,12.87931527,38.29279006,147.05921265,13.19320991,,
2005-10-01,30372843.96,9.35998122,36.44650717,120.42886184,12.31253209,,
2005-11-01,33720520.15,11.02193853,37.05080772,107.52803556,14.05952443,,
2005-12-01,36462272.93,8.13081402,31.28548278,81.55835708,14.17345214,,
2006-01-01,4025725.92,-88.95920195,-86.74564053,-81.91488945,29.14364288,,
2006-02-01,7581090.6,88.31611368,-77.51787171,-69.18806159,37.52725832,,
2006-03-01,12149920.75,60.26613308,-66.67810377,-56.25318766,8.08053013,,
2006-04-01,15290926.15,25.85206492,279.83028288,-49.65592893,10.97286287,,
2006-05-01,18452546.15,20.67644542,143.40226392,-45.27799077,13.56351078,,
2006-06-01,22549389.69,22.20205009,85.59289525,-38.15692803,12.28126544,,
2006-07-01,25034024.01,11.01863223,63.718167,521.85117684,12.46247276,,
2006-08-01,27784916.2,10.98861369,50.57497201,266.50289076,12.92664498,,
2006-09-01,31130147.91,12.03974015,38.05317278,156.21688034,12.08671783,26.8745538,
2006-10-01,33801181.65,8.58021538,35.02096841,121.05385454,11.28750964,24.98981997,
2006-11-01,37315157.07,10.39601354,34.30005259,102.2222666,10.6600874,26.21836942,
2006-12-01,40610901.22,8.83218619,30.45521447,80.09756263,11.37786527,27.1639537,
2007-01-01,4569304.27,-88.74857703,-86.48182091,-81.74762368,13.50261694,46.58141428,
2007-02-01,8504549.81,86.12351701,-77.20885968,-69.39148656,12.18108658,54.27957273,
