统计年度,指标,数量,比重
2024,总计,94240.0,100.0
2023,总计,52960.0,100.0
2019,其他服务,10189.0,7.8
2019,市内交通,3453.0,2.6
2019,邮电通讯,747.0,0.6
2019,娱乐,4421.0,3.4
2019,商品销售,30297.0,23.1
2019,餐饮,16041.0,12.2
2019,住宿,20049.0,15.3
2019,游览,5866.0,4.5
2019,轮船,285.0,0.2
2019,汽车,1593.0,1.2
2019,铁路,1410.0,1.1
2019,民航,36902.0,28.1
2019,长途交通,40191.0,30.6
2019,总计,131254.0,100.0
2018,其他服务,11454.26,9.0
2018,市内交通,2776.47,2.2
2018,邮电通讯,1162.35,0.9
2018,娱乐,4582.13,3.6
2018,商品销售,32761.35,25.8
2018,餐饮,14255.08,11.2
2018,住宿,18108.8,14.2
2018,游览,5371.45,4.2
2018,轮船,553.61,0.4
2018,汽车,1371.87,1.1
2018,铁路,1352.19,1.1
2018,民航,33353.45,26.2
2018,长途交通,36631.17,28.8
2018,总计,127103.01,100.0
2017,其他服务,12364.0,10.0
2017,市内交通,3920.0,3.2
2017,邮电通讯,2757.0,2.2
2017,娱乐,7416.0,6.0
2017,商品销售,22995.0,18.6
2017,餐饮,10307.0,8.4
2017,住宿,12208.0,9.9
2017,游览,6504.0,5.3
2017,轮船,6565.0,5.3
2017,汽车,2943.0,2.4
2017,铁路,4952.0,4.0
2017,民航,30487.0,24.7
2017,长途交通,44946.0,36.4
2017,总计,123417.0,100.0
2016,其他服务,11800.0,9.8
2016,市内交通,4040.0,3.4
2016,邮电通讯,2890.0,2.4
2016,娱乐,7710.0,6.4
2016,商品销售,20950.0,17.5
2016,餐饮,9620.0,8.0
2016,住宿,11630.0,9.7
2016,游览,6710.0,5.6
2016,轮船,7100.0,5.9
2016,汽车,3160.0,2.6
2016,铁路,5320.0,4.4
2016,民航,29060.0,24.2
2016,长途交通,44650.0,37.2
2016,总计,120000.0,100.0
2015,其他服务,11860.0,10.0
2015,市内交通,2240.0,2.0
2015,邮电通讯,2390.0,2.0
2015,娱乐,5390.0,5.0
2015,商品销售,20900.0,18.0
2015,餐饮,8260.0,7.0
2015,住宿,13290.0,12.0
2015,游览,4480.0,4.0
2015,轮船,7800.0,7.0
2015,汽车,3250.0,3.0
2015,铁路,4320.0,4.0
2015,民航,29480.0,26.0
2015,长途交通,44850.0,39.0
2015,总计,113650.0,100.0
2014,其他服务,4577.0,8.0
2014,市内交通,1604.0,3.0
2014,邮电通讯,1104.0,2.0
2014,娱乐,3674.0,6.0
2014,商品销售,11328.0,20.0
2014,餐饮,4828.0,8.0
2014,住宿,6950.0,12.0
2014,游览,3254.0,6.0
2014,轮船,1359.0,2.0
2014,汽车,1568.0,3.0
2014,铁路,2090.0,4.0
2014,民航,14579.0,26.0
2014,长途交通,19595.0,34.0
2014,总计,105380.0,100.0
2013,其他服务,4001.14,8.0
2013,市内交通,1443.54,3.0
2013,邮电通讯,792.44,2.0
2013,娱乐,3591.32,7.0
2013,商品销售,11181.86,22.0
2013,餐饮,4128.3,8.0
2013,住宿,5975.83,12.0
2013,游览,3092.16,6.0
2013,轮船,1082.24,2.0
2013,汽车,1364.56,3.0
2013,铁路,1599.83,3.0
2013,民航,13410.33,26.0
2013,长途交通,17456.95,34.0
2013,总计,51664.0,100.0
