日期,最新值,涨跌幅,近3月涨跌幅,近6月涨跌幅,近1年涨跌幅,近2年涨跌幅,近3年涨跌幅
2013-07-01,52.4,,,,,,
2013-08-01,52.9,0.95419847,,,,,
2013-09-01,53.3,0.75614367,,,,,
2013-10-01,53.6,0.56285178,2.29007634,,,,
2013-11-01,53.0,-1.11940299,0.18903592,,,,
2013-12-01,52.4,-1.13207547,-1.68855535,,,,
2014-01-01,51.5,-1.71755725,-3.91791045,-1.71755725,,,
2014-02-01,51.9,0.77669903,-2.0754717,-1.89035917,,,
2014-03-01,53.0,2.1194605,1.14503817,-0.56285178,,,
2014-04-01,57.7,8.86792453,12.03883495,7.64925373,,,
2014-05-01,55.2,-4.33275563,6.3583815,4.1509434,,,
2014-06-01,56.7,2.7173913,6.98113208,8.20610687,,,
2014-07-01,56.8,0.17636684,-1.55979203,10.29126214,8.39694656,,
2014-08-01,54.1,-4.75352113,-1.99275362,4.238921,2.268431,,
2014-09-01,56.4,4.25138632,-0.52910053,6.41509434,5.81613508,,
2014-10-01,54.9,-2.65957447,-3.34507042,-4.85268631,2.42537313,,
2014-11-01,56.5,2.9143898,4.43622921,2.35507246,6.60377358,,
2014-12-01,57.5,1.7699115,1.95035461,1.41093474,9.73282443,,
2015-01-01,56.3,-2.08695652,2.55009107,-0.88028169,9.32038835,,
2015-02-01,54.9,-2.48667851,-2.83185841,1.47874307,5.78034682,,
2015-03-01,58.0,5.64663024,0.86956522,2.83687943,9.43396226,,
2015-04-01,58.6,1.03448276,4.08525755,6.73952641,1.55979203,,
2015-05-01,58.0,-1.02389078,5.64663024,2.65486726,5.07246377,,
2015-06-01,55.7,-3.96551724,-3.96551724,-3.13043478,-1.76366843,,
2015-07-01,52.2,-6.28366248,-10.92150171,-7.28241563,-8.09859155,-0.38167939,
2015-08-01,52.0,-0.38314176,-10.34482759,-5.28233151,-3.88170055,-1.70132325,
2015-09-01,52.2,0.38461538,-6.28366248,-10.0,-7.44680851,-2.06378987,
2015-10-01,53.5,2.49042146,2.49042146,-8.70307167,-2.55009107,-0.18656716,
2015-11-01,54.2,1.30841121,4.23076923,-6.55172414,-4.07079646,2.26415094,
2015-12-01,55.0,1.47601476,5.36398467,-1.2567325,-4.34782609,4.96183206,
2016-01-01,53.3,-3.09090909,-0.37383178,2.10727969,-5.3285968,3.49514563,
2016-02-01,50.0,-6.19136961,-7.74907749,-3.84615385,-8.92531876,-3.66088632,
2016-03-01,52.9,5.8,-3.81818182,1.34099617,-8.79310345,-0.18867925,
2016-04-01,54.2,2.45746692,1.68855535,1.30841121,-7.50853242,-6.06585789,
2016-05-01,54.2,0.0,8.4,0.0,-6.55172414,-1.8115942,
2016-06-01,55.5,2.39852399,4.91493384,0.90909091,-0.35906643,-2.11640212,
2016-07-01,54.8,-1.26126126,1.10701107,2.81425891,4.98084291,-3.52112676,4.58015267
2016-08-01,54.3,-0.91240876,0.18450185,8.6,4.42307692,0.36968577,2.64650284
2016-09-01,59.0,8.65561694,6.30630631,11.53119093,13.02681992,4.60992908,10.69418386
2016-10-01,59.2,0.33898305,8.02919708,9.22509225,10.65420561,7.83242259,10.44776119
2016-11-01,59.3,0.16891892,9.20810313,9.4095941,9.4095941,4.95575221,11.88679245
2016-12-01,56.0,-5.56492411,-5.08474576,0.9009009,1.81818182,-2.60869565,6.87022901
2017-01-01,52.5,-6.25,-11.31756757,-4.19708029,-1.50093809,-6.74955595,1.94174757
2017-02-01,53.2,1.33333333,-10.28667791,-2.02578269,6.4,-3.09653916,2.50481696
2017-03-01,55.4,4.13533835,-1.07142857,-6.10169492,4.72589792,-4.48275862,4.52830189
2017-04-01,58.2,5.05415162,10.85714286,-1.68918919,7.3800738,-0.68259386,0.86655113
2017-05-01,57.7,-0.85910653,8.45864662,-2.69814503,6.45756458,-0.51724138,4.52898551
2017-06-01,55.8,-3.29289428,0.72202166,-0.35714286,0.54054054,0.17953321,-1.58730159
2017-07-01,53.8,-3.58422939,-7.56013746,2.47619048,-1.82481752,3.0651341,-5.28169014
2017-08-01,53.5,-0.55762082,-7.27902946,0.56390977,-1.4732965,2.88461538,-1.1090573
2017-09-01,54.3,1.4953271,-2.68817204,-1.98555957,-7.96610169,4.02298851,-3.72340426
2017-10-01,54.0,-0.55248619,0.37174721,-7.21649485,-8.78378378,0.93457944,-1.63934426
2017-11-01,58.6,8.51851852,9.53271028,1.55979203,-1.18043845,8.11808118,3.71681416
2017-12-01,56.6,-3.41296928,4.23572744,1.43369176,1.07142857,2.90909091,-1.56521739
2018-01-01,54.2,-4.24028269,0.37037037,0.74349442,3.23809524,1.68855535,-3.73001776
2018-02-01,50.0,-7.74907749,-14.67576792,-6.54205607,-6.01503759,0.0,-8.92531876
2018-03-01,53.4,6.8,-5.65371025,-1.65745856,-3.6101083,0.94517958,-7.93103448
2018-04-01,54.6,2.24719101,0.73800738,1.11111111,-6.18556701,0.73800738,-6.82593857
2018-05-01,56.1,2.74725275,12.2,-4.2662116,-2.7729636,3.50553506,-3.27586207
2018-06-01,54.9,-2.13903743,2.80898876,-3.00353357,-1.61290323,-1.08108108,-1.43626571
2018-07-01,50.9,-7.2859745,-6.77655678,-6.08856089,-5.39033457,-7.11678832,-2.49042146
2018-08-01,50.7,-0.39292731,-9.62566845,1.4,-5.23364486,-6.62983425,-2.5
2018-09-01,53.1,4.73372781,-3.27868852,-0.56179775,-2.20994475,-10.0,1.72413793
2018-10-01,54.5,2.63653484,7.07269155,-0.18315018,0.92592593,-7.93918919,1.86915888
2018-11-01,55.9,2.56880734,10.25641026,-0.35650624,-4.60750853,-5.73355818,3.13653137
2018-12-01,54.7,-2.14669052,3.01318267,-0.36429872,-3.35689046,-2.32142857,-0.54545455
2019-01-01,53.7,-1.82815356,-1.46788991,5.50098232,-0.92250923,2.28571429,0.75046904
2019-02-01,49.6,-7.63500931,-11.27012522,-2.16962525,-0.8,-6.76691729,-0.8
2019-03-01,52.6,6.0483871,-3.83912249,-0.94161959,-1.49812734,-5.05415162,-0.56710775
2019-04-01,53.5,1.71102662,-0.37243948,-1.83486239,-2.01465201,-8.07560137,-1.29151292
2019-05-01,52.8,-1.30841121,6.4516129,-5.54561717,-5.88235294,-8.49220104,-2.58302583
2019-06-01,51.9,-1.70454545,-1.33079848,-5.11882998,-5.46448087,-6.98924731,-6.48648649
2019-07-01,51.1,-1.54142582,-4.48598131,-4.84171322,0.39292731,-5.01858736,-6.75182482
2019-08-01,50.9,-0.39138943,-3.59848485,2.62096774,0.39447732,-4.85981308,-6.26151013
2019-09-01,53.8,5.69744597,3.66088632,2.28136882,1.31826742,-0.92081031,-8.81355932
2019-10-01,54.2,0.74349442,6.0665362,1.30841121,-0.55045872,0.37037037,-8.44594595
2019-11-01,58.9,8.67158672,15.71709234,11.5530303,5.3667263,0.51194539,-0.67453626
2019-12-01,58.6,-0.50933786,8.92193309,12.90944123,7.1297989,3.5335689,4.64285714
2020-01-01,49.9,-14.84641638,-7.93357934,-2.34833659,-7.07635009,-7.93357934,-4.95238095
2020-02-01,26.2,-47.49498998,-55.51782683,-48.52652259,-47.17741935,-47.6,-50.7518797
2020-03-01,51.5,96.5648855,-12.11604096,-4.27509294,-2.09125475,-3.55805243,-7.03971119
2020-04-01,53.6,4.0776699,7.41482966,-1.10701107,0.18691589,-1.83150183,-7.90378007
2020-05-01,54.8,2.23880597,109.16030534,-6.96095076,3.78787879,-2.31729055,-5.02599653
2020-06-01,54.9,0.18248175,6.60194175,-6.31399317,5.78034682,0.0,-1.61290323
2020-07-01,50.9,-7.2859745,-5.03731343,2.00400802,-0.39138943,0.0,-5.39033457
2020-08-01,52.2,2.5540275,-4.74452555,99.23664122,2.5540275,2.95857988,-2.42990654
2020-09-01,56.1,7.47126437,2.18579235,8.93203883,4.27509294,5.64971751,3.31491713
2020-10-01,56.3,0.35650624,10.60903733,5.03731343,3.87453875,3.30275229,4.25925926
2020-11-01,57.5,2.13143872,10.1532567,4.9270073,-2.37691002,2.86225403,-1.87713311
2020-12-01,56.9,-1.04347826,1.42602496,3.64298725,-2.90102389,4.02193784,0.53003534
2021-01-01,54.4,-4.39367311,-3.37477798,6.8762279,9.01803607,1.30353818,0.36900369
2021-02-01,49.8,-8.45588235,-13.39130435,-4.59770115,90.07633588,0.40322581,-0.4
2021-03-01,51.9,4.21686747,-8.78734622,-7.48663102,0.77669903,-1.33079848,-2.80898876
2021-04-01,57.3,10.40462428,5.33088235,1.77619893,6.90298507,7.10280374,4.94505495
2021-05-01,55.8,-2.61780105,12.04819277,-2.95652174,1.82481752,5.68181818,-0.53475936
2021-06-01,54.6,-2.15053763,5.20231214,-4.04217926,-0.54644809,5.20231214,-0.54644809
2021-07-01,50.3,-7.87545788,-12.21640489,-7.53676471,-1.17878193,-1.56555773,-1.17878193
2021-08-01,49.5,-1.59045726,-11.29032258,-0.60240964,-5.17241379,-2.75049116,-2.36686391
2021-09-01,51.0,3.03030303,-6.59340659,-1.73410405,-9.09090909,-5.20446097,-3.95480226
2021-10-01,53.5,4.90196078,6.36182903,-6.63176265,-4.97335702,-1.29151292,-1.83486239
