TRADE_DATE,LPR1Y,LPR5Y,RATE_1,RATE_2
1991-04-21,,,8.64,9.72
1993-05-15,,,9.36,12.24
1993-07-11,,,10.98,14.04
1995-01-01,,,10.98,14.76
1995-07-01,,,12.06,15.3
1996-05-01,,,10.98,15.12
1996-08-23,,,10.08,12.42
1997-10-23,,,8.64,10.53
1998-03-25,,,7.92,10.35
1998-07-01,,,6.93,8.01
1998-12-07,,,6.39,7.56
1999-06-10,,,5.85,6.21
2002-02-21,,,5.31,5.76
2004-10-29,,,5.58,6.12
2006-04-28,,,5.85,6.39
2006-08-19,,,6.12,6.84
2007-03-18,,,6.39,7.11
2007-05-19,,,6.57,7.2
2007-07-21,,,6.84,7.38
2007-08-22,,,7.02,7.56
2007-09-15,,,7.29,7.83
2007-12-21,,,7.47,7.83
2008-09-16,,,7.2,7.74
2008-10-09,,,6.93,7.47
2008-10-30,,,6.66,7.2
2008-11-27,,,5.58,6.12
2008-12-23,,,5.31,5.94
2010-10-20,,,5.56,6.14
2010-12-26,,,5.81,6.4
2011-02-09,,,6.06,6.6
2011-04-06,,,6.31,6.8
2011-07-07,,,6.56,7.05
2012-06-08,,,6.31,6.8
2012-07-06,,,6.0,6.55
2013-10-25,5.71,,6.0,6.55
2013-10-28,5.72,,6.0,6.55
2013-10-29,5.72,,6.0,6.55
2013-10-30,5.72,,6.0,6.55
2013-10-31,5.72,,6.0,6.55
2013-11-01,5.72,,6.0,6.55
2013-11-04,5.72,,6.0,6.55
2013-11-05,5.72,,6.0,6.55
2013-11-06,5.72,,6.0,6.55
2013-11-07,5.72,,6.0,6.55
2013-11-08,5.72,,6.0,6.55
2013-11-11,5.72,,6.0,6.55
2013-11-12,5.72,,6.0,6.55
2013-11-13,5.72,,6.0,6.55
2013-11-14,5.72,,6.0,6.55
2013-11-15,5.72,,6.0,6.55
2013-11-18,5.72,,6.0,6.55
2013-11-19,5.73,,6.0,6.55
2013-11-20,5.73,,6.0,6.55
2013-11-21,5.73,,6.0,6.55
2013-11-22,5.73,,6.0,6.55
2013-11-25,5.73,,6.0,6.55
2013-11-26,5.73,,6.0,6.55
2013-11-27,5.73,,6.0,6.55
2013-11-28,5.73,,6.0,6.55
2013-11-29,5.73,,6.0,6.55
2013-12-02,5.73,,6.0,6.55
2013-12-03,5.73,,6.0,6.55
2013-12-04,5.73,,6.0,6.55
2013-12-05,5.73,,6.0,6.55
2013-12-06,5.73,,6.0,6.55
2013-12-09,5.73,,6.0,6.55
2013-12-10,5.73,,6.0,6.55
2013-12-11,5.73,,6.0,6.55
2013-12-12,5.73,,6.0,6.55
2013-12-13,5.73,,6.0,6.55
2013-12-16,5.73,,6.0,6.55
2013-12-17,5.73,,6.0,6.55
2013-12-18,5.73,,6.0,6.55
2013-12-19,5.73,,6.0,6.55
2013-12-20,5.73,,6.0,6.55
2013-12-23,5.73,,6.0,6.55
2013-12-24,5.73,,6.0,6.55
2013-12-25,5.73,,6.0,6.55
2013-12-26,5.73,,6.0,6.55
2013-12-27,5.73,,6.0,6.55
2013-12-30,5.73,,6.0,6.55
2013-12-31,5.73,,6.0,6.55
2014-01-02,5.73,,6.0,6.55
2014-01-03,5.73,,6.0,6.55
2014-01-06,5.73,,6.0,6.55
2014-01-07,5.73,,6.0,6.55
2014-01-08,5.73,,6.0,6.55
2014-01-09,5.73,,6.0,6.55
2014-01-10,5.73,,6.0,6.55
2014-01-13,5.73,,6.0,6.55
2014-01-14,5.73,,6.0,6.55
2014-01-15,5.73,,6.0,6.55
2014-01-16,5.73,,6.0,6.55
2014-01-17,5.73,,6.0,6.55
2014-01-20,5.73,,6.0,6.55
2014-01-21,5.73,,6.0,6.55
2014-01-22,5.73,,6.0,6.55
2014-01-23,5.73,,6.0,6.55
2014-01-24,5.73,,6.0,6.55
2014-01-26,5.73,,6.0,6.55
