日期,融资买入额,融资余额,融券卖出量,融券余量,融券余额,融资融券余额
2010-03-31,684569.0,670796.0,4000.0,3900.0,70895.0,741691.0
2010-04-08,6713260.0,14467758.0,2100.0,3100.0,56023.0,14523781.0
2010-04-09,9357095.0,19732998.0,6700.0,5400.0,108362.0,19841360.0
2010-04-12,10406563.0,24813027.0,2200.0,1000.0,8100.0,24821127.0
2010-04-15,16607172.0,47980287.0,4200.0,5200.0,97676.0,48077963.0
2010-04-19,16786557.0,73074834.0,118600.0,72900.0,1388049.0,74462883.0
2010-04-21,6181261.0,75487129.0,10000.0,21000.0,533090.0,76020219.0
2010-04-22,24706394.0,98603964.0,3200.0,20300.0,513260.0,99117224.0
2010-04-23,16616329.0,107953879.0,10100.0,21000.0,374180.0,108328059.0
2010-04-26,8683319.0,109584858.0,48700.0,69700.0,1362953.0,110947811.0
2010-04-27,11710150.0,117633440.0,18400.0,84100.0,1541466.0,119174906.0
2010-04-28,14705894.0,130122826.0,50700.0,96800.0,1759408.0,131882234.0
2010-04-29,8192481.0,134552434.0,13000.0,108800.0,2147730.0,136700164.0
2010-04-30,18487739.0,145916942.0,5200.0,39300.0,824807.0,146741749.0
2010-05-04,10960784.0,152252123.0,36300.0,63100.0,1128695.0,153380818.0
2010-05-05,52075889.0,198213696.0,6300.0,48300.0,943571.0,199157267.0
2010-05-06,37006705.0,216307335.0,26000.0,44200.0,1021638.0,217328973.0
2010-05-07,13388918.0,217461595.0,6409.0,47409.0,1084070.0,218545665.0
2010-05-10,17186304.0,226993903.0,9300.0,50809.0,1204576.0,228198479.0
2010-05-11,19447190.0,238665335.0,9000.0,57809.0,1284209.0,239949544.0
2010-05-12,10026695.0,239338755.0,29100.0,70109.0,1637752.0,240976507.0
2010-05-13,9782955.0,239722133.0,7300.0,61009.0,1416380.0,241138513.0
2010-05-14,15697310.0,245379596.0,92000.0,125209.0,3735181.0,249114777.0
2010-05-17,21421807.0,257360668.0,26700.0,93019.0,2605978.0,259966646.0
2010-05-18,27775902.0,276904673.0,169700.0,237409.0,5723623.0,282628296.0
2010-05-19,12619010.0,285769544.0,37300.0,254709.0,6318489.0,292088033.0
2010-05-20,27335783.0,301629547.0,93700.0,259709.0,6543343.0,308172890.0
2010-05-21,32899042.0,313678633.0,98600.0,248109.0,6364119.0,320042752.0
2010-05-24,82092460.0,374099928.0,22300.0,249709.0,6790778.0,380890706.0
2010-05-25,40473421.0,374144433.0,74078.0,301431.0,8343501.0,382487934.0
2010-05-27,28064935.0,375593858.0,6800.0,175709.0,5786794.0,381380652.0
2010-05-28,24686564.0,384631840.0,20400.0,178209.0,5709141.0,390340981.0
2010-05-31,33235223.0,396578128.0,13900.0,177509.0,5563896.0,402142024.0
2010-06-01,23093598.0,408895074.0,42800.0,177109.0,5689054.0,414584128.0
2010-06-02,11264075.0,413854083.0,123632.0,220241.0,6831122.0,420685205.0
2010-06-03,39783496.0,442059040.0,7700.0,157209.0,5296672.0,447355712.0
2010-06-04,21663003.0,450040855.0,110300.0,226809.0,6396331.0,456437186.0
2010-06-07,19287109.0,446203150.0,126297.0,284806.0,7674888.0,453878038.0
2010-06-08,16532381.0,435541649.0,24800.0,226206.0,6876772.0,442418421.0
2010-06-09,26841829.0,444326482.0,157000.0,302206.0,8382852.0,452709334.0
2010-06-10,14716426.0,446465939.0,35800.0,242606.0,7086189.0,453552128.0
2010-06-11,21950392.0,455374946.0,21000.0,233506.0,6816014.0,462190960.0
2010-06-17,17204323.0,459532221.0,24617.0,254526.0,7536090.0,467068311.0
2010-06-18,30673120.0,475273875.0,41200.0,271126.0,8481917.0,483755792.0
2010-06-21,30472983.0,481805448.0,65400.0,331326.0,10267728.0,492073176.0
2010-06-22,47773802.0,515889234.0,55700.0,331826.0,10203321.0,526092555.0
2010-06-23,40757182.0,542644846.0,107842.0,307426.0,9967572.0,552612418.0
2010-06-24,32200927.0,559706984.0,23260.0,291486.0,9875273.0,569582257.0
2010-06-25,26316812.0,549025366.0,7900.0,247126.0,8948417.0,557973783.0
2010-06-28,30394117.0,566462856.0,9771.0,248841.0,8672207.0,575135063.0
2010-06-29,32988018.0,559110157.0,60638.0,230507.0,4719725.0,563829882.0
2010-06-30,32467445.0,575139300.0,76200.0,276307.0,6066142.0,581205442.0
2010-07-01,18590542.0,540625168.0,70100.0,277436.0,5913644.0,546538812.0
2010-07-02,31990604.0,551250750.0,83258.0,270094.0,5289960.0,556540710.0
2010-07-05,21238391.0,560774965.0,112000.0,310584.0,6688897.0,567463862.0
2010-07-06,53507727.0,597793218.0,110700.0,370084.0,8257426.0,606050644.0
2010-07-07,52002905.0,628490733.0,65800.0,430664.0,9322575.0,637813308.0
2010-07-08,25338054.0,632780278.0,88400.0,446664.0,9358389.0,642138667.0
2010-07-09,37711379.0,628235389.0,66100.0,451164.0,10955067.0,639190456.0
2010-07-12,79126015.0,680375732.0,38600.0,442564.0,10707131.0,691082863.0
2010-07-13,42628630.0,687671829.0,20900.0,461164.0,10466539.0,698138368.0
2010-07-14,65154251.0,718879879.0,25700.0,433064.0,10083845.0,728963724.0
2010-07-15,44180427.0,725368184.0,32011.0,447547.0,10401465.0,735769649.0
2010-07-16,36362263.0,731981713.0,55420.0,470706.0,11892787.0,743874500.0
2010-07-19,66729189.0,732096533.0,56200.0,504662.0,12400631.0,744497164.0
2010-07-20,105951698.0,766145268.0,88800.0,551202.0,13540835.0,779686103.0
2010-07-21,99786083.0,775220539.0,19900.0,554372.0,13508245.0,788728784.0
2010-07-22,52190796.0,792302956.0,27800.0,538651.0,12741845.0,805044801.0
2010-07-23,79674101.0,801084471.0,66000.0,539301.0,10638259.0,811722730.0
2010-07-26,80835582.0,841666774.0,136700.0,638263.0,11990413.0,853657187.0
2010-07-27,62568491.0,860895591.0,119307.0,714870.0,13281410.0,874177001.0
2010-07-28,82760102.0,868493098.0,104500.0,693670.0,13771739.0,882264837.0
2010-07-29,121093140.0,925481712.0,42000.0,691263.0,13705932.0,939187644.0
2010-07-30,90619741.0,953931626.0,38400.0,661163.0,12733309.0,966664935.0
2010-08-02,88810949.0,980346775.0,124054.0,729317.0,14638786.0,994985561.0
2010-08-03,108264964.0,1028481634.0,78400.0,719063.0,14133704.0,1042615338.0
2010-08-04,91126485.0,1067327314.0,145600.0,720363.0,13516874.0,1080844188.0
2010-08-05,79997431.0,1087609968.0,130800.0,689963.0,13749185.0,1101359153.0
2010-08-06,101715360.0,1087242377.0,132201.0,466764.0,10812491.0,1098054868.0
2010-08-09,68969732.0,1077224854.0,95000.0,506714.0,11591817.0,1088816671.0
2010-08-10,80443213.0,1060567296.0,150101.0,487564.0,10809214.0,1071376510.0
2010-08-11,78566562.0,1095124763.0,188900.0,577664.0,11457249.0,1106582012.0
2010-08-12,52341941.0,1042984611.0,99600.0,582064.0,11560396.0,1054545007.0
2010-08-13,96202684.0,1064903874.0,65000.0,571664.0,11691225.0,1076595099.0
2010-08-16,129166740.0,1119333864.0,74000.0,590764.0,12439894.0,1131773758.0
2010-08-17,103356483.0,1127494632.0,33200.0,613964.0,13061043.0,1140555675.0
2010-08-18,131983515.0,1160315794.0,95270.0,607533.0,12665874.0,1172981668.0
2010-08-19,147309664.0,1211963747.0,35000.0,593283.0,12289484.0,1224253231.0
2010-08-20,103857732.0,1218764546.0,63000.0,594183.0,12245953.0,1231010499.0
2010-08-23,83695708.0,1243716877.0,52900.0,559513.0,11573432.0,1255290309.0
2010-08-24,167103101.0,1330890825.0,167644.0,702057.0,14540950.0,1345431775.0
2010-08-25,138475638.0,1366215317.0,38531.0,632157.0,13376760.0,1379592077.0
2010-08-26,61201318.0,1353180421.0,71500.0,663413.0,14164612.0,1367345033.0
2010-08-27,94756571.0,1392247190.0,57050.0,674313.0,13686792.0,1405933982.0
2010-08-30,110106373.0,1387403738.0,62800.0,561159.0,10008173.0,1397411911.0
2010-08-31,165415024.0,1452301249.0,156800.0,686759.0,11859490.0,1464160739.0
2010-09-01,172851806.0,1518575360.0,170694.0,665153.0,11406001.0,1529981361.0
2010-09-02,107272647.0,1507920191.0,396632.0,836391.0,14016268.0,1521936459.0
2010-09-03,88347611.0,1473266054.0,191300.0,845391.0,14168481.0,1487434535.0
2010-09-06,211837410.0,1512382278.0,159250.0,877441.0,14211494.0,1526593772.0
