统计时间,客座率,载运率
2026.3,86.8,74.7
2026.2,87.2,72.0
2026.1,84.0,71.7
2025.12,84.0,72.9
2025.11,85.7,74.1
2025.10,87.4,75.0
2025.9,86.3,75.6
2025.8,87.5,74.2
2025.7,84.5,72.8
2025.6,84.6,74.8
2025.5,84.6,74.4
2025.4,84.5,72.9
2025.3,83.3,72.9
2025.2,85.4,71.2
2025.1,82.8,69.6
2024.12,82.0,72.3
2024.11,83.2,73.3
2024.10,85.2,73.7
2024.9,83.9,73.8
2024.8,86.9,73.2
2024.7,84.0,72.1
2024.6,83.3,73.8
2024.5,81.9,72.0
2024.4,81.9,71.9
2024.3,81.6,70.9
2024.2,85.0,69.0
2024.1,79.7,68.2
2023.12,77.7,68.4
2023.11,77.5,68.5
2023.10,80.4,69.3
2023.9,78.5,69.0
2023.8,81.5,68.4
2023.7,81.2,68.5
2023.6,78.6,69.3
2023.5,74.3,65.9
2023.4,75.9,66.1
2023.3,74.7,66.2
2023.2,77.6,67.3
2023.1,73.5,63.7
2022.12,65.8,65.1
2022.10,66.1,65.9
2022.9,68.1,66.9
2022.8,69.4,64.8
2022.7,70.3,65.3
2022.6,67.5,67.5
2022.5,60.3,65.7
2022.4,57.7,64.0
2022.3,63.2,66.0
2022.2,69.4,63.4
2022.1,63.9,61.7
2021.12,65.6,64.5
2021.11,63.1,63.9
2021.10,71.5,65.5
2021.9,70.4,66.4
2021.8,62.1,62.8
2021.7,78.7,68.7
2021.6,77.0,70.4
2021.5,79.2,70.2
2021.4,78.4,68.6
2021.3,76.8,68.6
2021.2,66.7,64.0
2021.1,64.0,63.3
2020.12,71.9,66.2
2020.11,74.9,67.1
2020.10,78.1,68.5
2020.9,79.4,71.6
2020.8,76.1,67.5
2020.7,74.8,67.8
2020.6,70.3,67.6
2020.5,68.5,66.1
2020.4,66.3,66.8
2020.3,58.6,62.7
2020.2,50.3,52.4
2020.1,76.7,65.2
2019.12,80.8,70.7
2019.11,81.5,71.7
2019.10,83.1,72.3
2019.9,82.2,72.3
2019.8,86.6,72.8
2019.7,83.6,71.2
2019.6,83.3,72.5
2019.5,82.3,72.0
2019.4,83.2,72.0
2019.3,83.4,73.5
2019.2,86.1,69.8
2019.1,81.8,70.3
2018.12,81.0,72.0
2018.11,81.0,72.5
2018.10,83.2,73.3
2018.9,82.6,74.4
2018.8,86.5,74.9
2018.7,83.7,73.2
2018.6,83.4,74.3
2018.5,81.6,73.0
2018.4,84.5,74.7
2018.3,84.4,74.0
2018.2,84.9,69.9
2018.1,80.8,71.3
2017.12,82.2,73.3
2017.11,82.5,74.3
