统计时间,邮电业务总量,邮电业务总量同比增长,邮政业务总量,邮政业务总量同比增长,电信业务总量,电信业务总量同比增长,函件总数,函件总数同比增长,包件,包件同比增长,特快专递,特快专递同比增长,汇票,汇票同比增长,订销报纸累计数,订销报纸累计数同比增长,订销杂志累计数,订销杂志累计数同比增长,集邮业务,集邮业务同比增长,邮政储蓄期末余额,邮政储蓄期末余额同比增长,长途电话通话时长,钟长途电话通话时长同比增长,本地电话期末用户数,本地电话期末用户数同比增长,城市电话用户数,城市电话用户数同比增长,乡村电话用户数,乡村电话用户数同比增长,无线寻呼用户数,无线寻呼用户数同比增长,移动电话用户数,移动电话用户数同比增长,固定电话用,固定电话用户数同比增长,城市住宅电话用户,城市住宅电话用户同比增长,乡村住宅电话用户,乡村住宅电话用户同比增长
2026.3,,,,,,,8000.0,6.9,301.2,7.3,1724000.0,3.5,11.0,-32.2,138000.0,-6.8,5000.0,-5.0,,,,,,,,,,,,,,,,,,,,,,
2026.2,,,,,1386.4,7.1,4958.3,-18.3,202.3,17.6,1211420.5,-10.9,14.3,2.7,110811.7,-12.9,4389.4,-6.8,,,,,,,,,,,,,,,,1.8,,-3.6,,,,
2026.1,,,,,,,,,,,1838000.0,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.12,,,,,1689.73,9.91,8019.94,-12.39,381.96,1.06,1820889.68,2.31,20.48,-11.88,142515.61,-3.15,4828.01,-9.92,,,,,,,,,,,,,,,,2.08,,-3.81,,,,
2025.11,,,,,1597.64,9.34,6281.07,-26.58,299.15,-7.84,1805994.35,4.95,16.81,-13.4,131920.02,-7.6,4751.82,-6.63,,,,,,,,,,,,,,,,2.11,,-4.0,,,,
2025.10,,,,,1575.42,9.74,4594.51,-39.02,264.44,-9.36,1760272.08,7.93,17.85,-5.46,129398.32,-7.48,4696.27,-5.47,,,,,,,,,,,,,,,,2.29,,-3.96,,,,
2025.9,,,,,1581.9,10.2,5987.5,-36.9,308.4,1.0,1687671.5,12.7,16.5,-25.7,135149.8,-2.0,4847.1,-5.5,,,,,,,,,,,,,,,,2.3,,-3.9,,,,
2025.8,,,,,1506.0,8.2,4707.6,-32.6,217.8,-6.7,1615449.9,12.3,15.0,-28.0,137061.2,-4.6,4529.4,-5.5,,,,,,,,,,,,,,,,2.3,,-4.0,,,,
2025.7,,,,,1495.5,6.3,4553.4,-39.1,209.0,4.8,1640421.1,15.1,17.4,-32.5,128689.7,-9.3,4749.4,-7.1,,,,,,,,,,,,,,,,2.4,,-3.9,,,,
2025.6,,,,,1629.5,12.9,5202.3,-48.9,278.2,-9.9,1687259.9,15.8,14.7,-31.1,135234.1,-2.6,5055.2,-4.1,,,,,,,,,,,,,,,,2.4,,-3.8,,,,
2025.5,,,,,1545.1,10.1,4190.2,-50.7,209.5,-0.5,1731771.0,17.2,13.5,-37.9,136868.4,-4.6,4886.0,-7.9,,,,,,,,,,,,,,,,2.5,,-3.6,,,,
2025.4,,,,,1489.3,9.7,4317.7,-36.7,203.6,3.1,1631505.5,19.1,17.0,-36.9,134073.7,-3.6,4861.0,-9.6,,,,,,,,,,,,,,,,2.5,,-3.8,,,,
2025.3,,,,,1588.0,7.9,7417.8,-23.8,280.6,22.3,1665565.0,20.3,16.2,-24.5,148215.3,1.0,5383.2,-6.0,,,,,,,,,,,,,,,,2.5,,-3.9,,,,
2025.2,,,,,1403.7,7.9,6071.3,8.8,171.9,7.6,1359435.5,58.8,13.9,-34.9,127219.6,1.4,4710.9,-3.4,,,,,,,,,,,,,,,,2.7,,-4.0,,,,
2024.12,,,,,1644.3,10.8,9154.1,-2.7,378.0,9.1,1779693.8,22.3,23.2,-27.6,147151.5,0.6,5359.8,-0.5,,,,,,,,,,,,,,,,2.6,,-3.9,,,,
2024.11,,,,,1570.6,5.7,8554.7,-29.9,324.6,15.3,1720811.2,14.9,19.4,-28.0,142767.5,0.3,5089.1,-5.3,,,,,,,,,,,,,,,,2.7,,-4.0,,,,
2024.10,,,,,1544.9,8.3,7534.9,3.3,291.8,13.6,1630919.0,24.0,18.9,-28.2,139858.3,4.6,4968.1,-6.2,,,,,,,,,,,,,,,,2.7,,-4.0,,,,
2024.9,,,,,1542.7,7.6,9491.6,23.3,305.5,19.4,1496836.0,18.7,22.3,-20.9,137885.2,-1.5,5130.3,-5.2,,,,,,,,,,,,,,,,2.8,,-4.0,,,,
2024.8,,,,,1498.8,10.3,6982.3,-10.7,233.6,3.7,1438304.0,19.5,20.9,-20.6,143680.0,1.5,4794.2,-6.3,,,,,,,,,,,,,,,,2.9,,-3.9,,,,
2024.7,,,,,1514.5,11.6,7475.8,19.6,199.4,-5.7,1425623.5,22.2,25.8,-8.0,141823.5,2.8,5113.8,-5.6,,,,,,,,,,,,,,,,2.8,,-4.0,,,,
2024.6,,,,,1546.5,7.6,10182.5,20.5,308.7,59.5,1457135.0,17.7,21.3,-26.8,138823.3,-0.5,5272.5,-7.0,,,,,,,,,,,,,,,,2.7,,-4.1,,,,
2024.5,,,,,1504.7,9.7,8493.6,15.0,210.6,34.1,1478166.7,23.8,21.7,-24.4,143436.8,1.6,5303.3,-4.0,,,,,,,,,,,,,,,,2.7,,-3.9,,,,
2024.4,,,,,1455.6,9.6,6818.5,1.0,197.4,38.8,1369932.9,22.7,26.9,-11.3,139082.4,3.1,5376.8,-0.9,,,,,,,,,,,,,,,,2.6,,-3.9,,,,
2024.3,,,,,1571.8,11.7,9730.5,12.1,229.4,52.8,1384863.0,20.1,21.4,-33.8,146804.2,-1.3,5726.0,0.2,,,,,,,,,,,,,,,,2.4,,-3.7,,,,
2024.2,,,,,1394.3,10.7,5582.0,-22.7,159.7,20.3,856045.3,-15.6,21.4,-16.6,125518.6,-3.0,4876.6,-4.9,,,,,,,,,,,,,,,,2.6,,-3.4,,,,
2023.12,,,,,1644.1,18.6,9405.8,5.3,346.4,61.7,1325671.8,27.9,32.1,-11.0,146302.1,1.0,5386.9,-3.8,,,,,,,,,,,,,,,,2.6,,-3.4,,,,
2023.11,,,,,1638.9,17.2,12203.6,2.2,281.5,83.9,1364293.4,31.9,27.0,3.7,142396.1,1.7,5372.2,-4.7,,,,,,,,,,,,,,,,2.5,,-3.3,,,,
2023.10,,,,,1576.8,16.8,7295.2,-15.2,256.7,78.7,1205526.2,22.2,26.3,-17.0,133754.8,-1.1,5299.1,-4.8,,,,,,,,,,,,,,,,2.6,,-3.3,,,,
2023.9,,,,,1579.6,16.2,7698.1,-3.4,255.8,80.3,1165679.5,20.0,28.2,-26.2,140019.7,3.0,5411.2,-2.8,,,,,,,,,,,,,,,,2.4,,-3.1,,,,
2023.8,,,,,1501.8,14.8,7821.2,-0.1,225.1,84.2,1116156.9,18.3,26.3,-23.3,141568.8,-0.4,5115.5,-3.0,,,,,,,,,,,,,,,,2.2,,-2.9,,,,
2023.7,,,,,1499.1,15.3,6248.1,-8.5,211.4,66.1,1077448.0,11.7,28.1,-27.8,137951.6,-0.2,5414.4,-1.2,,,,,,,,,,,,,,,,2.3,,-2.7,,,,
2023.6,,,,,1576.1,16.7,8449.9,11.2,193.5,37.7,1143687.3,11.4,29.1,-20.4,139513.9,2.6,5669.9,-2.5,,,,,,,,,,,,,,,,2.5,,-2.4,,,,
2023.5,,,,,1512.9,15.7,7385.2,39.7,157.0,20.5,1098987.2,18.9,28.7,-3.1,141241.1,2.9,5522.2,-6.3,,,,,,,,,,,,,,,,2.7,,-2.4,,,,
2023.4,,,,,1464.6,16.4,,,,,1021061.2,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023.3,,,,,1544.2,18.6,8680.0,2.9,150.2,-2.2,1048385.2,22.7,32.4,-12.9,148695.7,1.4,5714.6,-5.5,,,,,,,,,,,,,,,,2.7,,-1.8,,,,
2023.2,,,1237.3,28.5,1379.8,22.1,7224.9,21.1,132.8,16.6,917545.4,32.8,25.7,-4.6,129413.5,8.0,5125.8,-9.3,,,,,,,,,,,,,,,,2.7,,-1.5,,,,
2023.1,,,1080.4,-13.8,,,7481.8,-20.1,117.7,-34.3,722751.5,-17.6,34.9,-45.7,134206.7,-7.8,5688.3,-15.1,,,,,,,,,,,,,,,,,,,,,,
2022.12,,,1327.5,3.0,1557.6,20.8,8930.5,19.3,214.2,29.6,1036632.6,1.2,36.1,-31.9,144818.2,2.0,5602.3,0.1,,,,,,,,,,,,,,,,2.5,,-0.7,,,,
2022.11,,,1305.7,-5.5,1567.8,21.0,11942.0,35.1,153.1,-3.2,1034696.4,-8.7,26.0,-46.0,140014.8,2.3,5635.9,-0.4,,,,,,,,,,,,,,,,2.6,,-0.3,,,,
2022.10,,,1240.1,2.3,1514.9,19.2,8599.2,8.6,143.7,-6.3,986265.3,-0.9,31.7,-31.3,135234.3,4.8,5564.2,1.4,,,,,,,,,,,,,,,,2.5,,-0.1,,,,
2022.9,,,1239.2,4.1,1514.0,22.0,7971.0,-10.2,141.9,-7.2,971023.2,2.8,38.2,-29.6,135976.4,1.3,5565.6,0.2,,,,,,,,,,,,,,,,2.8,,-0.2,,,,
2022.8,,,1188.3,7.0,1461.8,18.3,7827.2,-4.0,122.3,-10.6,943317.1,4.9,34.3,-33.1,142087.9,2.4,5272.5,1.5,,,,,,,,,,,,,,,,3.2,,-0.2,,,,
2022.7,,,1207.4,10.86,1451.44,19.46,6826.03,-25.42,127.25,3.14,964542.75,7.97,38.94,-28.25,138185.77,-2.06,5480.2,-0.02,,,,,,,,,,,,,,,,3.27,,-0.07,,,,
2022.6,,,1295.5,8.5,1499.0,19.3,7596.9,-17.7,140.6,5.4,1026343.4,5.4,36.6,-32.1,136013.5,-0.6,5812.7,0.4,,,,,,,,,,,,,,,,3.4,,-0.1,,,,
2022.5,,,1168.5,3.2,1457.69,22.43,5286.7,-42.4,130.3,-9.3,924344.6,0.2,29.6,-43.1,137245.3,0.1,5892.8,-1.3,,,,,,,,,,,,,,,,3.37,,0.18,,,,
2022.4,,,990.2,-7.4,1403.9,23.3,5323.2,-46.2,137.6,-7.8,748316.1,-11.9,33.7,-25.8,134536.6,-1.2,5877.2,0.0,,,,,,,,,,,,,,,,3.5,,0.2,,,,
2022.3,,,1138.7,-0.3,1444.4,24.7,8433.1,-22.4,153.6,-9.5,854102.3,-3.1,37.2,-31.6,146654.6,0.5,6044.1,-3.5,,,,,,,,,,,,,,,,3.8,,0.0,,,,
2022.2,,,962.7,38.6,1251.7,22.7,5966.9,-24.8,113.9,-10.4,691100.9,49.7,26.9,-44.1,119819.4,61.0,5649.2,30.4,,,,,,,,,,,,,,,,3.7,,-0.2,,,,
2021.12,,,1289.0,11.9,1536.5,28.0,7484.0,-31.6,165.3,-18.3,1024834.3,10.7,53.0,-38.0,141910.6,-1.9,5594.9,-4.1,,,,,,,,,,,,,,,,0.0,,0.0,,,,
2021.11,,,1381.4,16.7,1529.7,25.0,8839.0,-18.4,158.1,-16.5,1133224.6,16.5,48.1,-34.1,136891.4,0.4,5661.1,-2.6,,,,,,,,,,,,,,,,2.8,,-0.8,,,,
2021.10,,,1212.5,18.7,1503.8,28.3,7918.3,-20.9,153.3,-14.3,994824.9,20.8,46.1,-36.1,129079.0,0.3,5486.4,-4.0,,,,,,,,,,,,,,,,2.5,,-0.8,,,,
2021.9,,,1190.5,17.7,1458.0,31.6,8871.6,-19.6,152.8,-16.1,944953.9,16.8,54.2,-31.0,134185.9,0.1,5556.9,-0.9,,,,,,,,,,,,,,,,2.2,,-1.1,,,,
2021.8,,,1111.1,21.9,1453.7,25.5,8154.3,-20.5,136.7,0.1,899210.7,24.3,51.2,-24.0,138692.1,-1.7,5192.9,-10.8,,,,,,,,,,,,,,,,1.7,,-1.6,,,,
2021.7,,,1089.1,22.7,1434.0,25.5,9152.6,-22.0,123.4,-7.2,893360.5,28.8,54.3,-38.7,141085.5,0.0,5481.4,-5.8,,,,,,,,,,,,,,,,1.4,,-2.6,,,,
2021.6,,,1194.0,22.9,1466.2,30.2,9229.6,-24.1,133.4,-8.6,974071.0,30.4,53.8,-37.6,136848.6,-0.1,5792.2,-4.5,,,,,,,,,,,,,,,,1.2,,-3.1,,,,
2021.5,,,1132.4,20.0,1397.9,28.5,9182.8,-27.3,143.6,-9.5,922326.8,24.9,52.1,-40.0,137124.2,0.4,5968.6,-0.9,,,,,,,,,,,,,,,,1.0,,-3.8,,,,
2021.4,,,1069.2,25.5,1335.8,28.6,9890.4,-15.6,149.3,-10.6,849765.1,30.8,45.4,-44.6,136110.0,-1.1,5876.3,-1.8,,,,,,,,,,,,,,,,0.9,,-4.4,,,,
2021.3,,,1141.9,36.3,1353.6,30.3,10860.6,-27.5,169.7,-24.2,881816.2,47.4,54.3,-35.5,145854.0,-0.1,6266.1,-0.2,,,,,,,,,,,,,,,,0.7,,-4.1,,,,
2021.2,,,694.6,44.3,1203.2,27.5,7932.9,-18.9,127.1,-4.3,461809.2,67.0,48.2,10.5,74439.5,-43.9,4331.8,-28.2,,,,,,,,,,,,,,,,0.8,,-4.4,,,,
2021.1,,,1192.8,71.3,,,11271.8,-28.4,210.5,17.0,849444.2,124.7,85.4,-24.3,186624.0,33.3,7341.5,12.3,,,,,,,,,,,,,,,,,,,,,,
2020.12,,,2300.3,34.3,13196.6,38.2,10941.6,-33.4,202.2,-8.4,925368.3,37.4,85.5,-32.4,144718.9,-0.4,5834.8,-2.6,,,,,,,,,,,,,,,,-0.5,,-4.8,,,,
2020.11,,,2416.5,34.6,12815.9,36.3,10832.4,-41.6,189.3,-7.1,972623.3,36.5,73.0,-32.2,136286.0,-2.7,5813.0,-3.4,,,,,,,,,,,,,,,,-0.2,,-4.6,,,,
2020.10,,,2044.7,38.8,12356.1,26.8,10005.8,-39.7,178.9,-0.5,823388.0,43.0,72.2,-35.3,128743.6,-5.2,5713.9,-5.1,,,,,,,,,,,,,,,,0.1,,-4.7,,,,
2020.9,,,1984.1,39.8,10943.1,13.6,11031.3,-36.7,182.2,9.2,809158.2,44.6,78.6,-35.6,134045.9,-1.3,5607.2,-6.5,,,,,,,,,,,,,,,,0.1,,-4.5,,,,
2020.8,,,1809.8,34.1,12470.8,25.8,10251.3,-36.5,136.5,-6.6,723622.1,36.5,67.4,-43.5,141063.0,-2.4,5819.0,-1.8,,,,,,,,,,,,,,,,0.2,,-3.9,,,,
2020.7,,,1732.6,31.1,12098.4,26.9,11738.9,-29.8,132.9,-13.3,693601.4,32.2,88.6,-33.9,141055.4,-1.9,5820.9,-3.9,,,,,,,,,,,,,,,,0.4,,-3.2,,,,
2020.6,,,1843.5,34.6,11337.8,26.3,12162.9,-23.8,146.0,-8.1,746967.5,36.8,86.2,-32.0,136951.6,-0.6,6063.4,-2.9,,,,,,,,,,,,,,,,0.6,,-2.4,,,,
2020.5,,,1812.49,38.42,11182.34,25.78,12634.76,-27.6,158.73,-4.29,738292.51,41.09,86.8,-39.32,136597.84,-2.81,6020.85,-0.77,,,,,,,,,,,,,,,,0.2,,-1.98,,,,
2020.4,,,1633.41,31.14,10282.58,22.93,11714.89,-38.39,167.1,-2.21,649726.38,32.08,81.86,-45.42,137620.47,-1.21,5986.45,-6.0,,,,,,,,,,,,,,,,-0.04,,-1.46,,,,
2020.3,,,1554.29,23.79,10250.17,23.97,14975.41,-35.05,223.92,18.53,598423.15,23.03,84.2,-46.41,146067.59,-1.4,6277.12,-10.07,,,,,,,,,,,,,,,,-0.44,,-1.78,,,,
2020.2,,,840.0,5.68,9582.0,37.92,9784.53,-40.74,132.82,10.11,276521.36,0.21,43.62,-63.94,132792.4,9.78,6035.41,-3.52,,,,,,,,,,,,,,,,-0.23,,-0.07,,,,
2019.12,,,1712.29,33.82,9547.2,23.8,16426.7,-11.49,220.84,-6.06,673425.68,24.29,126.4,-37.83,145228.79,-0.66,5990.97,-10.56,,,,,,,,,,,,,,,,2.25,,4.82,,,,
2019.11,,,1795.46,30.41,9404.84,30.89,18546.38,-28.12,203.81,-9.39,712424.06,21.5,107.69,-40.76,140055.85,-2.39,6020.47,-4.23,,,,,,,,,,,,,,,,2.68,,4.01,,,,
2019.10,,,1473.06,31.09,9748.14,39.5,16601.83,-15.05,179.76,-15.45,575730.08,22.71,111.45,-37.78,135782.41,-2.3,6019.1,-5.24,,,,,,,,,,,,,,,,2.93,,3.85,,,,
2019.9,,,1419.38,33.26,9630.58,50.57,17413.7,-10.4,166.8,-17.32,559722.64,25.04,121.98,-37.07,135876.71,-3.19,5996.85,-4.55,,,,,,,,,,,,,,,,3.33,,3.54,,,,
2019.8,,,1349.17,37.24,9910.27,65.24,16134.73,-18.15,146.21,-8.77,530243.05,29.28,119.39,-38.06,144492.46,-2.62,5927.19,-3.5,,,,,,,,,,,,,,,,3.77,,2.92,,,,
2019.7,,,1321.79,33.66,9534.15,67.08,16720.86,-8.65,153.26,-0.95,524847.57,28.61,133.92,-34.77,143812.95,-1.34,6056.69,-3.32,,,,,,,,,,,,,,,,4.37,,2.84,,,,
2019.6,,,1369.11,35.85,8978.79,70.56,15956.34,-25.56,158.89,-12.5,546077.64,29.13,126.83,-37.41,137814.01,-3.84,6243.31,-3.35,,,,,,,,,,,,,,,,5.02,,1.98,,,,
2019.5,,,1309.41,30.0,8890.4,80.34,17450.48,-20.88,165.84,-6.93,523276.39,25.23,143.04,-33.22,140546.03,-7.91,6067.62,-6.37,,,,,,,,,,,,,,,,6.24,,1.51,,,,
2019.4,,,1245.58,33.68,8364.54,91.09,19014.48,-22.3,170.87,-8.75,491910.89,31.08,149.98,-28.61,139311.35,-0.2,6368.28,-6.59,,,,,,,,,,,,,,,,7.27,,1.32,,,,
2019.3,,,1255.57,24.3,8268.22,99.43,23056.1,-21.3,188.9,-10.8,486392.8,23.3,157.1,-32.1,148145.48,-1.7,6980.02,-4.9,,,,,,,,,,,,,,,,8.55,,1.02,,,,
