商品,日期,今值,预测值,前值
中国PPI年率报告,1995-08-01,13.5,,
中国PPI年率报告,1995-09-01,13.0,,13.5
中国PPI年率报告,1995-10-01,12.9,,13.0
中国PPI年率报告,1995-11-01,12.5,,12.9
中国PPI年率报告,1995-12-01,11.1,,12.5
中国PPI年率报告,1996-01-01,8.8,,11.1
中国PPI年率报告,1996-02-01,8.4,,8.8
中国PPI年率报告,1996-03-01,7.1,,8.4
中国PPI年率报告,1996-04-01,4.3,,7.1
中国PPI年率报告,1996-05-01,3.0,,4.3
中国PPI年率报告,1996-06-01,2.7,,3.0
中国PPI年率报告,1996-07-01,2.3,,2.7
中国PPI年率报告,1996-08-01,1.7,,2.3
中国PPI年率报告,1996-09-01,1.5,,1.7
中国PPI年率报告,1996-10-01,0.8,,1.5
中国PPI年率报告,1996-11-01,0.3,,0.8
中国PPI年率报告,1996-12-01,0.0,,0.3
中国PPI年率报告,1997-01-01,0.4,,0.0
中国PPI年率报告,1997-02-01,0.1,,0.4
中国PPI年率报告,1997-03-01,0.4,,0.1
中国PPI年率报告,1997-04-01,0.5,,0.4
中国PPI年率报告,1997-05-01,0.1,,0.5
中国PPI年率报告,1997-06-01,0.1,,0.1
中国PPI年率报告,1997-07-01,-0.4,,0.1
中国PPI年率报告,1997-08-01,-0.6,,-0.4
中国PPI年率报告,1997-09-01,-0.9,,-0.6
中国PPI年率报告,1997-10-01,-1.0,,-0.9
中国PPI年率报告,1997-11-01,-0.9,,-1.0
中国PPI年率报告,1997-12-01,-0.6,,-0.9
中国PPI年率报告,1998-01-01,-0.9,,-0.6
中国PPI年率报告,1998-02-01,-1.3,,-0.9
中国PPI年率报告,1998-03-01,-2.6,,-1.3
中国PPI年率报告,1998-04-01,-3.2,,-2.6
中国PPI年率报告,1998-05-01,-3.7,,-3.2
中国PPI年率报告,1998-06-01,-4.5,,-3.7
中国PPI年率报告,1998-07-01,-4.9,,-4.5
中国PPI年率报告,1998-08-01,-5.0,,-4.9
中国PPI年率报告,1998-09-01,-5.5,,-5.0
中国PPI年率报告,1998-10-01,-4.2,,-5.5
中国PPI年率报告,1998-11-01,-5.4,,-4.2
中国PPI年率报告,1998-12-01,-5.7,,-5.4
中国PPI年率报告,1999-01-01,-5.4,,-5.7
中国PPI年率报告,1999-02-01,-4.9,,-5.4
中国PPI年率报告,1999-03-01,-4.9,,-4.9
中国PPI年率报告,1999-04-01,-4.6,,-4.9
中国PPI年率报告,1999-05-01,-3.9,,-4.6
中国PPI年率报告,1999-06-01,-3.4,,-3.9
中国PPI年率报告,1999-07-01,-3.6,,-3.4
中国PPI年率报告,1999-08-01,-2.5,,-3.6
中国PPI年率报告,1999-09-01,-2.3,,-2.5
中国PPI年率报告,1999-10-01,-2.1,,-2.3
中国PPI年率报告,1999-11-01,-0.7,,-2.1
中国PPI年率报告,1999-12-01,-1.0,,-0.7
中国PPI年率报告,2000-01-01,-0.8,,-1.0
中国PPI年率报告,2000-02-01,0.0,,-0.8
中国PPI年率报告,2000-03-01,1.0,,0.0
中国PPI年率报告,2000-04-01,1.9,,1.0
中国PPI年率报告,2000-05-01,2.6,,1.9
中国PPI年率报告,2000-06-01,2.5,,2.6
中国PPI年率报告,2000-07-01,3.0,,2.5
中国PPI年率报告,2000-08-01,4.5,,3.0
中国PPI年率报告,2000-09-01,3.9,,4.5
中国PPI年率报告,2000-10-01,3.7,,3.9
中国PPI年率报告,2000-11-01,3.6,,3.7
中国PPI年率报告,2000-12-01,3.5,,3.6
中国PPI年率报告,2001-01-01,2.8,,3.5
中国PPI年率报告,2001-02-01,1.4,,2.8
中国PPI年率报告,2001-03-01,0.9,,1.4
中国PPI年率报告,2001-04-01,0.2,,0.9
中国PPI年率报告,2001-05-01,-0.1,,0.2
中国PPI年率报告,2001-06-01,-0.2,,-0.1
中国PPI年率报告,2001-07-01,-0.6,,-0.2
中国PPI年率报告,2001-08-01,-1.3,,-0.6
中国PPI年率报告,2001-09-01,-2.0,,-1.3
中国PPI年率报告,2001-10-01,-2.9,,-2.0
中国PPI年率报告,2001-11-01,-3.1,,-2.9
中国PPI年率报告,2001-12-01,-3.7,,-3.1
中国PPI年率报告,2002-01-01,-4.0,,-3.7
中国PPI年率报告,2002-02-01,-4.2,,-4.0
中国PPI年率报告,2002-03-01,-4.2,,-4.2
中国PPI年率报告,2002-04-01,-4.0,,-4.2
中国PPI年率报告,2002-05-01,-3.1,,-4.0
中国PPI年率报告,2002-06-01,-2.6,,-3.1
中国PPI年率报告,2002-07-01,-2.5,,-2.6
中国PPI年率报告,2002-08-01,-2.3,,-2.5
中国PPI年率报告,2002-09-01,-1.7,,-2.3
中国PPI年率报告,2002-10-01,-1.4,,-1.7
中国PPI年率报告,2002-11-01,-1.0,,-1.4
中国PPI年率报告,2002-12-01,-0.4,,-1.0
中国PPI年率报告,2003-01-01,0.4,,-0.4
中国PPI年率报告,2003-02-01,2.4,,0.4
中国PPI年率报告,2003-03-01,3.9,,2.4
中国PPI年率报告,2003-04-01,4.6,,3.9
中国PPI年率报告,2003-05-01,3.6,,4.6
中国PPI年率报告,2003-06-01,2.0,,3.6
中国PPI年率报告,2003-07-01,1.3,,2.0
中国PPI年率报告,2003-08-01,1.4,,1.3
中国PPI年率报告,2003-09-01,1.4,,1.4
中国PPI年率报告,2003-10-01,1.4,,1.4
中国PPI年率报告,2003-11-01,1.2,,1.4
