月份,总指数-指数值,总指数-同比增长,总指数-环比增长,农产品-指数值,农产品-同比增长,农产品-环比增长,矿产品-指数值,矿产品-同比增长,矿产品-环比增长,煤油电-指数值,煤油电-同比增长,煤油电-环比增长
2026年02月份,100.0,1.93679918,0.70493454,100.7,4.13650465,1.30784708,116.0,11.96911197,-0.42918455,95.7,-0.20855057,2.13447172
2026年01月份,99.3,0.91463415,0.50607287,99.4,-1.58415842,-0.99601594,116.5,16.03585657,3.64768683,93.7,-2.5987526,-1.05596621
2025年12月份,98.8,0.508647,0.71355759,100.4,1.00603622,2.97435897,112.4,10.73891626,1.44404332,94.7,-0.94142259,-0.21074816
2025年11月份,98.1,-0.50709939,0.82219938,97.5,-5.24781341,6.20915033,110.8,8.203125,1.00273473,94.9,0.31712474,-0.10526316
2025年10月份,97.3,-1.71717172,-0.40941658,91.8,-13.31444759,1.10132159,109.7,4.67557252,-0.09107468,95.0,1.38740662,-1.144641
2025年09月份,97.7,-0.6103764,0.41109969,90.8,-15.2194211,-0.87336245,109.8,6.18955513,3.48727615,96.1,3.44456405,2.23404255
2025年08月份,97.3,-1.81634712,0.20597322,91.6,-13.17535545,-5.27404343,106.1,0.47348485,3.31061344,94.0,-2.89256198,1.18406889
2025年07月份,97.1,-2.70541082,0.30991736,96.7,-3.10621242,-2.52016129,102.7,-4.7309833,0.09746589,92.9,-7.28542914,1.08813928
2025年06月份,96.8,-3.1031031,0.0,99.2,2.47933884,0.81300813,102.6,-5.52486188,-0.19455253,91.9,-8.7388282,0.32751092
2025年05月份,96.8,-2.71356784,-0.81967213,98.4,0.71647902,-0.80645161,102.8,-5.34069982,-1.7208413,91.6,-7.93969849,-1.29310345
2025年04月份,97.6,-0.61099796,-0.509684,99.2,1.63934426,1.43149284,104.6,-0.75901328,-0.57034221,92.8,-5.01535312,-1.69491525
2025年03月份,98.1,0.40941658,0.0,97.8,1.13753878,1.13753878,105.2,0.19047619,1.54440154,94.4,-2.88065844,-1.5641293
2025年02月份,98.1,0.30674847,-0.30487805,96.7,-1.92697769,-4.25742574,103.6,-3.35820896,3.187251,95.9,-0.72463768,-0.31185031
2025年01月份,98.4,0.61349693,0.1017294,101.0,7.33262487,1.60965795,100.4,-9.46798918,-1.08374384,96.2,-0.31088083,0.62761506
2024年12月份,98.3,0.10183299,-0.30425963,99.4,3.00518135,-3.40136054,101.5,-8.55855856,-0.87890625,95.6,-0.31282586,1.05708245
2024年11月份,98.6,0.71501532,-0.4040404,102.9,9.70149254,-2.83286119,102.4,-6.99364214,-2.29007634,94.6,-1.56087409,0.96051227
2024年10月份,99.0,1.12359551,0.7121058,105.9,13.87096774,-1.12044818,104.8,-2.60223048,1.35396518,93.7,-4.09416581,0.86114101
2024年09月份,98.3,-0.30425963,-0.80726539,107.1,13.21353066,1.51658768,103.4,-3.63466915,-2.08333333,92.9,-5.87639311,-4.02892562
2024年08月份,99.1,1.12244898,-0.70140281,105.5,10.12526096,5.71142285,105.6,-1.58434296,-2.04081633,96.8,0.83333333,-3.39321357
2024年07月份,99.8,2.88659794,-0.1001001,99.8,3.6344756,3.09917355,107.8,3.05927342,-0.73664825,100.2,9.1503268,-0.49652433
2024年06月份,99.9,4.60732984,0.40201005,96.8,-2.90872618,-0.92118731,108.6,8.70870871,0.0,100.7,11.88888889,1.20603015
2024年05月份,99.5,3.75391032,1.32382892,97.7,-2.10420842,0.10245902,108.6,9.47580645,3.03605313,99.5,6.3034188,1.84237462
2024年04月份,98.2,1.13285273,0.51177073,97.6,-4.40744368,0.93071355,105.4,5.29470529,0.38095238,97.7,1.66493236,0.51440329
2024年03月份,97.7,-0.6103764,-0.10224949,96.7,-8.51466414,-1.92697769,105.0,3.24483776,-2.05223881,97.2,-1.1190234,0.62111801
2024年02月份,97.8,-1.90571715,0.0,98.6,-7.33082707,4.78214665,107.2,4.6875,-3.33633904,96.6,-6.30455868,0.10362694
2024年01月份,97.8,-2.58964143,-0.40733198,94.1,-12.38361266,-2.48704663,110.9,8.83218842,-0.09009009,96.5,-8.79017013,0.62565172
2023年12月份,98.2,-1.99600798,0.30643514,96.5,-7.47842761,2.87846482,111.0,8.1871345,0.81743869,95.9,-11.2037037,-0.20811655
2023年11月份,97.9,-1.90380762,0.0,93.8,-10.66666667,0.86021505,110.1,9.3346574,2.32342007,96.1,-10.85343228,-1.63766633
2023年10月份,97.9,-2.1978022,-0.70993915,93.0,-16.89008043,-1.69133192,107.6,9.68399592,0.27958993,97.7,-9.53703704,-1.01317123
2023年09月份,98.6,-3.04818092,0.6122449,94.6,-15.53571429,-1.2526096,107.3,12.00417537,0.0,98.7,-11.71735242,2.8125
2023年08月份,98.0,-4.20332356,1.03092784,95.8,-10.96654275,-0.5192108,107.3,15.625,2.58126195,96.0,-16.08391608,4.5751634
2023年07月份,97.0,-5.91658584,1.57068063,96.3,-9.57746479,-3.41023069,104.6,12.23175966,4.7047047,91.8,-21.33676093,2.0
2023年06月份,95.5,-9.22053232,-0.41710115,99.7,-3.39147287,-0.1002004,99.9,1.83486239,0.70564516,90.0,-25.37313433,-3.84615385
2023年05月份,95.9,-8.75356803,-1.23583934,99.8,-0.3992016,-2.25269344,99.2,-1.68483647,-0.8991009,93.6,-22.19451372,-2.60145682
2023年04月份,97.1,-8.65475071,-1.2207528,102.1,4.82546201,-3.40586566,100.1,-4.75737393,-1.57325467,96.1,-21.42273099,-2.2380468
2023年03月份,98.3,-7.35155514,-1.40421264,105.7,12.56656017,-0.65789474,101.7,-2.21153846,-0.68359375,98.3,-18.82741536,-4.6556741
2023年02月份,99.7,-6.03204524,-0.69721116,106.4,16.03053435,-0.9310987,102.4,-0.7751938,0.49067713,103.1,-13.14237574,-2.55198488
2023年01月份,100.4,-5.63909774,0.1996008,107.4,15.35982814,2.97219559,101.9,-1.45067698,-0.68226121,105.8,-10.33898305,-2.03703704
2022年12月份,100.2,-6.79069767,0.4008016,104.3,7.97101449,-0.66666667,102.6,-1.53550864,1.88679245,108.0,-8.9376054,0.18552876
2022年11月份,99.8,-9.10746812,-0.2997003,105.0,6.92464358,-6.16621984,100.7,-6.58627087,2.65035678,107.8,-12.92407108,-0.18518519
2022年10月份,100.1,-9.08265213,-1.57325467,111.9,21.49837134,-0.08928571,98.1,-11.93895871,2.40083507,108.0,-12.69199677,-3.39892665
2022年09月份,101.7,-5.74606117,-0.58651026,112.0,24.72160356,4.08921933,95.8,-16.25874126,3.23275862,111.8,-4.93197279,-2.27272727
2022年08月份,102.3,-4.92565056,-0.77594568,107.6,15.45064378,1.03286385,92.8,-20.20636285,-0.42918455,114.4,-0.60816681,-1.97086547
2022年07月份,103.1,-4.44856348,-1.99619772,106.5,12.6984127,3.19767442,93.2,-22.97520661,-4.99490316,116.7,1.21422376,-3.23383085
2022年06月份,105.2,-2.6827012,0.09514748,103.2,6.94300518,2.99401198,98.1,-19.25925926,-2.77502478,120.6,4.96083551,0.24937656
2022年05月份,105.1,-3.66636114,-1.12888053,100.2,0.2,2.87474333,100.9,-16.61157025,-3.9961941,120.3,4.42708333,-1.63532298
2022年04月份,106.3,-1.11627907,0.18850141,97.4,-2.30692076,3.72736954,105.1,-10.4770017,1.05769231,122.3,10.0810081,0.9909166
2022年03月份,106.1,0.66413662,0.0,93.9,-7.21343874,2.39912759,104.0,-9.72222222,0.7751938,121.1,16.33045149,2.02190396
2022年02月份,106.1,3.10981535,-0.28195489,91.7,-9.65517241,-1.5037594,103.2,-9.39420544,-0.1934236,118.7,21.61885246,0.59322034
2022年01月份,106.4,5.13833992,-1.02325581,93.1,-8.54616896,-3.62318841,103.4,-6.59439928,-0.76775432,118.0,25.93383138,-0.50590219
2021年12月份,107.5,7.28542914,-2.09471767,96.6,-3.97614314,-1.6293279,104.2,-4.13983441,-3.33951763,118.6,28.07775378,-4.2003231
2021年11月份,109.8,10.90909091,-0.27247956,98.2,-1.8,6.62323561,107.8,1.31578947,-3.23159785,123.8,36.64459161,0.08084074
2021年10月份,110.1,11.77664975,2.03892493,92.1,-10.40856031,2.56124722,111.4,5.79297246,-2.62237762,123.7,37.13968958,5.18707483
2021年09月份,107.9,9.32117528,0.27881041,89.8,-15.36286522,-3.64806867,114.4,10.31822565,-1.63370593,117.6,29.08891328,2.17202433
