统计月份,居民消费项目,零售商品价格指数
2002.1,"零售商品
",98.0
2002.1,建筑材料及五金电料,100.6
2002.1,燃料,93.2
2002.1,书报杂志及电子出版物,101.0
2002.1,中西药品及医疗保健用品,97.3
2002.1,金银珠宝,92.2
2002.1,化妆品,99.0
2002.1,机电产品,94.1
2002.1,日用品,99.1
2002.1,体育娱乐用品,98.8
2002.1,饮料、烟酒,100.0
2002.1,食品,98.7
2002.1,纺织品,99.4
2002.1,家用电器及音像器材,94.2
2002.1,服装、鞋帽,98.3
2002.10,燃料,107.6
2002.10,"零售商品
",98.8
2002.10,食品,99.4
2002.10,饮料、烟酒,99.6
2002.10,纺织品,99.4
2002.10,家用电器及音像器材,94.3
2002.10,日用品,98.6
2002.10,体育娱乐用品,98.5
2002.10,化妆品,98.2
2002.10,金银珠宝,105.5
2002.10,中西药品及医疗保健用品,96.3
2002.10,书报杂志及电子出版物,100.9
2002.10,服装、鞋帽,97.5
2002.10,建筑材料及五金电料,99.8
2002.10,机电产品,94.5
2002.11,"零售商品
",99.1
2002.11,建筑材料及五金电料,99.5
2002.11,燃料,108.4
2002.11,书报杂志及电子出版物,101.0
2002.11,中西药品及医疗保健用品,96.1
2002.11,金银珠宝,106.0
2002.11,化妆品,97.8
2002.11,机电产品,94.6
2002.11,日用品,98.7
2002.11,家用电器及音像器材,94.3
2002.11,纺织品,99.2
2002.11,服装、鞋帽,97.6
2002.11,饮料、烟酒,99.6
2002.11,食品,100.4
2002.11,体育娱乐用品,98.4
2002.12,机电产品,94.8
2002.12,建筑材料及五金电料,99.8
2002.12,燃料,111.6
2002.12,书报杂志及电子出版物,101.0
2002.12,中西药品及医疗保健用品,96.3
2002.12,金银珠宝,108.2
2002.12,日用品,98.6
2002.12,体育娱乐用品,98.3
2002.12,家用电器及音像器材,94.4
2002.12,纺织品,99.4
2002.12,服装、鞋帽,97.8
2002.12,饮料、烟酒,99.6
2002.12,化妆品,97.9
2002.12,食品,101.3
2002.12,"零售商品
",99.7
2002.2,机电产品,93.7
2002.2,建筑材料及五金电料,100.5
2002.2,燃料,93.8
2002.2,书报杂志及电子出版物,100.5
2002.2,中西药品及医疗保健用品,96.6
2002.2,金银珠宝,93.1
2002.2,化妆品,98.8
2002.2,体育娱乐用品,98.7
2002.2,家用电器及音像器材,94.0
2002.2,纺织品,99.5
2002.2,服装、鞋帽,98.2
2002.2,饮料、烟酒,100.1
2002.2,食品,101.3
2002.2,"零售商品
",98.9
2002.2,日用品,99.0
2002.3,书报杂志及电子出版物,100.6
2002.3,金银珠宝,94.4
2002.3,化妆品,98.7
2002.3,体育娱乐用品,98.7
2002.3,日用品,98.8
2002.3,中西药品及医疗保健用品,96.3
2002.3,家用电器及音像器材,94.5
2002.3,建筑材料及五金电料,100.3
2002.3,纺织品,99.4
2002.3,服装、鞋帽,97.9
2002.3,饮料、烟酒,100.2
2002.3,食品,99.4
2002.3,"零售商品
",98.2
2002.3,机电产品,93.8
2002.3,燃料,94.2
2002.4,"零售商品
",97.9
2002.4,金银珠宝,97.3
2002.4,化妆品,98.6
2002.4,体育娱乐用品,98.8
2002.4,日用品,98.7
2002.4,家用电器及音像器材,94.1
2002.4,纺织品,99.4
2002.4,服装、鞋帽,98.1
2002.4,饮料、烟酒,100.2
2002.4,食品,97.9
