日期,美元/人民币_中间价,美元/人民币_涨跌幅,欧元/人民币_中间价,欧元/人民币_涨跌幅,100日元/人民币_中间价,100日元/人民币_涨跌幅,港元/人民币_中间价,港元/人民币_涨跌幅,英镑/人民币_中间价,英镑/人民币_涨跌幅,澳元/人民币_中间价,澳元/人民币_涨跌幅,新西兰元/人民币_中间价,新西兰元/人民币_涨跌幅,新加坡元/人民币_中间价,新加坡元/人民币_涨跌幅,瑞郎/人民币_中间价,瑞郎/人民币_涨跌幅,加元/人民币_中间价,加元/人民币_涨跌幅,人民币/马来西亚林吉特_中间价,人民币/马来西亚林吉特_涨跌幅,人民币/俄罗斯卢布_中间价,人民币/俄罗斯卢布_涨跌幅,人民币/南非兰特_中间价,人民币/南非兰特_涨跌幅,人民币/韩元_中间价,人民币/韩元_涨跌幅,人民币/阿联酋迪拉姆_中间价,人民币/阿联酋迪拉姆_涨跌幅,人民币/沙特里亚尔_中间价,人民币/沙特里亚尔_涨跌幅,人民币/匈牙利福林_中间价,人民币/匈牙利福林_涨跌幅,人民币/波兰兹罗提_中间价,人民币/波兰兹罗提_涨跌幅,人民币/丹麦克朗_中间价,人民币/丹麦克朗_涨跌幅,人民币/瑞典克朗_中间价,人民币/瑞典克朗_涨跌幅,人民币/挪威克朗_中间价,人民币/挪威克朗_涨跌幅,人民币/土耳其里拉_中间价,人民币/土耳其里拉_涨跌幅,人民币/墨西哥比索_中间价,人民币/墨西哥比索_涨跌幅,人民币/泰铢_定价,人民币/泰铢_涨跌幅
2018-02-06,6.3072,0.0,7.8035,0.0,5.772,0.0,0.8065,0.0,8.8004,0.0,4.9702,0.0,4.5875,0.0,4.7682,0.0,6.7638,0.0,5.0317,0.0,0.61883,0.0,9.0975,0.0,1.9212,0.0,173.38,0.0,0.58275,0.0,0.59501,0.0,39.7561,0.0,0.5331,0.0,0.954,0.0,1.2646,0.0,1.2424,0.0,0.60032,0.0,2.983,0.0,5.0191,0.0
2018-02-07,6.2882,-190.0,7.7784,-251.0,5.7323,-397.0,0.80419,-23.1,8.7648,-356.0,4.9581,-121.0,4.6049,174.0,4.7627,-55.0,6.7117,-521.0,5.0228,-89.0,0.62264,38.1,9.0536,-439.0,1.9003,-209.0,172.5,-88.0,0.58475,20.0,0.59707,20.6,39.8332,771.0,0.53451,14.1,0.9571,31.0,1.2654,8.0,1.2438,14.0,0.60005,-2.7,2.9646,-184.0,5.0178,-13.0
2018-02-08,6.2822,-60.0,7.7007,-777.0,5.7446,123.0,0.80359,-6.0,8.7083,-565.0,4.9094,-487.0,4.5316,-733.0,4.7356,-271.0,6.6556,-561.0,4.9944,-284.0,0.62294,3.0,9.2014,1478.0,1.9223,220.0,173.09,59.0,0.58519,4.4,0.59754,4.7,40.3238,4906.0,0.5415,69.9,0.9666,95.0,1.288,226.0,1.2598,160.0,0.60624,61.9,2.9932,286.0,5.0429,251.0
2018-02-09,6.3194,372.0,7.7447,440.0,5.8192,746.0,0.80815,45.6,8.8057,974.0,4.9194,100.0,4.5648,332.0,4.7471,115.0,6.7552,996.0,5.0204,260.0,0.62139,-15.5,9.2267,253.0,1.9226,3.0,172.72,-37.0,0.58122,-39.7,0.59343,-41.1,40.1764,-1474.0,0.54108,-4.2,0.9608,-58.0,1.2829,-51.0,1.2526,-72.0,0.60518,-10.6,2.9868,-64.0,5.0406,-23.0
2018-02-12,6.3001,-193.0,7.7183,-264.0,5.7935,-257.0,0.8057,-24.5,8.7042,-1015.0,4.9232,38.0,4.5632,-16.0,4.7427,-44.0,6.7025,-527.0,5.0003,-201.0,0.62506,36.7,9.263,363.0,1.9087,-139.0,172.2,-52.0,0.58314,19.2,0.59541,19.8,40.4579,2815.0,0.54238,13.0,0.9649,41.0,1.285,21.0,1.2664,138.0,0.60608,9.0,2.9722,-146.0,5.031,-96.0
2018-02-13,6.3247,246.0,7.774,557.0,5.8159,224.0,0.80876,30.6,8.7569,527.0,4.9684,452.0,4.5919,287.0,4.78,373.0,6.736,335.0,5.0274,271.0,0.62245,-26.1,9.1426,-1204.0,1.8832,-255.0,171.4,-80.0,0.58074,-24.0,0.59297,-24.4,40.1029,-3550.0,0.53597,-64.1,0.9577,-72.0,1.2744,-106.0,1.2509,-155.0,0.60047,-56.1,2.941,-312.0,4.9996,-314.0
2018-02-14,6.3428,181.0,7.8343,603.0,5.885,691.0,0.81094,21.8,8.8068,499.0,4.9861,177.0,4.6162,243.0,4.7949,149.0,6.7821,461.0,5.0381,107.0,0.62045,-20.0,9.0896,-530.0,1.8863,31.0,171.05,-35.0,0.57907,-16.7,0.59127,-17.0,39.8181,-2848.0,0.53177,-42.0,0.951,-67.0,1.2657,-87.0,1.2409,-100.0,0.60044,-0.3,2.9397,-13.0,4.9633,-363.0
2018-02-22,6.353,102.0,7.7966,-377.0,5.904,190.0,0.8119,9.6,8.837,302.0,4.9546,-315.0,4.6465,303.0,4.7955,6.0,6.7661,-160.0,5.0033,-348.0,0.61482,-56.3,8.9373,-1523.0,1.838,-483.0,169.79,-126.0,0.57818,-8.9,0.59037,-9.0,40.0548,2367.0,0.53509,33.2,0.9547,37.0,1.2786,129.0,1.2388,-21.0,0.59726,-31.8,2.9645,248.0,4.9709,76.0
2018-02-23,6.3482,-48.0,7.8276,310.0,5.9465,425.0,0.81139,-5.1,8.8595,225.0,4.9762,216.0,4.6528,63.0,4.8137,182.0,6.8067,406.0,4.9961,-72.0,0.61627,14.5,8.9024,-349.0,1.8354,-26.0,170.26,47.0,0.57858,4.0,0.59071,3.4,39.9644,-904.0,0.53426,-8.3,0.9515,-32.0,1.2788,2.0,1.2366,-22.0,0.59607,-11.9,2.9323,-322.0,4.9581,-128.0
2018-02-26,6.3378,-104.0,7.7892,-384.0,5.9225,-240.0,0.81009,-13.0,8.8534,-61.0,4.9674,-88.0,4.6167,-361.0,4.7993,-144.0,6.7667,-400.0,5.0119,158.0,0.61786,15.9,8.8742,-282.0,1.8259,-95.0,169.91,-35.0,0.57957,9.9,0.59175,10.4,40.189,2246.0,0.53603,17.7,0.9562,47.0,1.2905,117.0,1.239,24.0,0.59783,17.6,2.929,-33.0,4.9587,6.0
