月份,社会融资规模增量,其中-人民币贷款,其中-委托贷款外币贷款,其中-委托贷款,其中-信托贷款,其中-未贴现银行承兑汇票,其中-企业债券,其中-非金融企业境内股票融资
201501,20516,14708,212,832,52,1946,1868,526.0
201502,13609,11437,-146,1299,38,-592,716,542.0
201503,12433,9920,-4,1111,-77,-910,1344,639.0
201504,10582,8045,-265,344,-46,-74,1616,597.0
201505,12397,8510,81,324,-195,961,1710,584.0
201506,18384,13240,560,1414,536,-1028,2132,1051.0
201507,7511,5890,-133,1137,99,-3317,2832,615.0
201508,11097,7756,-620,1198,317,-1577,3121,479.0
201509,13571,10417,-2344,2422,-159,-1279,3805,349.0
201510,5593,5574,-1317,1390,-201,-3697,3331,121.0
201511,10255,8873,-1142,910,-301,-2545,3378,568.0
201512,18114,8323,-1308,3530,370,1546,3535,1518.0
201601,34758,25370,-1727,2175,552,1327,5083,1469.0
201602,8312,8105,-569,1650,308,-3705,1386,810.0
201603,23931,13176,6,1660,732,173,7081,562.0
201604,7809,5642,-706,1694,269,-2776,2366,951.0
201605,6770,9374,-524,1566,121,-5067,-250,1073.0
201606,16479,13141,-267,1721,809,-2720,-250,1158.0
201607,4791,4550,-401,1775,210,-5118,2208,1135.0
201608,14605,7969,70,1432,736,-376,3236,1075.0
201609,17115,12628,-487,1451,1057,-2230,2872,1368.0
201610,8865,6010,-335,725,530,-1801,2192,1125.0
201611,18328,8463,-310,1994,1625,1171,3859,861.0
201612,16397,9943,-389,4011,1643,1606,-2016,828.0
201701,36970,23133,126,3136,3175,6130,-510,1225.0
201702,10908,10317,368,1172,1062,-1719,-1125,570.0
201703,21186,11586,288,2039,3113,2390,129,800.0
201704,13880,10806,-283,-48,1473,345,501,769.0
201705,10631,11780,-99,-278,1812,-1245,-2488,458.0
201706,17718,14474,73,-32,2481,-230,-169,487.0
201707,11956,9152,-213,163,1232,-2037,2621,536.0
201708,14895,11466,-332,-82,1143,242,1137,653.0
201709,18335,11885,-232,775,2368,784,1654,519.0
201710,10357,6635,-44,43,1019,12,1482,601.0
201711,16128,11428,198,280,1434,15,853,1324.0
201712,11481,5769,169,601,2245,676,337,817.0
201801,30793,26850,266,-714,455,1437,1222,500.0
201802,11894,10199,86,-750,660,106,644,379.0
201803,15848,11425,139,-1850,-357,-323,3536,404.0
201804,17761,10987,-26,-1481,-94,1454,4047,533.0
201805,9518,11396,-228,-1570,-904,-1741,-382,438.0
201806,14877,16787,-364,-1642,-1623,-3649,1349,258.0
201807,12254,12861,-773,-950,-1192,-2744,2195,175.0
201808,19391,13140,-344,-1207,-688,-779,3402,141.0
201809,21691,14341,-670,-1432,-909,-548,382,272.0
201810,7420,7141,-800,-949,-1273,-453,1476,176.0
201811,15239,12302,-787,-1310,-467,-127,3127,200.0
201812,15898,9281,-702,-2210,-509,1023,3757,130.0
201901,46791,35668,343,-699,345,3787,4829,289.0
