统计时间,统计对象,货运量,货运量同比增长,货物周转量,公里货物周转量同比增长,客运量,客运量同比增长,旅客周转量,公里旅客周转量同比增长,沿海主要港口货物吞吐量,沿海主要港口货物吞吐量同比增长,其中:外贸货物吞吐量,其中:外贸货物吞吐量同比增长,民航总周转量,公里民航总周转
2026.3,国际航线,39.3,7.8,30.3,11.7,0.07,17.0,307.8,23.2,,,,,57.6,16.7
2026.3,港澳地区航线,1.8,20.5,0.2,22.7,0.01,14.1,12.6,15.5,,,,,1.3,16.5
2026.3,国内航线,45.8,1.3,7.0,0.9,0.6,11.5,928.2,13.7,,,,,89.2,12.3
2026.3,民航,85.1,4.2,37.3,9.5,0.67,12.1,1235.9,15.9,,,,,146.8,14.0
2026.2,国际航线,33.2,23.8,25.7,24.6,0.07,15.6,300.0,23.0,,,,,51.8,23.4
2026.2,港澳地区航线,1.2,2.9,0.1,4.9,0.01,26.3,12.9,28.7,,,,,1.2,24.1
2026.2,国内航线,40.8,21.2,6.4,22.9,0.61,10.5,976.3,12.5,,,,,89.8,11.4
2026.2,民航,74.04,22.3,32.15,24.3,0.68,11.0,1276.2,14.8,,,,,141.6,15.5
2026.2,水运,6.05,3.1,11114.48,7.5,0.26,20.9,5.17,32.2,,,,,,
2026.2,公路,23.81,-13.4,4460.2,-12.9,8.93,-4.0,391.54,-1.8,,,,,,
2026.2,铁路,3.82,-0.6,2656.63,1.3,4.08,10.5,1670.43,15.1,,,,,,
2026.2,合计,33.69,-9.5,18263.46,0.8,13.95,0.9,3343.36,12.7,,,,,,
2026.1,国际航线,38.0,23.9,28.4,21.9,0.07,-1.0,299.1,3.9,,,,,54.7,13.3
2026.1,港澳地区航线,1.8,33.4,0.2,31.4,0.01,0.3,12.1,1.0,,,,,1.3,6.9
2026.1,国内航线,48.1,-6.6,7.3,-8.2,0.56,-3.2,884.0,-2.4,,,,,84.8,-1.5
