数据日期,发行总股本-上海,发行总股本-深圳,市价总值-上海,市价总值-深圳,成交金额-上海,成交金额-深圳,成交量-上海,成交量-深圳,A股最高综合股价指数-上海,A股最高综合股价指数-深圳,A股最低综合股价指数-上海,A股最低综合股价指数-深圳
2026年04月份,,,,,,,,,4114.8443,2926.5142,3871.3004,2644.6199
2026年03月份,50837.47,27222.5808,639452.66,438619.4565,225151.71,283954.14707278,15576.71,16540.1556,4197.228,2887.384,3794.6844,2652.133
2026年02月份,50801.0,27181.1769,682245.08,477047.0501,137584.0,183520.1888239,8456.28,10431.2229,4167.8438,2891.8838,4002.782,2795.7524
2026年01月份,50751.0,27133.6597,672864.14,462613.6993,259829.0,343595.69454472,15254.42,19190.7279,4190.8663,2887.4244,3983.5759,2701.066
2025年12月份,50712.0,26890.2406,647771.04,432408.3645,178320.0,250516.12120706,11740.31,15559.8811,3983.9787,2672.7214,3815.8444,2562.8543
2025年11月份,50625.0,26787.1969,628829.71,417348.9845,161610.0,217954.44003859,11362.6,14301.1621,4034.0786,2665.1438,3816.5757,2513.5487
2025年10月份,50565.0,26740.3885,638481.52,425782.545,163468.0,201098.54875657,10819.2,11811.0499,4025.7048,2675.8427,3800.1055,2551.0214
2025年09月份,50461.0,26715.6201,624328.59,427290.6856,227086.0,299306.99177424,14359.15,18005.2039,3899.9594,2647.0961,3732.8404,2508.8807
2025年08月份,50627.0,26648.5981,619625.6,413250.1286,200894.0,277829.0509418,13628.11,17629.6367,3888.5985,2577.7656,3547.1629,2286.8893
2025年07月份,50600.0,26612.5367,572912.11,367762.6816,156067.0,214274.02199878,13241.67,15948.498,3636.1664,2324.595,3441.0379,2170.4749
2025年06月份,50182.0,26562.1792,548595.47,350945.3424,102087.7329,159380.82132864,8609.0664,12507.8679,3462.752,2171.1151,3340.0666,2076.5204
2025年05月份,49312.0,26486.1111,526655.78,334744.4432,89268.0,135758.74035247,7777.68,11116.1218,3417.3142,2115.7465,3286.9886,2048.9228
2025年04月份,49364.0,26440.4002,515570.32,325948.535,108319.0,145147.21714878,9528.43,12571.9959,3361.134,2119.7604,3040.6932,1895.6956
2025年03月份,49388.0,26439.177,524049.34,341128.3394,125269.0,187994.03960725,10056.15,14284.2669,3439.0463,2224.6373,3297.5304,2112.132
2025年02月份,49428.0,26405.1352,520923.77,343584.5056,126678.0,199161.66823759,9738.81,14570.353,3388.7808,2202.3384,3220.2794,2017.0347
2025年01月份,49415.0,26399.6002,509659.92,324178.4093,86575.0,127973.46256776,7642.92,11021.1626,3351.722,2050.4367,3140.9775,1935.2476
2024年12月份,49344.0,26352.1433,524308.99,330411.5313,139375.0,210936.81186493,12968.65,18624.7778,3494.8669,2226.928,3323.0091,2104.0977
2024年11月份,49251.0,26081.5581,519637.6,338651.4651,163636.0,241682.72303958,14460.69,19869.5735,3509.8182,2255.2499,3227.3553,2071.6743
2024年10月份,49222.0,26055.9472,511459.11,334114.3552,143381.0,213400.13313662,12556.94,17041.5919,3674.4048,2276.5686,3152.8213,1951.9376
2024年09月份,49200.0,26089.363,519544.13,323216.4251,65217.0,85739.35072172,6976.38,9332.3705,3358.5883,2023.498,2689.6952,1546.7093
2024年08月份,49188.0,26132.1549,442360.33,258376.6494,56752.0,74156.37047186,5979.64,8303.3235,2947.8768,1693.2676,2815.3829,1568.9495
