日期,最新值,涨跌幅,近3月涨跌幅,近6月涨跌幅,近1年涨跌幅,近2年涨跌幅,近3年涨跌幅
2005-09-27,123.8,,,,,,
2005-09-28,123.0,-0.64620355,,,,,
2005-09-29,123.1,0.08130081,,,,,
2005-09-30,124.1,0.81234768,,,,,
2005-10-08,122.2,-1.53102337,,,,,
2005-10-09,122.3,0.08183306,,,,,
2005-10-10,122.6,0.24529845,,,,,
2005-10-11,123.8,0.97879282,,,,,
2005-10-12,122.2,-1.29240711,,,,,
2005-10-13,122.9,0.57283142,,,,,
2005-10-14,122.7,-0.16273393,,,,,
2005-10-17,123.6,0.73349633,,,,,
2005-10-18,122.6,-0.80906149,,,,,
2005-10-19,122.7,0.08156607,,,,,
2005-10-20,122.7,0.0,,,,,
2005-10-24,121.3,-1.1409943,,,,,
2005-10-25,120.3,-0.82440231,,,,,
2005-10-26,121.6,1.08063175,,,,,
2005-10-27,121.9,0.24671053,,,,,
2005-10-28,121.2,-0.57424118,,,,,
2005-10-31,121.8,0.4950495,,,,,
2005-11-01,121.8,0.0,,,,,
2005-11-02,120.4,-1.14942529,,,,,
2005-11-03,122.0,1.32890365,,,,,
2005-11-04,122.0,0.0,,,,,
2005-11-07,121.3,-0.57377049,,,,,
2005-11-08,120.3,-0.82440231,,,,,
2005-11-09,120.0,-0.24937656,,,,,
2005-11-10,120.6,0.5,,,,,
2005-11-11,120.5,-0.08291874,,,,,
2005-11-14,120.6,0.08298755,,,,,
2005-11-15,120.8,0.16583748,,,,,
2005-11-16,121.1,0.24834437,,,,,
2005-11-17,120.7,-0.33030553,,,,,
2005-11-18,119.9,-0.66280033,,,,,
2005-11-21,120.5,0.50041701,,,,,
2005-11-22,121.4,0.74688797,,,,,
2005-11-23,121.0,-0.32948929,,,,,
2005-11-24,120.2,-0.66115702,,,,,
2005-11-25,120.3,0.08319468,,,,,
2005-11-28,121.2,0.74812968,,,,,
2005-11-29,121.0,-0.1650165,,,,,
2005-11-30,120.9,-0.08264463,,,,,
2005-12-01,121.0,0.08271299,,,,,
2005-12-02,121.5,0.41322314,,,,,
2005-12-05,121.9,0.32921811,,,,,
2005-12-06,122.1,0.16406891,,,,,
2005-12-07,121.9,-0.16380016,,,,,
2005-12-08,121.4,-0.41017227,,,,,
2005-12-09,122.6,0.98846787,,,,,
2005-12-12,123.1,0.40783034,,,,,
2006-01-10,132.2,7.39236393,7.83034258,,,,
2006-01-11,133.2,0.75642965,7.59289176,,,,
2006-01-12,132.5,-0.52552553,8.42880524,,,,
2006-01-13,133.5,0.75471698,8.62489829,,,,
2006-01-16,135.7,1.64794007,10.59494703,,,,
2006-01-17,136.2,0.36845984,10.19417476,,,,
2006-01-18,136.5,0.22026432,11.33768352,,,,
2006-01-19,137.3,0.58608059,11.89894051,,,,
2006-01-20,137.9,0.43699927,12.38793806,,,,
2006-01-23,138.4,0.36258158,12.79543602,,,,
2006-01-24,138.5,0.07225434,14.1797197,,,,
2006-01-25,139.5,0.72202166,15.96009975,,,,
2006-01-26,139.2,-0.21505376,14.47368421,,,,
2006-01-27,140.8,1.14942529,15.50451189,,,,
2006-02-05,139.5,-0.92329545,14.3442623,,,,
2006-02-06,139.0,-0.35842294,13.93442623,,,,
2006-02-07,138.7,-0.21582734,14.34460016,,,,
2006-02-08,139.3,0.43258832,15.79384871,,,,
2006-02-09,138.0,-0.93323762,15.0,,,,
2006-02-10,138.0,0.0,14.4278607,,,,
2006-06-01,126.1,-8.62318841,-8.62318841,4.21487603,,,
2006-06-02,126.3,0.15860428,-8.47826087,3.95061728,,,
2006-06-05,126.0,-0.23752969,-8.69565217,3.36341263,,,
2006-06-06,123.8,-1.74603175,-10.28985507,1.39230139,,,
2006-06-07,124.2,0.32310178,-10.0,1.88679245,,,
2006-06-08,124.6,0.32206119,-9.71014493,2.63591433,,,
2006-06-09,124.7,0.08025682,-9.63768116,1.71288744,,,
2006-06-12,123.2,-1.20288693,-10.72463768,0.08123477,,,
2006-06-13,124.2,0.81168831,-10.0,0.89358245,,,
2006-06-14,124.6,0.32206119,-9.71014493,1.21852153,,,
2006-06-15,124.5,-0.08025682,-9.7826087,1.13728676,,,
2006-06-16,122.7,-1.44578313,-11.08695652,-0.32493907,,,
2006-06-19,124.4,1.38549307,-9.85507246,1.05605199,,,
2006-06-20,124.6,0.1607717,-9.71014493,1.21852153,,,
2006-06-21,123.3,-1.04333868,-10.65217391,0.16246954,,,
2006-06-22,123.1,-0.162206,-10.79710145,0.0,,,
2006-06-23,123.0,-0.08123477,-10.86956522,-0.08123477,,,
2006-06-26,125.3,1.8699187,-9.20289855,1.78716491,,,
2006-06-27,123.1,-1.75578611,-10.79710145,0.0,,,
2006-06-28,122.9,-0.16246954,-10.94202899,-0.16246954,,,
2006-06-29,122.5,-0.32546786,-11.23188406,-0.48740861,,,
2006-06-30,123.0,0.40816327,-10.86956522,-0.08123477,,,
2006-07-03,122.6,-0.32520325,-11.15942029,-0.40617384,,,
2006-07-04,120.6,-1.63132137,-12.60869565,-2.03086921,,,
2006-07-05,121.2,0.49751244,-12.17391304,-1.5434606,,,
2006-07-06,120.0,-0.99009901,-13.04347826,-2.51827782,,,
2006-07-07,121.5,1.25,-11.95652174,-1.2997563,,,
2006-07-12,120.7,-0.65843621,-12.53623188,-8.90566038,,,
2006-07-13,123.3,2.15410108,-10.65217391,-7.64044944,,,
