月份,当月,同比增长,环比增长,累计
2026年03月份,45111.07,1.29777539,259.20375073,3502280.52
2026年02月份,12558.63,-73.3360439,-84.91047668,3457169.45
2026年01月份,83227.48,82.33614663,396.96800332,3444610.82
2025年12月份,16747.05,239.64416568,8.31305205,3361383.34
2025年11月份,15461.71,-27.98763536,108.96405297,3344636.29
2025年10月份,7399.22,22.30236994,-66.64203628,3329174.58
2025年09月份,22181.27,-38.7569533,4.28356171,3321775.36
2025年08月份,21270.15,-8.90646126,477.49731209,3299594.09
2025年07月份,3683.16,145.82082014,-89.12781597,3278323.94
2025年06月份,33876.91,35.37123994,41.36554547,3274640.78
2025年05月份,23964.05,38.72082348,653.85029618,3240763.87
2025年04月份,-4326.81,89.08302739,-109.71593508,3216799.82
2025年03月份,44533.13,-7.84621975,-5.44912754,3221126.63
2025年02月份,47099.65,390.65304218,3.18669613,3176593.5
2025年01月份,45645.08,-20.01593896,480.60847218,3129493.85
2024年12月份,-11992.66,-1242.00582779,-155.85538759,3083848.77
2024年11月份,21470.91,-15.12997963,254.894594,3095841.43
2024年10月份,6049.94,-11.29796555,-83.29596286,3074370.52
2024年09月份,36218.43,70.59726232,55.11244427,3068320.58
2024年08月份,23349.79,109.62139432,390.48603042,3032102.15
2024年07月份,-8038.18,38.71600789,-132.12035553,3008752.36
2024年06月份,25025.19,-32.90695277,44.86345023,3016790.54
2024年05月份,17275.02,24.46867608,143.58659618,2991765.35
2024年04月份,-39633.79,-540.97704477,-182.01542479,2974490.33
2024年03月份,48324.8,-17.17471811,403.41584561,3014124.12
2024年02月份,9599.38,-67.38755028,-83.17896702,2965799.32
2024年01月份,57067.72,-17.8438438,5334.29637953,2956199.94
2023年12月份,1050.14,-78.3177655,-95.84901603,2899132.22
2023年11月份,25298.58,-13.95356905,270.91863963,2898082.08
2023年10月份,6820.52,357.30237892,-67.87375821,2872783.5
2023年09月份,21230.37,-19.36424583,90.59442339,2865962.98
2023年08月份,11139.03,-0.91311975,184.9252227,2844732.61
2023年07月份,-13116.28,-800.1200958,-135.16501547,2833593.58
2023年06月份,37299.23,-23.80438855,168.74560938,2846709.86
2023年05月份,13879.01,-53.63820725,324.45814075,2809410.63
2023年04月份,-6183.34,-1346.33959526,-110.59780648,2795531.62
2023年03月份,58345.47,30.60625257,98.21995868,2801714.96
2023年02月份,29434.71,10.11035085,-57.62503509,2743369.49
2023年01月份,69462.5,74.03102581,1334.19183535,2713934.78
2022年12月份,4843.32,-52.80404204,-83.52672759,2644472.28
2022年11月份,29401.08,154.3156824,1209.1482507,2639628.96
2022年10月份,-2650.78,-132.91753541,-110.06801316,2610227.88
2022年09月份,26328.73,14.54684596,134.20636417,2612878.66
2022年08月份,11241.68,-19.73748656,871.47347255,2586549.93
2022年07月份,-1457.17,88.62196618,-102.97673596,2575308.25
2022年06月份,48951.94,22.91462079,63.5202869,2576765.42
2022年05月份,29936.31,18.65207471,5934.08651133,2527813.48
2022年04月份,496.12,109.61687198,-98.88943608,2497877.17
2022年03月份,44672.8,20.94093568,67.11350923,2497381.05
2022年02月份,26732.01,106.06675844,-33.02574594,2452708.25
2022年01月份,39913.86,3.80590895,288.94247307,2425976.24
2021年12月份,10262.15,483.66619809,-11.23367985,2386062.38
2021年11月份,11560.86,-43.91373449,43.56341094,2375800.23
2021年10月份,8052.79,391.41826288,-64.96520358,2364239.37
2021年09月份,22985.12,32.10551419,64.10745573,2356186.58
2021年08月份,14006.14,-30.49392574,209.3642709,2333201.46
2021年07月份,-12806.87,-1230.20076777,-132.15708243,2319195.32
2021年06月份,39825.97,29.08146795,57.84958025,2332002.19
2021年05月份,25230.33,8.95976099,589.06888163,2292176.22
2021年04月份,-5158.85,-144.03560167,-113.96635416,2266945.89
2021年03月份,36937.7,-9.15824984,184.73848779,2272104.74
2021年02月份,12972.49988447,12.74444521,-66.26179122,2235167.04
2021年01月份,38450.47011553,26.68237613,1537.52972661,2222194.54011553
2020年12月份,-2674.76,-143.5627955,-112.97630968,2183744.07
2020年11月份,20612.64,59.68095787,845.94019491,2186418.83
2020年10月份,-2763.31,-179.80379076,-115.88194834,2165806.19
2020年09月份,17399.06175861,142.40374044,-13.65640507,2168569.5
2020年08月份,20150.95824139,8.62078241,1678.31339552,2151170.43824139
2020年07月份,1133.15,-79.29498998,-96.32730438,2131019.48
2020年06月份,30853.36,33.16667372,33.24339124,2129886.33
2020年05月份,23155.64,88.18853931,97.65500829,2099032.97
2020年04月份,11715.18,377.14620855,-71.18858362,2075877.33
2020年03月份,40661.59,129.27287367,253.39128515,2064162.15
2020年02月份,11506.11,-19.57453055,-62.09093542,2023500.56
2020年01月份,30351.87,-7.46536572,394.3293252,2011994.45
2019年12月份,6140.01,3780.21526015,-52.43488082,1981642.58
2019年11月份,12908.64,47.49675049,272.79871081,1975502.57
2019年10月份,3462.63,-9.42229181,-51.75863645,1962593.93
2019年09月份,7177.72,-7.35988243,-61.30955397,1959131.3
2019年08月份,18551.66,71.48675616,238.97745773,1951953.58
2019年07月份,5472.83,-47.7122584,-76.37863212,1933401.92
2019年06月份,23168.98,6.28828753,88.29695501,1927929.09
2019年05月份,12304.49,-3.77574698,401.14814724,1904760.11
2019年04月份,2455.26,-43.82184775,-86.15586563,1892455.62
2019年03月份,17735.02,19.67074492,23.96433801,1890000.36
2019年02月份,14306.55,569.58483791,-56.38320235,1872265.34
2019年01月份,32800.55109859,-17.86744362,20628.50026531,1857958.79
2018年12月份,158.23890141,101.96556172,-98.19193007,1825158.23890141
2018年11月份,8751.81314637,-44.41783157,128.93557131,1825000.0
2018年10月份,3822.82801061,-64.83213916,-50.66020459,1816248.18685363
2018年09月份,7747.9608062,106.87056482,-28.37985035,1812425.35884302
2018年08月份,10818.12987501,-11.02238417,3.35705284,1804677.39803682
2018年07月份,10466.75536692,32.61445967,-51.98349242,1793859.26816181
2018年06月份,21798.24375694,-18.37130572,70.46783106,1783392.51279489
2018年05月份,12787.3063333,16.75714034,192.58296148,1761594.26903795
2018年04月份,4370.48906349,48.38230119,-70.50921387,1748806.96270465
2018年03月份,14819.84591297,4.29391315,586.43278364,1744436.47364116
2018年02月份,-3046.63797574,-112.18140965,-107.6287793,1729616.62772819
2018年01月份,39936.11369926,161.0778272,596.06573034,1732663.26570393
2017年12月份,-8050.56895823,-405.40493148,-151.12861442,1692727.15200467
