月份,当月,同比增长,环比增长,累计
2008年01月份,169.28,4508.33,1789.29,2367.31
2008年02月份,217.02,754.75,28.2,2584.33
2008年03月份,103.62,279.28,-52.25,2687.95
2008年04月份,21.35,39.82,-79.4,2709.3
2008年05月份,30.04,-13.15,40.7,2739.34
2008年06月份,14.02,-84.35,-53.33,2753.36
2008年07月份,-6.35,-115.22,-145.29,2747.01
2008年08月份,-29.7,-138.48,-367.72,2717.31
2008年09月份,-25.1,-129.18,15.49,2692.21
2008年10月份,-108.65,-277.94,-332.87,2583.56
2008年11月份,-99.92,-241.35,8.03,2483.64
2008年12月份,-46.93,-623.77,53.03,2436.71
2009年01月份,-85.27,-150.37,-81.7,2351.44
2009年02月份,-42.1,-119.4,50.63,2309.34
2009年03月份,42.62,-58.87,201.24,2351.96
2009年04月份,75.54,253.84,77.25,2427.51
2009年05月份,154.47,414.21,104.47,2581.97
2009年06月份,372.03,2553.56,140.85,2954.0
2009年07月份,110.1,1833.81,-70.41,3064.1
2009年08月份,192.41,747.85,74.77,3256.51
2009年09月份,176.93,804.9,-8.05,3433.44
2009年10月份,162.9,249.93,-7.93,3596.34
2009年11月份,165.61,265.74,1.67,3761.95
2009年12月份,32.87,170.04,-80.15,3794.82
2010年01月份,93.55,209.71,184.6,3888.37
2010年02月份,97.26,331.04,3.97,3985.63
2010年03月份,97.04,127.69,-0.23,4082.67
2010年04月份,51.75,-31.5,-46.67,4134.42
2010年05月份,-13.92,-109.01,-126.9,4120.5
2010年06月份,-3.14,-100.84,77.46,4117.36
2010年07月份,-56.27,-151.11,-1693.29,4061.09
2010年08月份,31.61,-83.57,156.18,4092.71
2010年09月份,134.27,-24.11,324.72,4226.97
2010年10月份,58.85,-63.87,-56.17,4285.83
2010年11月份,84.63,-48.9,43.8,4370.46
2010年12月份,164.01,398.95,93.79,4534.47
2011年01月份,101.15,8.13,-38.32,4635.62
2011年02月份,52.74,-45.77,-47.86,4688.36
2011年03月份,87.14,-10.21,65.21,4775.5
2011年04月份,75.39,45.68,-13.48,4850.89
2011年05月份,129.62,1031.18,71.93,4980.51
2011年06月份,37.84,1306.05,-70.8,5018.35
2011年07月份,1.33,102.36,-96.49,5019.68
2011年08月份,58.62,85.43,4312.22,5078.3
2011年09月份,160.57,19.59,173.91,5238.87
2011年10月份,65.34,11.02,-59.31,5304.21
2011年11月份,7.69,-90.92,-88.24,5311.89
2011年12月份,75.56,-53.93,883.14,5387.45
2012年01月份,-26.67,-126.36,-135.29,5360.79
2012年02月份,83.51,58.32,413.14,5444.29
2012年03月份,150.55,72.77,80.28,5594.84
2012年04月份,15.22,-79.82,-89.89,5610.06
2012年05月份,47.88,-63.06,214.68,5657.94
2012年06月份,164.65,335.09,243.87,5822.59
2012年07月份,11.02,729.26,-93.31,5833.61
2012年08月份,117.24,100.0,964.11,5950.85
2012年09月份,278.23,73.28,137.32,6229.08
2012年10月份,204.35,212.75,-26.56,6433.43
2012年11月份,165.94,2059.05,-18.8,6599.37
2012年12月份,236.2,212.58,42.34,6835.57
2013年01月份,284.53,1166.97,20.46,7120.1
2013年02月份,182.82,118.93,-35.75,7302.92
2013年03月份,240.54,59.78,31.57,7543.46
2013年04月份,135.61,791.24,-43.62,7679.07
2013年05月份,57.59,20.27,-57.54,7736.66
2013年06月份,21.58,-86.9,-62.53,7758.24
2013年07月份,-187.4,-1800.93,-968.56,7570.83
2013年08月份,-58.33,-149.76,68.87,7512.5
2013年09月份,144.6,-48.03,347.88,7657.1
2013年10月份,8.64,-95.77,-94.02,7665.74
2013年11月份,19.82,-88.06,129.26,7685.56
2013年12月份,83.17,-64.79,319.69,7768.73
2014年01月份,260.16,-8.57,212.79,8028.89
2014年02月份,212.94,16.48,-18.15,8241.83
2014年03月份,222.06,-7.68,4.28,8463.89
2014年04月份,30.14,-77.77,-86.43,8494.03
2014年05月份,-26.3,-145.66,-187.25,8467.74
2014年06月份,57.94,168.53,320.32,8525.67
2014年07月份,-27.38,85.39,-147.26,8498.29
2014年08月份,-32.71,43.93,-19.44,8465.59
2014年09月份,-82.29,-156.91,-151.61,8383.29
2014年10月份,-116.53,-1448.07,-41.6,8266.77
2014年11月份,-4.29,-121.64,96.32,8262.48
2014年12月份,88.22,6.06,2156.66,8350.69
2015年01月份,765.11,194.1,767.32,9115.8
2015年02月份,-77.72,-136.5,-110.16,9038.08
2015年03月份,107.9,-51.41,238.83,9145.98
2015年04月份,52.4,73.84,-51.44,9198.38
2015年05月份,-1.97,92.52,-103.75,9196.41
2015年06月份,14.24,-75.42,824.41,9210.65
2015年07月份,157.5,675.21,1005.8,9368.16
2015年08月份,-20.39,37.65,-112.95,9347.77
2015年09月份,-504.99,-513.67,-2376.44,8842.77
2015年10月份,-173.5,-48.89,65.64,8669.27
2015年11月份,-262.42,-6018.01,-51.25,8406.85
2015年12月份,-103.85,-217.72,60.43,8303.0
2016年01月份,-68.0,-108.89,34.52,8235.0
2016年02月份,-67.0,13.8,1.47,8168.0
2016年03月份,-80.0,-174.14,-19.4,8088.0
2016年04月份,-107.0,-304.21,-33.75,7981.0
