月份,消费者信心指数-指数值,消费者信心指数-同比增长,消费者信心指数-环比增长,消费者满意指数-指数值,消费者满意指数-同比增长,消费者满意指数-环比增长,消费者预期指数-指数值,消费者预期指数-同比增长,消费者预期指数-环比增长
2026年02月份,91.6,3.6199095,1.10375276,89.7,3.81944444,1.47058824,89.7,3.56744705,0.86862106
2026年01月份,90.6,3.54285714,1.22905028,88.4,4.0,0.56882821,88.4,3.25112108,1.7679558
2025年12月份,89.5,3.58796296,-0.88593577,87.9,4.51843044,-1.23595506,87.9,2.95790671,-0.76754386
2025年11月份,90.3,4.75638051,1.00671141,89.0,5.82639715,0.56497175,89.0,4.10958904,1.44605117
2025年10月份,89.4,2.87686997,-0.22321429,88.5,4.60992908,-1.55728587,88.5,1.69683258,0.44692737
2025年09月份,89.6,4.55075846,0.44843049,89.9,6.7695962,2.39179954,89.9,3.2295271,-0.66592675
2025年08月份,89.2,3.96270396,0.2247191,87.8,3.90532544,0.11402509,87.8,4.04157044,0.22246941
2025年07月份,89.0,3.48837209,1.25142207,87.7,3.90995261,1.62224797,87.7,3.21469575,1.12485939
2025年06月份,87.9,1.97215777,-0.11363636,86.3,2.25118483,0.70011669,86.3,1.71624714,-0.67039106
2025年05月份,88.0,1.85185185,0.22779043,85.7,1.54028436,-1.49425287,85.7,2.05245154,1.3590034
2025年04月份,87.8,-0.45351474,0.34285714,87.0,1.3986014,2.35294118,87.0,-1.67037862,-1.00896861
2025年03月份,87.5,-2.12527964,-1.01809955,85.0,-2.07373272,-1.62037037,85.0,-2.19298246,-0.5574136
2025年02月份,88.4,-0.78563412,1.02857143,86.4,-2.7027027,1.64705882,86.4,0.11160714,0.56053812
2025年01月份,87.5,-1.57480315,1.27314815,85.0,-4.60157127,1.07015458,85.0,0.56369786,1.47895336
2024年12月份,86.4,-1.36986301,0.23201856,84.1,-4.10490308,0.0,84.1,0.45714286,0.34246575
2024年11月份,86.2,-0.91954023,-0.80552359,84.1,-2.88683603,-0.59101655,84.1,0.11428571,-0.90497738
2024年10月份,86.9,-1.13765643,1.40023337,84.6,-3.64464692,0.47505938,84.6,0.45454545,1.96078431
2024年09月份,85.7,-1.72018349,-0.11655012,84.2,-2.77136259,-0.35502959,84.2,-1.58910329,0.11547344
2024年08月份,85.8,-0.80924855,-0.23255814,84.5,-2.08574739,0.11848341,84.5,-0.23041475,-0.57405281
2024年07月份,86.0,-0.46296296,-0.23201856,84.4,-2.20162225,0.0,84.4,0.57736721,-0.34324943
2024年06月份,86.2,-0.23148148,-0.23148148,84.4,-1.74621653,0.0,84.4,0.2293578,-0.34207526
2024年05月份,86.4,-2.04081633,-2.04081633,84.4,-3.09988519,-1.63170163,84.4,-2.2296544,-2.33853007
2024年04月份,88.2,1.26291619,-1.34228188,85.8,-0.23255814,-1.15207373,85.8,1.24013529,-1.53508772
2024年03月份,89.4,-5.79557429,0.33670034,86.8,-6.46551724,-2.25225225,86.8,-6.93877551,1.78571429
2024年02月份,89.1,-5.91341077,0.22497188,88.8,-3.79198267,-0.33670034,88.8,-8.94308943,1.01465614
