商品,日期,总库存,增持/减持,总价值
黄金,2004-11-19,57.85,49.76,828806907.2
黄金,2004-11-22,87.09,29.24,1253785205.5
黄金,2004-11-24,96.42,9.33,1390568824.08
黄金,2004-11-26,100.46,4.04,1456602906.16
黄金,2004-11-29,103.57,3.11,1502482070.5
黄金,2004-12-02,103.56,-0.01,1512255390.24
黄金,2004-12-07,88.02,-15.54,1278328839.45
黄金,2004-12-08,91.13,3.11,1279831486.6
黄金,2004-12-17,88.64,-2.49,1250464182.36
黄金,2004-12-22,91.75,3.11,1300463528.86
黄金,2004-12-30,94.86,3.11,1327960347.57
黄金,2005-01-03,109.16,14.3,1536598756.84
黄金,2005-01-04,109.14,-0.02,1500610088.45
黄金,2005-01-06,112.24,3.1,1531058990.59
黄金,2005-01-07,123.12,10.88,1670970198.67
黄金,2005-01-11,139.6,16.48,1890712131.56
黄金,2005-01-12,142.71,3.11,1956888209.71
黄金,2005-01-24,148.92,6.21,2045479733.12
黄金,2005-01-25,152.03,3.11,2074229323.2
黄金,2005-02-01,151.98,-0.05,2056473996.17
黄金,2005-02-08,155.09,3.11,2049504919.39
黄金,2005-02-22,159.75,4.66,2222489377.51
黄金,2005-02-23,157.88,-1.87,2195252847.86
黄金,2005-03-01,157.84,-0.04,2199422705.07
黄金,2005-03-03,160.94,3.1,2225852379.71
黄金,2005-03-04,164.05,3.11,2285939246.38
黄金,2005-04-01,163.99,-0.06,2252006029.73
黄金,2005-04-05,167.1,3.11,2280857893.22
黄金,2005-04-06,166.79,-0.31,2282760083.69
黄金,2005-04-07,169.89,3.1,2337533970.79
黄金,2005-04-08,173.0,3.11,2364667972.49
黄金,2005-04-13,177.66,4.66,2441352102.51
黄金,2005-04-26,178.9,1.24,2512713825.35
黄金,2005-05-03,178.84,-0.06,2460181563.43
黄金,2005-05-23,177.6,-1.24,2386038454.42
黄金,2005-05-31,179.15,1.55,2386236462.52
黄金,2005-06-01,179.1,-0.05,2391394348.99
黄金,2005-06-23,175.99,-3.11,2484033044.2
黄金,2005-06-27,175.37,-0.62,2476008016.76
黄金,2005-07-01,175.31,-0.06,2438122921.71
黄金,2005-07-07,178.41,3.1,2438667332.96
黄金,2005-07-13,181.51,3.1,2476830922.31
黄金,2005-07-21,184.61,3.1,2517467129.92
黄金,2005-07-26,187.72,3.11,2553601793.84
黄金,2005-08-01,187.66,-0.06,2604128191.46
黄金,2005-08-02,191.38,3.72,2651751827.87
黄金,2005-08-31,194.48,3.1,2707926256.63
黄金,2005-09-01,194.41,-0.07,2747600552.04
黄金,2005-09-08,198.14,3.73,2856982616.39
黄金,2005-09-09,201.24,3.1,2899720071.42
黄金,2005-09-16,204.34,3.1,3002971032.22
黄金,2005-09-22,207.44,3.1,3108693536.02
黄金,2005-10-03,207.36,-0.08,3107318007.04
黄金,2005-10-28,208.29,0.93,3151531523.77
黄金,2005-11-01,211.32,3.03,3121829332.65
黄金,2005-11-14,215.04,3.72,3231611773.75
黄金,2005-11-17,218.13,3.09,3408863392.86
黄金,2005-11-18,221.23,3.1,3455113035.57
黄金,2005-11-23,226.19,4.96,3545070390.13
黄金,2005-11-29,229.28,3.09,3655315749.94
黄金,2005-12-01,229.22,-0.06,3682879494.8
黄金,2005-12-08,232.32,3.1,3851491895.52
黄金,2005-12-16,235.41,3.09,3836651625.1
黄金,2005-12-19,238.51,3.1,3900425605.5
黄金,2005-12-21,241.61,3.1,3797579168.87
黄金,2005-12-27,247.8,6.19,4011009198.88
黄金,2005-12-28,253.99,6.19,4228831563.44
黄金,2005-12-29,255.54,1.55,4213491208.39
黄金,2005-12-30,263.28,7.74,4341125179.91
黄金,2006-01-04,263.21,-0.07,4480555162.69
黄金,2006-01-05,282.1,18.89,4758967391.12
黄金,2006-01-09,285.19,3.09,4964575755.12
黄金,2006-01-17,286.12,0.93,5088392776.96
黄金,2006-01-19,289.22,3.1,5157297927.22
黄金,2006-01-23,290.46,1.24,5176819388.43
黄金,2006-01-24,293.55,3.09,5257906294.07
黄金,2006-01-25,312.13,18.58,5635782409.2
黄金,2006-01-27,328.84,16.71,5937569793.05
黄金,2006-01-30,333.8,4.96,6061704847.16
黄金,2006-02-01,333.7,-0.1,6096449840.71
黄金,2006-02-02,339.89,6.19,6252106565.17
黄金,2006-02-03,342.99,3.1,6274242500.21
黄金,2006-03-01,343.17,0.18,6225734308.05
黄金,2006-03-06,350.91,7.74,6377012880.93
黄金,2006-03-10,350.93,0.02,6035460972.33
黄金,2006-03-23,350.92,-0.01,6164317844.42
黄金,2006-03-24,347.82,-3.1,6224514978.62
黄金,2006-04-03,350.92,3.1,6620477389.3
黄金,2006-04-04,350.81,-0.11,6631687412.66
黄金,2006-04-13,355.45,4.64,6775880543.76
黄金,2006-04-24,358.54,3.09,7174063791.75
黄金,2006-05-03,358.44,-0.1,7762382865.72
黄金,2006-05-04,356.89,-1.55,7727663316.12
黄金,2006-05-05,353.8,-3.09,7711802350.15
黄金,2006-05-15,349.47,-4.33,7723305770.1
黄金,2006-05-17,346.38,-3.09,7788425393.14
黄金,2006-05-18,344.52,-1.86,7680156733.98
黄金,2006-05-19,341.43,-3.09,7150086368.72
黄金,2006-05-24,343.29,1.86,7155438845.83
黄金,2006-05-30,344.22,0.93,7307110894.32
