日期,阿尔及利亚,安哥拉,加蓬,伊朗,伊拉克,科威特,利比亚,尼日利亚,沙特,阿联酋,委内瑞拉,欧佩克产量
2016/12,108.7,167.4,20.9,372.5,464.2,285.9,61.0,147.4,1044.3,309.0,203.4,3302.9
2017/01,105.3,165.8,20.3,378.0,447.5,272.2,67.8,153.3,980.9,295.8,200.7,3202.6
2017/02,105.7,163.9,19.8,381.9,441.4,271.2,68.1,156.4,995.2,293.3,199.8,3208.6
2017/03,105.1,159.9,20.2,379.2,442.5,270.2,61.2,145.6,990.5,290.9,198.2,3177.0
2017/04,105.6,166.7,20.5,379.2,438.1,270.5,55.2,149.6,993.4,290.6,196.7,3197.4
2017/05,106.1,160.9,20.5,377.4,444.6,270.9,72.7,164.2,989.8,290.7,195.1,3221.5
2017/06,106.0,166.6,19.8,381.7,449.8,270.9,84.8,171.0,1003.5,291.7,195.5,3269.7
2017/07,105.4,164.1,20.7,383.0,447.1,270.2,100.3,171.1,1002.5,292.1,194.9,3280.8
2017/08,105.7,164.2,18.5,383.3,446.6,270.5,87.1,180.2,996.9,292.2,193.6,3265.1
2017/09,105.0,164.1,20.1,383.5,451.6,271.2,92.0,178.4,998.8,291.7,190.2,3272.1
2017/10,99.9,168.9,20.3,381.5,438.8,270.8,96.7,169.7,1003.3,292.0,187.3,3256.0
2017/11,100.6,159.0,19.8,382.0,439.3,270.4,96.9,177.2,992.5,288.5,179.9,3233.0
2017/12,103.7,162.2,19.7,382.2,441.6,270.0,96.2,181.8,995.3,287.0,164.7,3229.9
2018/01,102.6,159.6,20.0,381.6,444.9,270.6,98.8,178.5,998.8,286.2,160.1,3227.4
2018/02,103.9,157.6,19.2,381.0,443.6,270.2,100.7,179.9,995.0,282.0,154.0,3208.6
2018/03,97.9,152.3,19.3,381.3,443.0,270.4,97.2,177.3,991.2,286.6,147.4,3188.7
2018/04,99.0,151.1,18.5,382.3,443.6,270.7,98.1,176.4,989.8,286.8,143.3,3215.6
2018/05,103.5,151.6,18.7,382.2,446.1,270.3,96.2,160.8,1001.7,286.2,138.8,3212.9
2018/06,104.8,144.4,19.1,379.3,454.0,271.3,72.1,159.7,1043.1,289.0,132.5,3228.2
2018/07,106.1,144.3,18.7,374.7,456.3,279.3,67.3,164.3,1036.3,296.0,127.3,3228.8
2018/08,105.7,146.2,18.6,360.9,464.2,280.3,95.5,172.3,1040.4,296.9,124.0,3263.7
2018/09,105.7,151.2,18.4,345.1,465.7,279.5,105.4,174.6,1050.2,301.8,121.8,3276.1
2018/10,105.7,151.5,18.5,333.0,465.4,275.3,111.8,176.0,1063.7,317.7,120.6,3235.8
2018/11,105.6,149.8,17.0,292.1,462.6,277.2,110.7,173.1,1102.1,327.4,118.3,3231.2
2018/12,105.1,148.4,19.4,272.4,471.2,280.0,94.9,173.3,1058.6,323.8,117.2,3159.1
2019/01,101.9,144.4,19.5,273.1,471.2,272.3,88.3,173.3,1017.9,307.5,115.1,3079.3
2019/02,103.2,144.1,20.4,272.6,464.9,271.3,90.5,173.0,1010.2,306.7,102.1,3055.6
2019/03,102.7,144.7,21.3,271.8,452.0,270.9,110.2,173.6,978.5,305.7,74.5,3005.3
2019/04,102.3,139.7,19.2,259.7,464.0,269.8,117.2,182.5,976.4,305.8,77.6,3012.3
2019/05,102.9,147.6,21.6,236.7,474.9,271.0,117.0,172.1,971.7,306.0,76.2,2994.5
2019/06,100.5,140.3,22.1,226.0,471.3,267.4,111.8,180.8,982.9,307.0,78.5,2986.5
2019/07,102.7,138.5,20.8,221.8,473.6,266.7,107.6,180.5,968.7,307.4,75.5,2961.6
2019/08,101.6,138.5,20.4,219.3,478.1,263.8,107.4,187.0,985.1,308.2,73.5,2980.9
2019/09,102.0,140.4,19.7,216.3,473.2,265.8,116.2,185.1,879.6,308.3,64.4,2871.6
2019/10,101.9,135.8,20.7,214.7,469.3,264.8,116.6,180.9,1000.1,310.5,68.7,2975.3
2019/11,102.7,128.3,19.8,210.7,464.1,270.7,118.3,178.2,986.8,311.0,71.9,2959.5
2019/12,101.9,140.8,22.2,209.3,456.8,271.0,114.0,175.0,967.1,311.7,73.5,2887.2
2020/01,101.2,137.5,19.2,208.2,450.8,266.8,79.3,176.0,973.9,304.2,77.2,2836.0
2020/02,100.9,138.7,19.1,207.0,460.4,267.2,14.7,178.8,969.8,306.5,76.0,2781.3
2020/03,103.1,140.2,20.2,202.5,457.0,288.0,9.1,184.8,994.6,350.7,66.0,2857.8
2020/04,100.6,131.3,19.6,197.3,450.5,311.8,8.2,177.7,1164.2,384.1,62.4,3049.5
2020/05,81.9,127.5,19.4,195.4,416.0,219.8,8.0,158.4,847.9,247.8,55.8,2415.4
2020/06,80.7,122.4,20.4,194.7,371.4,208.5,9.2,149.7,754.0,233.2,33.6,2219.3
2020/07,80.8,117.3,18.9,193.6,375.2,215.8,10.0,148.8,840.6,243.0,33.9,2317.2
2020/10,85.7,118.0,18.6,195.3,384.1,228.8,45.3,148.2,895.6,244.3,38.2,2439.4
2020/11,85.7,119.0,18.3,199.5,377.2,229.3,108.8,144.8,896.5,251.5,41.1,2510.0
2020/12,85.6,115.3,18.0,202.5,384.6,229.7,121.3,137.5,896.5,257.6,43.2,2531.4
2021/01,86.6,116.1,18.0,209.8,383.7,232.2,115.0,132.8,907.7,261.1,49.0,2550.3
2021/02,87.5,111.6,17.9,216.7,389.2,233.3,117.2,147.7,812.6,261.1,52.4,2484.4
2021/03,87.3,115.6,18.5,230.4,391.4,232.8,119.7,147.3,809.8,260.9,52.6,2505.7
2021/04,86.7,114.0,18.5,239.3,392.0,232.6,113.0,154.8,813.2,261.4,44.5,2508.3
2021/05,88.2,107.9,17.7,245.5,396.7,235.9,115.5,138.8,846.6,264.0,53.1,2546.3
2021/06,90.3,111.5,17.3,247.0,393.8,238.3,116.3,139.9,890.6,268.0,52.9,2603.4
2021/07,91.0,107.8,17.8,248.5,397.8,242.6,116.5,143.7,940.3,272.3,51.2,2665.7
2021/08,92.0,111.0,18.0,248.5,405.6,244.1,116.3,127.1,948.8,277.7,52.3,2676.2
2021/09,93.2,113.3,20.2,250.3,413.9,246.8,114.8,145.1,967.8,278.9,52.7,2732.8
2021/10,94.4,112.4,17.9,250.2,414.9,250.2,116.4,135.4,975.9,282.8,59.0,2745.3
2021/11,95.4,108.2,18.4,247.4,424.0,253.1,114.0,142.0,986.7,285.0,62.5,2771.7
2021/12,96.4,116.6,19.6,247.8,427.0,255.2,105.3,133.8,993.2,288.0,68.1,2788.2
2022/01,97.0,115.5,18.5,250.3,424.5,257.9,100.8,139.8,999.9,292.4,66.8,2798.1
2022/02,97.4,117.5,19.7,254.6,426.8,261.0,110.7,141.7,1019.3,295.1,68.0,2847.3
2022/04,100.1,116.0,19.4,256.4,440.5,266.2,91.3,132.2,1034.6,301.5,70.7,2864.8
2022/05,101.1,117.6,16.6,254.4,440.5,268.7,70.7,126.2,1042.4,304.6,71.7,2850.8
2022/06,102.1,118.2,18.9,257.4,443.4,271.8,62.9,123.8,1058.5,308.3,70.6,2871.6
2022/07,102.0,116.5,20.2,255.8,449.6,277.2,63.2,118.3,1071.4,313.1,66.1,2889.6
2022/08,103.6,118.7,20.2,257.2,452.5,281.0,112.3,110.0,1090.4,316.4,67.8,2965.1
2022/09,104.0,118.4,20.1,255.7,451.8,282.3,115.2,108.7,1099.1,319.3,65.9,2976.7
2022/10,103.6,106.7,21.4,254.8,457.2,280.4,116.3,105.7,1083.8,318.6,67.9,2949.4
2022/11,102.2,110.2,20.7,255.9,446.5,268.5,113.3,115.8,1047.4,303.7,65.6,2882.6
2022/12,101.5,113.4,19.3,257.4,448.0,264.9,115.9,126.7,1047.8,303.9,67.6,2897.1
2023/01,101.5,115.5,18.3,255.7,442.4,269.3,114.8,133.6,1031.9,304.5,68.6,2887.6
2023/02,101.7,108.4,19.6,257.1,438.7,268.3,116.4,138.0,1036.1,304.2,70.0,2892.4
2023/03,101.3,100.7,20.3,256.7,435.8,267.8,116.1,135.4,1040.5,303.8,69.5,2879.7
2023/04,100.5,108.5,20.5,263.0,413.9,265.2,113.5,118.0,1050.0,302.8,72.4,2860.3
2023/05,97.4,114.5,21.0,267.9,413.7,255.5,116.9,126.9,997.7,289.4,73.5,2806.5
