商品,日期,总库存,增持/减持,总价值
白银,2014-12-02,10891.14,68.54,5505643206
白银,2014-12-03,10806.2,-84.94,5614273871
白银,2014-12-05,10737.66,-68.54,5626921446
白银,2014-12-11,10648.28,-89.38,5839725280
白银,2014-12-13,10606.57,-41.71,5820097631
白银,2014-12-18,10544.01,-62.56,5405691548
白银,2014-12-20,10517.2,-26.81,5361361676
白银,2014-12-25,10281.87,-235.33,5211246923
白银,2014-12-27,10268.46,-13.41,5204307855
白银,2014-12-30,10250.59,-17.87,5270832262
白银,2015-01-06,10245.96,-4.63,5230759004
白银,2015-01-07,10216.18,-29.78,5350149359
白银,2015-01-09,10260.85,44.67,5399790967
白银,2015-01-10,10201.29,-59.56,5325731148
白银,2015-01-16,10150.66,-50.63,5429469240
白银,2015-01-17,10108.97,-41.69,5563096006
白银,2015-01-22,9899.04,-209.93,5797177434
白银,2015-01-23,9931.8,32.76,5771581247
白银,2015-02-03,9967.53,35.73,5515899119
白银,2015-02-05,9963.31,-4.22,5634344896
白银,2015-02-19,10086.84,123.53,5323651452
白银,2015-02-24,10131.48,44.64,5275194062
白银,2015-03-03,10143.39,11.91,5421110015
白银,2015-03-04,10139.5,-3.89,5352577300
白银,2015-03-06,10181.17,41.67,5299139146
白银,2015-03-21,10163.32,-17.85,5282252929
白银,2015-03-24,10118.69,-44.63,5441015207
白银,2015-03-27,10074.06,-44.63,5546341098
白银,2015-04-02,10014.56,-59.5,5342548189
白银,2015-04-03,10010.34,-4.22,5419638149
白银,2015-04-11,10084.7,74.36,5365280371
白银,2015-04-14,10105.52,20.82,5285166598
白银,2015-04-21,10150.14,44.62,5249255033
白银,2015-04-24,10209.61,59.47,5204311301
白银,2015-04-25,10239.35,29.74,5209528001
白银,2015-04-28,10283.96,44.61,5235323047
白银,2015-04-29,10191.78,-92.18,5345587676
白银,2015-05-07,10125.13,-66.65,5341516791
白银,2015-05-08,10035.93,-89.2,5275022047
白银,2015-05-14,10065.66,29.73,5387302519
白银,2015-05-15,9976.46,-89.2,5580046132
白银,2015-05-16,9925.92,-50.54,5503826371
白银,2015-05-19,9888.76,-37.16,5626058636
白银,2015-05-27,9857.54,-31.22,5319289544
白银,2015-05-28,9862.0,4.46,5280404392
白银,2015-06-03,9900.65,38.65,5313387803
白银,2015-06-04,9896.37,-4.28,5313387803
白银,2015-06-05,9940.95,44.58,5263670041
白银,2015-06-09,10046.46,105.51,5186825405
白银,2015-06-10,10082.12,35.66,5227859466
白银,2015-06-11,10168.31,86.19,5272483584
白银,2015-06-12,10198.03,29.72,5202576152
白银,2015-06-26,10206.94,8.91,5212751615
白银,2015-06-27,10236.66,29.72,5188366094
白银,2015-06-28,10088.09,-148.57,5132430690
白银,2015-06-30,10068.78,-19.31,5122390423
白银,2015-07-01,10119.29,50.51,5105731730
白银,2015-07-03,10115.01,-4.28,5076314071
白银,2015-07-09,10156.6,41.59,4894314054
白银,2015-07-14,10189.28,32.68,5060412183
白银,2015-07-18,10227.9,38.62,4934632715
白银,2015-07-28,10165.53,-62.37,4799282891
白银,2015-08-04,10150.68,-14.85,4804866766
白银,2015-08-05,10146.24,-4.44,4742821188
白银,2015-08-13,10107.64,-38.6,4990722322
白银,2015-08-29,10137.33,29.69,4704452116
白银,2015-09-02,10110.61,-26.72,4769806415
白银,2015-09-03,10106.24,-4.37,4730750305
白银,2015-09-05,10058.74,-47.5,4750428890
白银,2015-09-10,10017.19,-41.55,4756242706
白银,2015-09-15,9981.57,-35.62,4629895477
白银,2015-09-23,9928.16,-53.41,4767380700
白银,2015-09-26,9898.48,-29.68,4705260023
白银,2015-09-29,9871.77,-26.71,4663735312
白银,2015-10-01,9907.38,35.61,4664510365
白银,2015-10-03,9903.21,-4.17,4594322560
白银,2015-10-07,9855.74,-47.47,4964960912
白银,2015-10-08,9802.33,-53.41,4985259445
白银,2015-10-21,9814.2,11.87,5003022767
白银,2015-10-30,9783.06,-31.14,4973941550
白银,2015-11-01,9760.81,-22.25,4902933426
白银,2015-11-04,9756.57,-4.24,4824214161
白银,2015-11-13,9801.05,44.48,4533671117
白银,2015-11-17,9867.78,66.73,4554773885
白银,2015-11-21,9897.43,29.65,4545941326
白银,2015-12-02,9928.86,31.43,4513652798
白银,2015-12-04,10000.01,71.15,4542660786
白银,2015-12-11,10062.27,62.26,4502565255
白银,2015-12-18,10017.81,-44.46,4450029541
白银,2015-12-22,9988.17,-29.64,4571488137
白银,2015-12-23,9962.97,-25.2,4588720164
白银,2015-12-24,9918.52,-44.45,4526719595
白银,2015-12-31,9888.88,-29.64,4391943604
白银,2016-01-05,9884.62,-4.26,4452049092
白银,2016-01-07,9840.17,-44.45,4438233920
白银,2016-01-15,9795.73,-44.44,4345267031
白银,2016-01-19,9754.25,-41.48,4398755274
白银,2016-01-21,9692.04,-62.21,4364338888
白银,2016-01-25,9662.41,-29.63,4415991204
白银,2016-01-28,9626.86,-35.55,4201469886
