date,BTCUSD,ETHUSD,AUDJPY,AUDUSD,XBRUSD,GER40,EURAUD,EURGBP,EURJPY,EURUSD,GBPJPY,GBPUSD,NAS100,NZDUSD,SP500,USDCAD,USDCHF,USDJPY,XTIUSD,XAGUSD,XAUUSD,US30,GBPCHF,EURCHF,USDX
2026-04-21 00:00,60.11,76.42,35.61,24.87,64.14,73.57,69.82,34.91,27.63,27.9,41.63,41.54,30.58,49.43,32.58,69.22,84.68,41.99,77.8,73.86,76.26,63.38,87.2,73.08,64.92
2026-04-21 00:10,59.45,77.0,35.85,24.89,64.21,74.16,69.67,34.96,27.56,27.95,41.26,41.46,29.83,49.31,31.57,69.36,84.78,42.19,77.99,73.0,76.88,64.05,87.2,72.97,64.97
2026-04-21 00:20,59.66,76.72,35.87,24.31,64.42,73.27,69.69,34.92,27.43,27.65,40.62,41.6,30.29,49.15,32.19,69.71,84.92,42.06,77.94,72.99,77.07,57.71,87.25,73.54,65.13
2026-04-21 00:30,59.55,75.69,35.84,24.44,64.42,71.58,69.86,34.95,27.59,27.75,40.92,41.35,30.89,49.31,32.21,69.73,84.82,42.21,77.87,72.99,76.82,56.92,87.15,73.46,65.15
2026-04-21 00:40,59.67,75.1,35.68,23.9,64.46,71.97,69.73,34.8,27.55,27.79,40.76,41.23,31.13,49.26,31.74,69.78,84.78,42.12,77.55,72.34,76.17,57.71,87.32,73.66,65.17
2026-04-21 00:50,59.68,75.92,35.64,23.95,64.23,73.17,69.68,34.8,27.52,27.75,40.69,41.17,30.08,49.01,32.04,69.9,84.91,41.97,77.55,72.34,75.73,57.81,87.14,73.72,65.21
2026-04-21 01:00,59.53,75.92,35.75,23.79,64.04,71.87,69.55,34.84,27.58,27.5,40.13,41.11,30.42,48.92,32.08,69.92,84.99,42.19,77.36,72.43,74.31,57.31,87.15,73.68,65.38
2026-04-21 01:10,60.08,75.99,35.83,23.96,63.81,73.27,69.4,34.78,27.66,27.49,40.42,41.19,29.75,48.91,33.06,69.8,84.85,42.37,77.28,71.87,73.19,58.5,87.19,73.75,65.35
2026-04-21 01:20,60.71,75.18,35.82,23.83,63.71,73.66,69.5,34.78,27.17,27.48,40.51,41.25,29.66,48.85,33.66,69.87,84.76,42.26,77.26,71.87,71.74,60.59,87.33,73.85,65.35
2026-04-21 01:30,60.1,75.18,35.77,23.77,63.33,74.26,69.81,34.98,26.96,27.35,40.52,41.23,29.66,48.78,33.37,69.93,84.86,42.18,77.49,71.87,71.55,60.69,87.29,73.85,65.41
2026-04-21 01:40,60.83,74.32,35.44,23.5,62.97,74.56,69.79,34.86,26.89,27.31,39.95,41.05,29.45,48.17,32.36,69.97,84.97,41.84,77.37,70.77,71.41,57.3,87.27,73.66,65.49
2026-04-21 01:50,60.49,75.11,35.39,23.56,62.97,75.15,69.78,35.02,26.91,27.45,40.36,41.12,28.36,48.26,32.66,69.95,84.97,41.82,77.3,70.77,71.33,57.6,87.27,73.72,65.41
2026-04-21 02:00,60.46,75.11,35.59,23.46,63.03,75.06,69.85,34.9,26.78,27.34,40.25,40.96,28.99,47.82,32.38,70.11,85.11,41.87,77.3,70.79,71.98,56.82,87.3,73.82,65.54
2026-04-21 02:40,58.42,75.18,35.58,23.08,63.29,71.68,69.78,34.97,26.72,27.15,39.71,40.93,28.65,47.56,32.19,70.09,85.19,41.95,77.12,70.08,70.24,59.9,87.39,73.7,65.68
2026-04-21 02:50,58.92,74.96,35.3,23.23,63.14,70.98,70.0,34.91,26.87,27.29,38.89,40.82,29.12,47.52,32.5,70.15,85.08,41.9,77.12,70.08,69.66,56.13,87.37,73.74,65.63
2026-04-21 03:00,58.37,74.89,35.17,23.23,63.34,70.78,69.94,35.02,26.03,27.19,38.22,40.86,28.69,47.51,32.03,70.31,85.16,41.9,76.93,69.94,69.38,64.06,87.29,73.77,65.72
2026-04-21 03:10,58.24,76.21,35.13,23.33,63.07,69.09,69.93,34.76,25.6,27.5,38.04,40.9,28.67,47.52,31.22,70.5,85.17,40.77,76.86,70.36,69.0,62.77,87.47,73.83,65.46
2026-04-21 03:20,57.65,76.2,34.95,23.38,63.0,70.57,70.09,34.78,25.49,27.34,37.17,40.87,28.68,47.5,31.4,70.7,85.19,40.75,76.78,70.34,68.72,63.46,87.4,73.76,65.53
2026-04-21 03:30,57.33,76.41,34.89,23.14,63.45,70.37,70.04,34.78,25.42,27.21,37.07,40.81,28.2,47.35,30.77,70.81,85.13,40.77,76.78,70.34,69.0,61.38,87.32,73.88,65.63
2026-04-21 03:40,56.76,76.58,34.9,22.95,63.71,68.88,70.65,34.79,25.54,27.39,37.29,40.89,29.24,47.23,31.89,70.81,85.14,40.48,76.76,70.57,70.67,62.97,87.44,73.68,65.53
2026-04-21 03:50,56.45,76.58,34.87,23.06,64.01,67.88,70.71,34.63,25.57,27.36,37.4,40.83,29.1,47.21,31.89,70.78,85.09,40.63,76.76,70.58,70.7,62.67,87.4,73.72,65.56
2026-04-21 04:00,56.49,76.35,34.86,23.05,63.95,69.77,70.53,34.68,25.34,27.16,37.35,40.82,29.74,47.2,32.38,70.74,85.2,40.31,76.67,70.72,71.77,61.19,87.44,73.57,65.59
2026-04-21 04:10,56.27,76.18,34.75,23.12,64.1,71.66,70.92,34.3,25.41,27.17,36.87,41.35,29.04,47.24,30.18,70.69,85.02,40.01,76.66,69.88,70.85,65.35,87.54,73.73,65.4
2026-04-21 04:20,56.8,76.41,34.69,23.04,64.34,72.85,70.78,34.3,25.2,27.1,37.05,41.21,28.88,47.18,30.21,70.83,85.2,39.7,76.69,69.92,70.73,63.86,87.54,73.72,65.47
2026-04-21 04:30,56.69,76.41,35.0,23.01,64.41,72.65,70.71,34.3,25.29,27.25,37.36,41.28,29.04,47.29,30.21,70.76,85.19,39.68,76.69,69.92,70.61,63.26,87.52,73.82,65.38
2026-04-21 04:40,56.26,75.65,35.05,22.96,64.06,71.16,70.65,34.45,24.91,27.23,35.87,40.93,27.48,47.23,30.34,70.64,84.82,39.56,76.6,69.51,71.11,65.53,87.64,73.77,65.43
2026-04-21 04:50,56.68,75.65,35.06,22.94,64.06,68.77,70.75,34.31,24.9,27.28,35.97,40.68,27.48,47.08,29.51,70.63,84.83,39.27,76.6,69.51,70.71,61.66,87.42,73.71,65.44
2026-04-21 05:00,56.52,75.64,35.09,22.85,63.94,70.86,70.77,34.41,24.77,27.23,35.81,40.64,27.45,47.3,29.85,70.61,84.86,39.35,76.74,69.91,69.63,58.19,87.49,73.63,65.45
2026-04-21 05:10,55.92,76.0,34.6,23.15,63.9,69.87,70.77,34.28,24.53,27.3,35.65,40.62,27.45,47.98,30.09,70.71,84.39,39.28,76.74,70.71,69.69,58.19,87.54,73.44,65.36
