时间,前值,现值,发布日期
2008第1季度,3.91115564,2.89134625,2008-05-27
2008第2季度,2.89134625,4.00834651,2008-08-27
2008第3季度,4.00834651,1.78375765,2008-11-27
2008第4季度,1.78375765,-1.07518241,2009-02-26
2009第1季度,-1.07518241,-5.72700979,2009-05-27
2009第2季度,-5.72700979,-6.52666322,2009-08-27
2009第3季度,-6.52666322,-3.61897826,2009-11-27
2009第4季度,-3.61897826,-0.20307702,2010-02-26
2010第1季度,-0.20307702,3.67981592,2010-05-27
2010第2季度,3.67981592,5.06802368,2010-08-27
2010第3季度,5.06802368,4.36917922,2010-11-27
2010第4季度,4.36917922,4.12027089,2011-02-26
2011第1季度,4.12027089,5.33306433,2011-05-27
2011第2季度,5.33306433,3.85983987,2011-08-27
2011第3季度,3.85983987,3.53157804,2011-11-27
2011第4季度,3.53157804,2.56570616,2012-02-26
2012第1季度,2.56570616,2.98483639,2012-05-27
2012第2季度,2.98483639,7.17424062,2012-08-27
2012第3季度,7.17424062,1.72531732,2012-11-27
2012第4季度,1.72531732,0.94512195,2013-02-26
2013第1季度,0.94512195,5.76875387,2013-05-27
2013第2季度,5.76875387,2.75722235,2013-08-27
2013第3季度,2.75722235,7.36252241,2013-11-27
2013第4季度,7.36252241,7.86469345,2014-02-26
2014第1季度,7.86469345,4.54705313,2014-05-27
2014第2季度,4.54705313,2.82870764,2014-08-27
2014第3季度,2.82870764,2.90060824,2014-11-27
2014第4季度,2.90060824,3.19202554,2015-02-26
2015第1季度,3.19202554,2.96166515,2015-05-27
2015第2季度,2.96166515,4.12774004,2015-08-27
2015第3季度,4.12774004,4.16739933,2015-11-27
2015第4季度,4.16739933,4.86243013,2016-02-26
2016第1季度,4.86243013,3.86207084,2016-05-27
2016第2季度,3.86207084,4.79675015,2016-08-27
2016第3季度,4.79675015,2.44896899,2016-11-27
2016第4季度,2.44896899,3.98618227,2017-02-26
2017第1季度,3.98618227,4.70410905,2017-05-26
2017第2季度,4.70410905,2.83796273,2017-08-28
2017第3季度,2.83796273,4.43103754,2017-11-23
2017第4季度,4.43103754,4.90960895,2018-02-26
2018第1季度,4.90960895,3.08947975,2018-05-29
2018第2季度,3.08947975,4.038992,2018-08-14
2018第3季度,4.038992,2.22346287,2018-11-26
2018第4季度,2.22346287,2.71943453,2019-02-25
2019第1季度,2.71943453,3.36482417,2019-05-16
2019第2季度,3.36482417,2.31419831,2019-08-14
2019第3季度,2.31419831,4.27302733,2019-11-14
2019第4季度,4.27302733,2.96379255,2020-02-14
2020第1季度,2.96379255,3.52313711,2020-05-15
2020第2季度,3.52313711,-6.79728906,2020-08-14
2020第3季度,-6.79728906,-0.7981782,2020-11-24
2020第4季度,-0.7981782,1.17740724,2021-02-24
2021第1季度,1.17740724,0.46526407,2021-05-25
2021第2季度,0.46526407,12.65993181,2021-08-27
2021第3季度,12.65993181,6.89477067,2021-11-23
2021第4季度,6.89477067,6.87583815,2022-02-25
2022第1季度,6.87583815,9.9195771,2022-05-25
2022第2季度,9.9195771,9.00390843,2022-08-25
2022第3季度,9.00390843,7.63118618,2022-11-25
2022第4季度,7.63118618,7.61253928,2023-02-24
2023第1季度,7.61253928,7.23225846,2023-05-25
2023第2季度,7.23225846,5.71132943,2023-08-25
2023第3季度,5.71132943,5.29938746,2023-11-25
2023第4季度,5.29938746,4.88272592,2024-02-23
2024第1季度,4.88272592,2.69376725,2024-05-24
2024第2季度,2.69376725,3.09822848,2024-08-27
2024第3季度,3.09822848,2.61203221,2024-11-22
2024第4季度,2.61203221,2.02221589,2025-02-25
2025第1季度,2.02221589,2.76121423,2025-05-23
2025第2季度,2.76121423,2.98820322,2025-08-22
2025第3季度,2.98820322,3.43929755,2025-11-26
2025第4季度,3.43929755,3.81026999,2026-02-25
