时间,前值,现值,发布日期
2008年12月,3.2,3.9,2009-04-13
2009年12月,3.9,-0.1,2010-04-13
2010年12月,-0.1,0.4,2011-04-13
2011年12月,0.4,2.0,2012-04-12
2012年12月,2.0,2.5,2013-04-13
2013年12月,2.5,2.5,2014-11-18
2014年12月,2.5,1.0,2015-01-16
2015年12月,1.0,0.1,2016-01-16
2016年12月,0.1,0.6,2017-01-16
2017年12月,0.6,2.0,2018-01-16
2018年12月,2.0,1.9,2019-01-16
2019年12月,1.9,0.7,2020-01-16
2020年12月,0.7,1.3,2021-01-19
2021年12月,1.3,2.8,2022-01-19
2022年12月,2.8,10.2,2023-01-17
2023年12月,10.2,10.6,2024-01-16
2024年12月,10.6,2.1,2025-01-16
2025年12月,2.1,2.3,2026-01-16
