时间,前值,现值,发布日期
2008年01月,15.5,17.2,2008-03-10
2008年02月,17.2,16.3,2008-04-10
2008年03月,16.3,16.8,2008-05-09
2008年04月,16.8,16.8,2008-06-09
2008年05月,16.8,15.3,2008-07-09
2008年06月,15.3,17.5,2008-08-09
2008年07月,17.5,12.4,2008-09-08
2008年08月,12.4,14.5,2008-10-09
2008年09月,14.5,13.4,2008-11-09
2008年10月,13.4,15.3,2008-12-09
2008年11月,15.3,10.4,2009-01-09
2008年12月,10.4,10.3,2009-02-08
2009年01月,10.3,8.6,2009-03-11
2009年02月,8.6,9.0,2009-04-11
2009年03月,9.0,9.2,2009-05-09
2009年04月,9.2,10.0,2009-06-09
2009年05月,10.0,11.3,2009-07-09
2009年06月,11.3,12.6,2009-08-09
2009年07月,12.6,14.0,2009-09-08
2009年08月,14.0,11.8,2009-10-09
2009年09月,11.8,9.8,2009-11-09
2009年10月,9.8,11.3,2009-12-09
2009年11月,11.3,15.3,2010-01-09
2009年12月,15.3,14.7,2010-02-08
2010年01月,14.7,11.0,2010-03-11
2010年02月,11.0,13.5,2010-04-11
2010年03月,13.5,12.2,2010-05-09
2010年04月,12.2,13.1,2010-06-09
2010年05月,13.1,11.0,2010-07-09
2010年06月,11.0,12.0,2010-08-09
2010年07月,12.0,12.7,2010-09-08
2010年08月,12.7,11.8,2010-10-09
2010年09月,11.8,13.9,2010-11-09
2010年10月,13.9,14.1,2010-12-09
2010年11月,14.1,12.6,2011-01-09
2010年12月,12.6,13.7,2011-02-08
2011年01月,13.7,12.8,2011-03-11
2011年02月,12.8,12.1,2011-04-11
2011年03月,12.1,14.8,2011-05-09
2011年04月,14.8,11.8,2011-06-09
2011年05月,11.8,12.6,2011-07-09
2011年06月,12.6,12.9,2011-08-09
2011年07月,12.9,11.3,2011-09-08
2011年08月,11.3,13.4,2011-10-09
2011年09月,13.4,14.5,2011-11-09
2011年10月,14.5,11.9,2011-12-09
2011年11月,11.9,14.8,2012-01-09
2011年12月,14.8,13.1,2012-02-08
2012年01月,13.1,16.5,2012-03-10
2012年02月,16.5,15.2,2012-04-10
2012年03月,15.2,14.2,2012-05-09
2012年04月,14.2,15.7,2012-06-09
2012年05月,15.7,16.0,2012-07-09
2012年06月,16.0,17.2,2012-08-09
2012年07月,17.2,17.0,2012-09-08
2012年08月,17.0,18.5,2012-10-09
2012年09月,18.5,16.5,2012-11-09
2012年10月,16.5,14.8,2012-12-09
2012年11月,14.8,15.8,2013-01-09
2012年12月,15.8,16.9,2013-02-08
2013年01月,16.9,16.3,2013-03-11
2013年02月,16.3,17.3,2013-04-11
2013年03月,17.3,17.8,2013-05-09
2013年04月,17.8,16.7,2013-06-09
2013年05月,16.7,14.6,2013-07-09
2013年06月,14.6,16.4,2013-08-09
2013年07月,16.4,14.9,2013-09-08
2013年08月,14.9,15.6,2013-10-09
2013年09月,15.6,18.5,2013-11-09
2013年10月,18.5,16.5,2013-12-09
2013年11月,16.5,17.8,2014-01-09
2013年12月,17.8,17.6,2014-02-08
2014年01月,17.6,17.8,2014-03-11
2014年02月,17.8,16.3,2014-04-11
2014年03月,16.3,14.8,2014-05-09
2014年04月,14.8,17.1,2014-06-09
2014年05月,17.1,17.4,2014-07-09
2014年06月,17.4,16.3,2014-08-09
2014年07月,16.3,21.4,2014-09-08
2014年08月,21.4,16.9,2014-10-09
2014年09月,16.9,18.2,2014-11-09
2014年10月,18.2,19.9,2014-12-09
2014年11月,19.9,17.7,2015-01-09
2014年12月,17.7,21.5,2015-02-08
2015年01月,21.5,20.2,2015-03-11
2015年02月,20.2,20.2,2015-04-11
2015年03月,20.2,19.0,2015-05-09
2015年04月,19.0,20.9,2015-06-09
2015年05月,20.9,21.6,2015-07-09
2015年06月,21.6,20.9,2015-08-07
2015年07月,20.9,22.8,2015-09-08
2015年08月,22.8,18.1,2015-10-08
2015年09月,18.1,18.8,2015-11-09
2015年10月,18.8,20.1,2015-12-09
2015年11月,20.1,19.6,2016-01-08
2015年12月,19.6,20.1,2016-02-09
2016年01月,20.1,19.1,2016-03-10
2016年02月,19.1,18.9,2016-04-08
2016年03月,18.9,22.7,2016-05-10
2016年04月,22.7,23.1,2016-06-09
