时间,前值,现值,发布日期
2008年01月,-37.2,-41.6,2008-01-16
2008年02月,-41.6,-39.5,2008-02-16
2008年03月,-39.5,-32.0,2008-03-16
2008年04月,-32.0,-40.7,2008-04-16
2008年05月,-40.7,-41.4,2008-05-16
2008年06月,-41.4,-52.4,2008-06-16
2008年07月,-52.4,-63.9,2008-07-16
2008年08月,-63.9,-55.5,2008-08-16
2008年09月,-55.5,-41.1,2008-09-16
2008年10月,-41.1,-63.0,2008-10-16
2008年11月,-63.0,-53.5,2008-11-16
2008年12月,-53.5,-45.2,2008-12-16
2009年01月,-45.2,-31.0,2009-01-16
2009年02月,-31.0,-5.8,2009-02-16
2009年03月,-5.8,-3.5,2009-03-16
2009年04月,-3.5,13.0,2009-04-16
2009年05月,13.0,31.1,2009-05-16
2009年06月,31.1,44.8,2009-06-16
2009年07月,44.8,39.5,2009-07-16
2009年08月,39.5,56.1,2009-08-16
2009年09月,56.1,57.7,2009-09-16
2009年10月,57.7,56.0,2009-10-16
2009年11月,56.0,51.1,2009-11-16
2009年12月,51.1,50.4,2009-12-16
2010年01月,50.4,47.2,2010-01-16
2010年02月,47.2,45.1,2010-02-16
2010年03月,45.1,44.5,2010-03-16
2010年04月,44.5,53.0,2010-04-16
2010年05月,53.0,45.8,2010-05-16
2010年06月,45.8,28.7,2010-06-16
2010年07月,28.7,21.2,2010-07-16
2010年08月,21.2,14.0,2010-08-16
2010年09月,14.0,-4.3,2010-09-16
2010年10月,-4.3,-7.2,2010-10-16
2010年11月,-7.2,1.8,2010-11-16
2010年12月,1.8,4.3,2010-12-16
2011年01月,4.3,15.4,2011-01-16
2011年02月,15.4,15.7,2011-02-16
2011年03月,15.7,14.1,2011-03-16
2011年04月,14.1,7.6,2011-04-16
2011年05月,7.6,3.1,2011-05-16
2011年06月,3.1,-9.0,2011-06-16
2011年07月,-9.0,-15.1,2011-07-16
2011年08月,-15.1,-37.6,2011-08-16
2011年09月,-37.6,-43.3,2011-09-16
2011年10月,-43.3,-48.3,2011-10-16
2011年11月,-48.3,-55.2,2011-11-16
2011年12月,-55.2,-53.8,2011-12-16
2012年01月,-53.8,-21.6,2012-01-16
2012年02月,-21.6,5.4,2012-02-16
2012年03月,5.4,22.3,2012-03-16
2012年04月,22.3,23.4,2012-04-16
2012年05月,23.4,10.8,2012-05-16
2012年06月,10.8,-16.9,2012-06-16
2012年07月,-16.9,-19.6,2012-07-16
2012年08月,-19.6,-25.5,2012-08-16
2012年09月,-25.5,-18.2,2012-09-16
2012年10月,-18.2,-11.5,2012-10-16
2012年11月,-11.5,-15.7,2012-11-16
2012年12月,-15.7,6.9,2012-12-16
2013年01月,6.9,31.5,2013-01-16
2013年02月,31.5,48.2,2013-02-16
2013年03月,48.2,48.5,2013-03-16
2013年04月,48.5,36.3,2013-04-16
2013年05月,36.3,36.4,2013-05-16
2013年06月,36.4,38.5,2013-06-16
2013年07月,38.5,36.3,2013-07-16
2013年08月,36.3,42.0,2013-08-16
2013年09月,42.0,49.6,2013-09-16
2013年10月,49.6,52.8,2013-10-16
2013年11月,52.8,54.6,2013-11-16
2013年12月,54.6,62.0,2013-12-16
2014年01月,62.0,61.7,2014-01-16
2014年02月,61.7,55.7,2014-02-16
2014年03月,55.7,46.6,2014-04-01
2014年04月,46.6,43.2,2014-04-16
2014年05月,43.2,33.1,2014-05-16
2014年06月,33.1,29.8,2014-07-01
2014年07月,29.8,27.1,2014-07-16
2014年08月,27.1,8.6,2014-08-16
2014年09月,8.6,6.9,2014-09-18
2014年10月,6.9,-3.6,2014-10-14
2014年11月,-3.6,11.5,2014-11-18
2014年12月,11.5,34.9,2014-12-16
2015年01月,34.9,48.4,2015-01-20
2015年02月,48.4,53.0,2015-02-18
2015年03月,53.0,54.8,2015-03-17
2015年04月,54.8,53.3,2015-04-21
2015年05月,53.3,41.9,2015-05-19
2015年06月,41.9,31.5,2015-06-16
2015年07月,31.5,29.7,2015-07-14
2015年08月,29.7,25.0,2015-08-11
2015年09月,25.0,12.1,2015-09-15
2015年10月,12.1,1.9,2015-10-13
2015年11月,1.9,10.4,2015-11-17
2015年12月,10.4,16.1,2015-12-15
2016年01月,16.1,10.2,2016-01-19
2016年02月,10.2,1.0,2016-02-16
2016年03月,1.0,4.3,2016-03-22
2016年04月,4.3,11.2,2016-04-19
