日期,最新值,涨跌幅,近3月涨跌幅,近6月涨跌幅,近1年涨跌幅,近2年涨跌幅,近3年涨跌幅
1994-05-04,119.0,,,,,,
1994-05-05,118.3,-0.58823529,,,,,
1994-05-06,117.7,-0.50718512,,,,,
1994-05-09,115.6,-1.78419711,,,,,
1994-05-10,117.4,1.55709343,,,,,
1994-05-11,115.3,-1.78875639,,,,,
1994-05-12,114.9,-0.34692108,,,,,
1994-05-13,113.6,-1.13141862,,,,,
1994-05-16,111.2,-2.11267606,,,,,
1994-05-17,110.8,-0.35971223,,,,,
1994-05-18,115.7,4.42238267,,,,,
1994-05-19,119.0,2.85220398,,,,,
1994-05-20,118.6,-0.33613445,,,,,
1994-05-23,117.9,-0.59021922,,,,,
1994-05-24,119.1,1.0178117,,,,,
1994-05-25,119.1,0.0,,,,,
1994-05-26,117.9,-1.00755668,,,,,
1994-05-27,118.4,0.42408821,,,,,
1994-05-31,121.8,2.87162162,,,,,
1994-06-01,128.3,5.33661741,,,,,
1994-06-02,128.3,0.0,,,,,
1994-06-03,127.0,-1.01325019,,,,,
1994-06-06,126.3,-0.5511811,,,,,
1994-06-07,123.1,-2.53365004,,,,,
1994-06-08,117.7,-4.3866775,,,,,
1994-06-09,115.6,-1.78419711,,,,,
1994-06-10,118.8,2.76816609,,,,,
1994-06-13,118.5,-0.25252525,,,,,
1994-06-14,121.8,2.78481013,,,,,
1994-06-15,122.1,0.24630542,,,,,
1994-06-16,121.8,-0.24570025,,,,,
1994-06-17,119.6,-1.80623974,,,,,
1994-06-20,117.2,-2.00668896,,,,,
1994-06-21,114.7,-2.1331058,,,,,
1994-06-22,117.9,2.78988666,,,,,
1994-06-23,114.0,-3.30788804,,,,,
1994-06-24,114.2,0.1754386,,,,,
1994-06-27,118.2,3.50262697,,,,,
1994-06-28,120.6,2.03045685,,,,,
1994-06-29,121.0,0.33167496,,,,,
1994-06-30,119.5,-1.23966942,,,,,
1994-07-01,120.1,0.50209205,,,,,
1994-07-05,119.9,-0.16652789,,,,,
1994-07-06,119.0,-0.75062552,,,,,
1994-07-07,123.5,3.78151261,,,,,
1994-07-08,125.6,1.70040486,,,,,
1994-07-11,125.7,0.07961783,,,,,
1994-07-12,127.5,1.43198091,,,,,
1994-07-13,130.5,2.35294118,,,,,
1994-07-14,130.3,-0.1532567,,,,,
1994-07-15,124.6,-4.37452034,,,,,
1994-07-18,124.1,-0.40128411,,,,,
1994-07-19,121.1,-2.41740532,,,,,
1994-07-20,118.6,-2.06440958,,,,,
1994-07-21,118.6,0.0,,,,,
1994-07-22,120.1,1.26475548,,,,,
1994-07-25,119.1,-0.83263947,,,,,
1994-07-26,118.3,-0.67170445,,,,,
1994-07-27,116.9,-1.18343195,,,,,
1994-07-28,118.1,1.02651839,,,,,
1994-07-29,122.5,3.72565622,,,,,
1994-08-01,124.3,1.46938776,,,,,
1994-08-02,124.7,0.32180209,,,,,
1994-08-03,124.8,0.08019246,,,,,
1994-08-04,123.4,-1.12179487,3.69747899,,,,
1994-08-05,124.2,0.64829822,4.98732037,,,,
1994-08-08,124.7,0.40257649,5.9473237,,,,
1994-08-09,126.7,1.60384924,9.60207612,,,,
1994-08-10,131.2,3.55169692,11.75468484,,,,
1994-08-11,131.8,0.45731707,14.31049436,,,,
1994-08-12,131.9,0.07587253,14.79547433,,,,
1994-08-15,132.3,0.30326005,16.46126761,,,,
1994-08-16,134.1,1.36054422,20.59352518,,,,
1994-08-17,135.8,1.26771066,22.5631769,,,,
1994-08-18,135.6,-0.14727541,17.19965428,,,,
1994-08-19,135.5,-0.07374631,13.86554622,,,,
1994-08-22,135.9,0.29520295,14.58684654,,,,
1994-08-23,136.1,0.14716703,15.43681086,,,,
1994-08-24,134.3,-1.32255694,12.76238455,,,,
1994-08-25,136.5,1.6381236,14.60957179,,,,
1994-08-26,138.2,1.24542125,17.21798134,,,,
1994-08-29,137.5,-0.5065123,16.13175676,,,,
1994-08-30,139.0,1.09090909,17.39864865,,,,
1994-08-31,134.9,-2.94964029,10.75533662,,,,
1994-09-01,131.2,-2.74277242,2.26032736,,,,
1994-09-02,131.0,-0.15243902,2.10444271,,,,
1994-09-06,130.9,-0.07633588,3.64212193,,,,
1994-09-07,133.0,1.60427807,8.04224208,,,,
1994-09-08,133.9,0.67669173,13.76380629,,,,
1994-09-09,131.9,-1.49365198,14.10034602,,,,
1994-09-12,130.8,-0.83396513,10.1010101,,,,
1994-09-13,132.4,1.22324159,11.72995781,,,,
1994-09-14,132.5,0.0755287,8.78489327,,,,
1994-09-15,136.1,2.71698113,11.46601147,,,,
1994-09-16,136.5,0.29390154,12.06896552,,,,
1994-09-19,135.6,-0.65934066,13.37792642,,,,
1994-09-20,133.1,-1.84365782,13.5665529,,,,
1994-09-21,131.1,-1.5026296,14.29816914,,,,
1994-09-22,131.2,0.07627765,11.2807464,,,,
1994-09-23,130.0,-0.91463415,14.03508772,,,,
