时间,地区,事件,重要性,今值,预期,前值,链接
2024-05-14 01:00:00,美国,OpenAI新品发布会,2,,,,
2024-05-14 07:50:00,日本,4月国内企业商品物价指数环比,2,0.3,0.3,0.2,https://wallstreetcn.com/calendar/JP111746/overview
2024-05-14 07:50:00,日本,4月国内企业商品物价指数同比,2,0.9,0.8,0.8,https://wallstreetcn.com/calendar/JP111747/overview
2024-05-14 10:00:00,美国,谷歌I/O 2024大会,2,,,,
2024-05-14 12:02:00,美国,美国对中国征收新关税公告公布,1,,,,
2024-05-14 14:00:00,英国,4月失业金申请人数变动(万人),2,0.89,,-0.24,https://wallstreetcn.com/calendar/UK121576/overview
2024-05-14 14:00:00,英国,4月失业率,2,4.1,,4.1,https://wallstreetcn.com/calendar/UK121563/overview
2024-05-14 14:00:00,英国,3月三个月ILO就业人数变动(万人),2,-17.8,-22.0,-15.6,https://wallstreetcn.com/calendar/UK121574/overview
2024-05-14 14:00:00,英国,3月三个月ILO失业率,2,4.3,4.3,4.2,https://wallstreetcn.com/calendar/UK121573/overview
2024-05-14 14:00:00,英国,3月三个月不包括红利的平均工资同比,2,6.0,5.9,6.0,https://wallstreetcn.com/calendar/UK121578/overview
2024-05-14 14:00:00,英国,3月三个月包括红利的平均工资同比,2,5.7,5.5,5.7,https://wallstreetcn.com/calendar/UK121577/overview
2024-05-14 14:00:00,德国,4月调和CPI同比终值,2,2.4,2.4,2.4,https://wallstreetcn.com/calendar/DE112128/overview
2024-05-14 14:00:00,德国,4月调和CPI环比终值,2,0.6,0.6,0.6,https://wallstreetcn.com/calendar/DE112139/overview
2024-05-14 14:00:00,德国,4月CPI环比终值,2,0.5,0.5,0.5,https://wallstreetcn.com/calendar/DE112152/overview
2024-05-14 14:00:00,德国,4月CPI同比终值,2,2.2,2.2,2.2,https://wallstreetcn.com/calendar/DE112151/overview
2024-05-14 17:00:00,欧元区,5月ZEW经济景气指数,2,47.0,,43.9,https://wallstreetcn.com/calendar/EA152021/overview
2024-05-14 17:00:00,德国,5月ZEW经济现况指数,2,-72.3,-75.9,-79.2,https://wallstreetcn.com/calendar/DE152230/overview
2024-05-14 17:00:00,德国,5月ZEW经济景气指数,2,47.1,46.4,42.9,https://wallstreetcn.com/calendar/DE152229/overview
2024-05-14 18:00:00,美国,4月NFIB中小企业乐观程度指数,2,89.7,88.2,88.5,https://wallstreetcn.com/calendar/US151153/overview
2024-05-14 20:30:00,美国,4月核心PPI同比,2,2.4,2.3,2.1,https://wallstreetcn.com/calendar/US111043/overview
2024-05-14 20:30:00,美国,4月PPI同比,2,2.2,2.2,1.8,https://wallstreetcn.com/calendar/US111042/overview
2024-05-14 20:30:00,美国,4月核心PPI环比,2,0.5,0.2,-0.1,https://wallstreetcn.com/calendar/US111049/overview
2024-05-14 20:30:00,美国,4月PPI环比,2,0.5,0.3,-0.1,https://wallstreetcn.com/calendar/US111048/overview
2024-05-14 20:30:00,加拿大,3月批发销售环比,1,-1.1,-1.3,0.2,https://wallstreetcn.com/calendar/CA173202/overview
2024-05-14 21:15:00,欧元区,欧洲央行执委施纳贝尔发表讲话,1,,,,
2024-05-14 22:00:00,美国, 美联储主席鲍威尔和欧洲央行管委诺特共同参加一场会议并发表讲话,2,,,,
2024-05-15 00:00:00,中国香港,港股因佛诞日休市一日,1,,,,
2024-05-15 00:00:00,韩国,韩国股市因佛诞日休市一日,1,,,,
