时间,前值,现值,发布日期
2015年01月,0.1,0.1,2015-02-18
2015年02月,0.1,0.1,2015-03-17
2015年03月,0.1,0.1,2015-04-08
2015年04月,0.1,0.1,2015-04-30
2015年04月,0.1,0.1,2015-05-22
2015年05月,0.1,0.1,2015-06-19
2015年06月,0.1,0.1,2015-07-15
2015年07月,0.1,0.1,2015-08-07
2015年08月,0.1,0.1,2015-09-15
2015年09月,0.1,0.1,2015-10-07
2015年10月,0.1,0.1,2015-10-30
2015年10月,0.1,0.1,2015-11-19
2015年11月,0.1,0.1,2015-12-18
2015年12月,0.1,0.1,2016-01-29
2016年01月,0.1,-0.1,2016-03-15
2016年03月,-0.1,-0.1,2016-04-28
2016年04月,-0.1,-0.1,2016-06-16
2016年06月,-0.1,-0.1,2016-07-29
2016年07月,-0.1,-0.1,2016-09-21
2016年09月,-0.1,-0.1,2016-11-01
2016年11月,-0.1,-0.1,2016-12-20
2016年12月,-0.1,-0.1,2017-01-31
2017年01月,-0.1,-0.1,2017-03-16
2017年03月,-0.1,-0.1,2017-04-27
2017年04月,-0.1,-0.1,2017-06-16
2017年06月,-0.1,-0.1,2017-07-20
2017年07月,-0.1,-0.1,2017-09-21
2017年09月,-0.1,-0.1,2017-10-31
2017年10月,-0.1,-0.1,2017-12-21
2017年12月,-0.1,-0.1,2018-01-23
2018年01月,-0.1,-0.1,2018-03-09
2018年03月,-0.1,-0.1,2018-04-27
2018年04月,-0.1,-0.1,2018-06-15
2018年06月,-0.1,-0.1,2018-07-31
2018年07月,-0.1,-0.1,2018-09-19
2018年09月,-0.1,-0.1,2018-10-31
2018年10月,-0.1,-0.1,2018-12-20
2018年12月,-0.1,-0.1,2019-01-23
2019年01月,-0.1,-0.1,2019-03-15
2019年03月,-0.1,-0.1,2019-04-25
2019年04月,-0.1,-0.1,2019-06-20
2019年06月,-0.1,-0.1,2019-07-30
2019年07月,-0.1,-0.1,2019-09-19
2019年09月,-0.1,-0.1,2019-10-31
2019年10月,-0.1,-0.1,2019-12-19
2019年12月,-0.1,-0.1,2020-01-21
2020年01月,-0.1,-0.1,2020-03-16
2020年03月,-0.1,-0.1,2020-04-27
2020年04月,-0.1,-0.1,2020-05-22
2020年05月,-0.1,-0.1,2020-06-16
2020年06月,-0.1,-0.1,2020-07-15
2020年07月,-0.1,-0.1,2020-09-17
2020年09月,-0.1,-0.1,2020-10-29
2020年10月,-0.1,-0.1,2020-12-18
2020年12月,-0.1,-0.1,2021-01-21
2021年01月,-0.1,-0.1,2021-03-19
2021年03月,-0.1,-0.1,2021-04-27
2021年04月,-0.1,-0.1,2021-06-18
2021年06月,-0.1,-0.1,2021-07-16
2021年07月,-0.1,-0.1,2021-09-22
2021年09月,-0.1,-0.1,2021-10-28
2021年10月,-0.1,-0.1,2021-12-17
2021年12月,-0.1,-0.1,2022-01-18
2022年01月,-0.1,-0.1,2022-03-18
2022年03月,-0.1,-0.1,2022-04-28
2022年04月,-0.1,-0.1,2022-06-17
2022年06月,-0.1,-0.1,2022-06-17
2022年07月,-0.1,-0.1,2022-07-21
2022年09月,-0.1,-0.1,2022-09-22
2022年10月,-0.1,-0.1,2022-10-28
2022年12月,-0.1,-0.1,2022-12-20
2023年01月,-0.1,-0.1,2023-01-18
2023年03月,-0.1,-0.1,2023-03-10
2023年04月,-0.1,-0.1,2023-04-28
2023年06月,-0.1,-0.1,2023-06-16
2023年07月,-0.1,-0.1,2023-07-28
2023年09月,-0.1,-0.1,2023-09-22
2023年10月,-0.1,-0.1,2023-10-31
2023年12月,-0.1,-0.1,2023-12-19
2024年01月,-0.1,-0.1,2024-01-23
2024年03月,-0.1,0.1,2024-03-19
2024年04月,0.1,0.1,2024-04-26
2024年06月,0.1,0.1,2024-06-14
2024年07月,0.1,0.25,2024-07-31
2024年09月,0.25,0.25,2024-09-20
2024年10月,0.25,0.25,2024-10-31
2024年12月,0.25,0.25,2024-12-19
2025年01月,0.25,0.5,2025-01-24
2025年03月,0.5,0.5,2025-03-19
2025年05月,0.5,0.5,2025-05-01
2010年08月,0.1,0.1,2025-06-17
2010年08月,0.1,0.1,2025-06-17
2010年07月,0.1,0.1,2025-06-17
2010年06月,0.1,0.1,2025-06-17
2010年05月,0.1,0.1,2025-06-17
2010年02月,0.1,0.1,2025-06-17
2010年04月,0.1,0.1,2025-06-17
2010年04月,0.1,0.1,2025-06-17
2010年03月,0.1,0.1,2025-06-17
2010年09月,0.1,0.1,2025-06-17
