时间,前值,现值,发布日期
2008年01月,113.0,113.0,2008-03-08
2008年02月,113.0,113.4,2008-04-08
2008年03月,113.4,111.0,2008-05-07
2008年04月,111.0,111.2,2008-06-07
2008年05月,111.2,110.8,2008-07-07
2008年06月,110.8,109.4,2008-08-07
2008年07月,109.4,108.6,2008-09-06
2008年08月,108.6,106.5,2008-10-07
2008年09月,106.5,105.2,2008-11-07
2008年10月,105.2,99.6,2008-12-07
2008年11月,99.6,93.7,2009-01-07
2008年12月,93.7,90.2,2009-02-06
2009年01月,90.2,84.3,2009-03-09
2009年02月,84.3,81.6,2009-04-09
2009年03月,81.6,83.2,2009-05-07
2009年04月,83.2,87.0,2009-06-07
2009年05月,87.0,89.5,2009-07-07
2009年06月,89.5,93.1,2009-08-07
2009年07月,93.1,95.0,2009-09-06
2009年08月,95.0,96.8,2009-10-07
2009年09月,96.8,99.4,2009-11-07
2009年10月,99.4,101.9,2009-12-07
2009年11月,101.9,101.6,2010-01-07
2009年12月,101.6,103.7,2010-02-06
2010年01月,103.7,104.9,2010-03-09
2010年02月,104.9,103.7,2010-04-09
2010年03月,103.7,107.4,2010-05-07
2010年04月,107.4,108.9,2010-06-07
2010年05月,108.9,107.7,2010-07-07
2010年06月,107.7,108.1,2010-08-07
2010年07月,108.1,108.0,2010-09-06
2010年08月,108.0,108.5,2010-10-07
2010年09月,108.5,107.8,2010-11-07
2010年10月,107.8,107.6,2010-12-07
2010年11月,107.6,108.5,2011-01-07
2010年12月,108.5,109.1,2011-02-06
2011年01月,109.1,109.8,2011-03-09
2011年02月,109.8,110.6,2011-04-09
2011年03月,110.6,108.2,2011-05-07
2011年04月,108.2,105.1,2011-06-07
2011年05月,105.1,105.9,2011-07-07
2011年06月,105.9,108.4,2011-08-07
2011年07月,108.4,110.4,2011-09-06
2011年08月,110.4,110.2,2011-10-07
2011年09月,110.2,108.7,2011-11-07
2011年10月,108.7,109.0,2011-12-07
2011年11月,109.0,108.7,2012-01-07
2011年12月,108.7,109.2,2012-02-06
2012年01月,109.2,109.9,2012-03-08
2012年02月,109.9,111.3,2012-04-08
2012年03月,111.3,111.5,2012-05-07
2012年04月,111.5,110.7,2012-06-07
2012年05月,110.7,109.9,2012-07-07
2012年06月,109.9,108.3,2012-08-07
2012年07月,108.3,107.6,2012-09-06
2012年08月,107.6,107.4,2012-10-07
2012年09月,107.4,106.4,2012-11-07
2012年10月,106.4,106.2,2012-12-07
2012年11月,106.2,105.9,2013-01-22
2012年12月,105.9,107.0,2013-02-19
2013年01月,107.0,109.3,2013-03-19
2013年02月,109.3,112.6,2013-04-19
2013年03月,112.6,114.4,2013-05-20
2013年04月,114.4,115.6,2013-06-20
2013年05月,115.6,117.5,2013-07-19
2013年06月,117.5,116.0,2013-08-19
2013年07月,116.0,116.9,2013-09-19
2013年08月,116.9,117.1,2013-10-21
2013年09月,117.1,118.7,2013-11-19
2013年10月,118.7,118.8,2013-12-19
2013年11月,118.8,120.5,2014-01-22
2013年12月,120.5,119.6,2014-02-19
2014年01月,119.6,119.9,2014-03-19
2014年02月,119.9,116.4,2014-04-22
2014年03月,116.4,115.2,2014-05-20
2014年04月,115.2,112.7,2014-06-19
2014年05月,112.7,111.6,2014-07-22
2014年06月,111.6,111.5,2014-08-19
2014年07月,111.5,113.1,2014-09-19
2014年08月,113.1,112.8,2014-10-20
2014年09月,112.8,113.3,2014-11-19
2014年10月,113.3,112.2,2014-12-19
2014年11月,112.2,112.6,2015-01-21
2014年12月,112.6,112.6,2015-02-19
2015年01月,112.6,112.1,2015-03-17
2015年02月,112.1,112.3,2015-04-21
2015年03月,112.3,112.5,2015-05-20
2015年04月,112.5,113.7,2015-06-19
2015年05月,113.7,114.8,2015-07-21
2015年06月,114.8,114.4,2015-08-24
2015年07月,114.4,112.8,2015-09-28
2015年08月,112.8,112.1,2015-10-23
2015年09月,112.1,110.7,2015-11-25
2015年10月,110.7,111.2,2015-12-07
2015年11月,111.2,110.1,2016-01-25
2015年12月,110.1,108.6,2016-02-24
2016年01月,108.6,108.5,2016-03-25
2016年02月,108.5,107.0,2016-04-25
2016年03月,107.0,107.1,2016-05-23
2016年04月,107.1,107.2,2016-06-23
