月份,新增存款-数量,新增存款-同比,新增存款-环比,新增企业存款-数量,新增企业存款-同比,新增企业存款-环比,新增储蓄存款-数量,新增储蓄存款-同比,新增储蓄存款-环比,新增其他存款-数量,新增其他存款-同比,新增其他存款-环比
2023-10,2816483.21,10.53%,0.23%,782053.88,5.15%,-1.09%,1341080.4,16.41%,-0.47%,70411.12,9.02%,24.07%
2023-11,2841754.85,10.24%,0.90%,784540.77,5.20%,0.32%,1350169.15,14.95%,0.68%,67118.35,10.21%,-4.68%
2023-12,2842623.3,9.97%,0.03%,787756.22,5.52%,0.41%,1369894.58,13.84%,1.46%,57937.13,15.84%,-13.68%
2024-01,2897428.5,9.18%,1.93%,797998.43,8.08%,1.30%,1395218.75,10.27%,1.85%,66540.81,17.07%,14.85%
2024-02,2906999.38,8.39%,0.33%,768064.82,2.24%,-3.75%,1427229.47,12.10%,2.29%,62743.55,2.19%,-5.71%
2024-03,2955054.17,7.89%,1.65%,788817.72,1.48%,2.70%,1455456.16,11.76%,1.98%,55082.19,3.95%,-12.21%
2024-04,2915852.23,6.63%,-1.33%,770124.67,-0.75%,-2.37%,1437036.59,11.37%,-1.27%,56062.8,-3.36%,1.78%
2024-05,2932599.27,6.68%,0.57%,762052.72,-1.61%,-1.05%,1441205.29,11.23%,0.29%,63696.0,5.48%,13.62%
2024-06,2957172.45,6.14%,0.84%,772129.73,-2.90%,1.32%,1462619.53,10.60%,1.49%,55502.91,11.25%,-12.86%
2024-07,2949199.49,6.28%,-0.27%,754326.29,-3.27%,-2.31%,1459300.16,11.03%,-0.23%,61956.34,5.07%,11.63%
2024-08,2971425.35,6.59%,0.75%,757763.46,-3.93%,0.46%,1466414.13,10.91%,0.49%,67543.21,14.72%,9.02%
2024-09,3008822.65,7.07%,1.26%,765460.47,-3.19%,1.02%,1488435.63,10.46%,1.50%,65185.15,14.86%,-3.49%
2024-10,3014771.89,7.04%,0.20%,758191.12,-3.05%,-0.95%,1482729.23,10.56%,-0.38%,71149.19,1.05%,9.15%
2024-11,3036481.15,6.85%,0.72%,765605.73,-2.41%,0.98%,1490578.97,10.40%,0.53%,72557.14,8.10%,1.98%
2024-12,3022537.95,6.33%,-0.46%,783649.1,-0.52%,2.36%,1512509.36,10.41%,1.47%,55812.16,-3.67%,-23.08%
2025-01,3065512.47,5.80%,1.42%,780426.68,-2.20%,-0.41%,1567675.44,12.36%,3.65%,59562.94,-10.49%,6.72%
2025-02,3109697.9,6.97%,1.44%,771491.53,0.45%,-1.14%,1573761.53,10.27%,0.39%,72116.15,14.94%,21.08%
2025-03,3152232.44,6.67%,1.37%,799857.08,1.40%,3.68%,1604706.8,10.25%,1.97%,64428.49,16.97%,-10.66%
2025-04,3147793.38,7.95%,-0.14%,786590.2,2.14%,-1.66%,1590795.67,10.70%,-0.87%,68100.96,21.47%,5.70%
2025-05,3169624.01,8.08%,0.69%,782413.73,2.67%,-0.53%,1595494.14,10.71%,0.30%,76942.86,20.80%,12.98%
2025-06,3201739.92,8.27%,1.01%,800190.99,3.63%,2.27%,1620254.78,10.78%,1.55%,68776.6,23.92%,-10.61%
2025-07,3206702.75,8.73%,0.16%,785596.5,4.15%,-1.82%,1609117.49,10.27%,-0.69%,76452.86,23.40%,11.16%
2025-08,3227265.78,8.61%,0.64%,788593.47,4.07%,0.38%,1610211.68,9.81%,0.07%,78348.39,16.00%,2.48%
2025-09,3249387.56,8.00%,0.69%,797743.11,4.22%,1.16%,1639847.95,10.17%,1.84%,69906.51,7.24%,-10.77%
2025-10,3255492.03,7.98%,0.19%,786934.07,3.79%,-1.35%,1626359.04,9.69%,-0.82%,77128.52,8.40%,10.33%
2025-11,3269626.94,7.68%,0.43%,793387.29,3.63%,0.82%,1633084.44,9.56%,0.41%,76662.5,5.66%,-0.60%
2025-12,3286428.75,8.73%,0.51%,805593.99,2.80%,1.54%,1658934.64,9.68%,1.58%,62817.62,12.55%,-18.06%
2026-01,3367696.02,9.86%,2.47%,830350.08,6.40%,3.07%,1680390.91,7.19%,1.29%,78715.17,32.15%,25.31%
2026-02,3379369.82,8.67%,0.35%,803765.17,4.18%,-3.20%,1711519.0,8.75%,1.85%,75205.77,4.28%,-4.46%
2026-03,3424070.78,8.62%,1.32%,831009.95,3.89%,3.39%,1735889.52,8.17%,1.42%,67824.03,5.27%,-9.82%
