日期,最新值,涨跌幅,近3月涨跌幅,近6月涨跌幅,近1年涨跌幅,近2年涨跌幅,近3年涨跌幅
1999-04-30,940,,,,,,
1999-05-04,947,0.74468085,,,,,
1999-05-05,960,1.37275607,,,,,
1999-05-06,969,0.9375,,,,,
1999-05-07,981,1.23839009,,,,,
1999-05-10,986,0.509684,,,,,
1999-05-11,988,0.20283976,,,,,
1999-05-12,989,0.10121457,,,,,
1999-05-13,992,0.3033367,,,,,
1999-05-14,995,0.30241935,,,,,
1999-05-17,995,0.0,,,,,
1999-05-18,993,-0.20100503,,,,,
1999-05-19,986,-0.70493454,,,,,
1999-05-20,979,-0.70993915,,,,,
1999-05-21,970,-0.91930541,,,,,
1999-05-24,962,-0.82474227,,,,,
1999-05-25,955,-0.72765073,,,,,
1999-05-26,944,-1.15183246,,,,,
1999-05-27,930,-1.48305085,,,,,
1999-05-28,922,-0.86021505,,,,,
1999-06-01,914,-0.86767896,,,,,
1999-06-02,909,-0.54704595,,,,,
1999-06-03,903,-0.66006601,,,,,
1999-06-04,898,-0.55370986,,,,,
1999-06-07,893,-0.55679287,,,,,
1999-06-08,889,-0.44792833,,,,,
1999-06-09,885,-0.44994376,,,,,
1999-06-10,883,-0.2259887,,,,,
1999-06-11,880,-0.33975085,,,,,
1999-06-14,874,-0.68181818,,,,,
1999-06-15,869,-0.57208238,,,,,
1999-06-16,866,-0.3452244,,,,,
1999-06-17,858,-0.92378753,,,,,
1999-06-18,855,-0.34965035,,,,,
1999-06-21,851,-0.46783626,,,,,
1999-06-22,849,-0.23501763,,,,,
1999-06-23,847,-0.23557126,,,,,
1999-06-24,843,-0.47225502,,,,,
1999-06-25,842,-0.11862396,,,,,
1999-06-28,839,-0.35629454,,,,,
1999-06-29,835,-0.47675805,,,,,
1999-06-30,833,-0.23952096,,,,,
1999-07-01,831,-0.24009604,,,,,
1999-07-02,833,0.24067389,,,,,
1999-07-05,837,0.48019208,,,,,
1999-07-06,847,1.19474313,,,,,
1999-07-07,862,1.77095632,,,,,
1999-07-08,878,1.85614849,,,,,
1999-07-09,905,3.07517084,,,,,
1999-07-12,933,3.09392265,,,,,
1999-07-13,959,2.78670954,,,,,
1999-07-14,982,2.3983316,,,,,
1999-07-15,988,0.61099796,,,,,
1999-07-16,994,0.60728745,,,,,
1999-07-19,996,0.20120724,,,,,
1999-07-20,989,-0.70281124,,,,,
1999-07-21,979,-1.01112235,,,,,
1999-07-22,970,-0.91930541,,,,,
1999-07-23,958,-1.2371134,,,,,
1999-07-26,953,-0.52192067,,,,,
1999-07-27,950,-0.31479538,,,,,
1999-07-28,953,0.31578947,,,,,
1999-07-29,954,0.10493179,,,,,
1999-07-30,956,0.20964361,1.70212766,,,,
1999-08-02,956,0.0,1.70212766,,,,
1999-08-03,956,0.0,1.70212766,,,,
1999-08-04,958,0.20920502,1.16156283,,,,
1999-08-05,960,0.20876827,0.0,,,,
1999-08-06,980,2.08333333,1.13519092,,,,
1999-08-09,992,1.2244898,1.12130479,,,,
1999-08-10,1006,1.41129032,2.02839757,,,,
1999-08-11,1027,2.08747515,3.94736842,,,,
1999-08-12,1076,4.77117819,8.79676441,,,,
1999-08-13,1099,2.13754647,10.78629032,,,,
1999-08-16,1112,1.18289354,11.75879397,,,,
1999-08-17,1121,0.80935252,12.66331658,,,,
1999-08-18,1135,1.24888492,14.3001007,,,,
1999-08-19,1141,0.52863436,15.72008114,,,,
1999-08-20,1143,0.17528484,16.75178754,,,,
1999-08-23,1138,-0.43744532,17.31958763,,,,
1999-08-24,1131,-0.61511424,17.56756757,,,,
1999-08-25,1139,0.70733864,19.26701571,,,,
1999-08-26,1152,1.14135206,22.03389831,,,,
1999-08-27,1176,2.08333333,26.4516129,,,,
1999-08-31,1191,1.2755102,29.17570499,,,,
1999-09-01,1210,1.59529807,32.38512035,,,,
1999-09-02,1229,1.57024793,35.20352035,,,,
1999-09-03,1246,1.38323841,37.98449612,,,,
1999-09-06,1272,2.08667737,41.6481069,,,,
1999-09-07,1300,2.20125786,45.57670773,,,,
1999-09-08,1336,2.76923077,50.28121485,,,,
1999-09-09,1360,1.79640719,53.67231638,,,,
1999-09-10,1371,0.80882353,55.26613817,,,,
1999-09-13,1375,0.29175784,56.25,,,,
1999-09-14,1377,0.14545455,57.55148741,,,,
1999-09-15,1390,0.94408134,59.95397008,,,,
1999-09-16,1390,0.0,60.50808314,,,,
1999-09-17,1391,0.07194245,62.12121212,,,,
1999-09-20,1392,0.07189073,62.80701754,,,,
1999-09-21,1394,0.14367816,63.80728555,,,,
