日期,最新值,涨跌幅,近3月涨跌幅,近6月涨跌幅,近1年涨跌幅,近2年涨跌幅,近3年涨跌幅
1988-10-19,1317,,,,,,
1988-10-20,1316,-0.07593014,,,,,
1988-10-21,1328,0.9118541,,,,,
1988-10-24,1361,2.48493976,,,,,
1988-10-25,1363,0.14695077,,,,,
1988-10-26,1364,0.07336757,,,,,
1988-10-27,1369,0.36656891,,,,,
1988-10-28,1371,0.14609204,,,,,
1988-10-31,1373,0.14587892,,,,,
1988-11-01,1378,0.36416606,,,,,
1988-11-02,1390,0.87082729,,,,,
1988-11-03,1396,0.43165468,,,,,
1988-11-04,1398,0.14326648,,,,,
1988-11-07,1410,0.8583691,,,,,
1988-11-08,1415,0.35460993,,,,,
1988-11-09,1420,0.35335689,,,,,
1988-11-10,1424,0.28169014,,,,,
1988-11-11,1434,0.70224719,,,,,
1988-11-14,1444,0.69735007,,,,,
1988-11-15,1454,0.69252078,,,,,
1988-11-16,1473,1.30674003,,,,,
1988-11-17,1482,0.61099796,,,,,
1988-11-18,1492,0.67476383,,,,,
1988-11-21,1495,0.20107239,,,,,
1988-11-22,1503,0.53511706,,,,,
1988-11-23,1517,0.93147039,,,,,
1988-11-24,1517,0.0,,,,,
1988-11-25,1512,-0.32959789,,,,,
1988-11-28,1511,-0.06613757,,,,,
1988-11-29,1510,-0.06618134,,,,,
1988-11-30,1501,-0.59602649,,,,,
1988-12-01,1501,0.0,,,,,
1988-12-02,1490,-0.73284477,,,,,
1988-12-05,1488,-0.13422819,,,,,
1988-12-06,1487,-0.0672043,,,,,
1988-12-07,1485,-0.13449899,,,,,
1988-12-08,1486,0.06734007,,,,,
1988-12-09,1494,0.53835801,,,,,
1988-12-12,1514,1.33868809,,,,,
1988-12-13,1518,0.26420079,,,,,
1988-12-14,1522,0.26350461,,,,,
1988-12-15,1524,0.13140604,,,,,
1988-12-16,1518,-0.39370079,,,,,
1988-12-19,1517,-0.06587615,,,,,
1988-12-20,1518,0.06591958,,,,,
1988-12-21,1523,0.32938076,,,,,
1988-12-22,1523,0.0,,,,,
1988-12-23,1527,0.26263953,,,,,
1988-12-28,1529,0.13097577,,,,,
1988-12-29,1540,0.71942446,,,,,
1988-12-30,1543,0.19480519,,,,,
1989-01-03,1544,0.06480881,,,,,
1989-01-04,1553,0.58290155,,,,,
1989-01-05,1555,0.128783,,,,,
1989-01-06,1578,1.47909968,,,,,
1989-01-09,1589,0.69708492,,,,,
1989-01-10,1604,0.94398993,,,,,
1989-01-11,1620,0.99750623,,,,,
1989-01-12,1629,0.55555556,,,,,
1989-01-13,1635,0.36832413,,,,,
1989-01-16,1642,0.42813456,,,,,
1989-01-17,1643,0.06090134,,,,,
1989-01-18,1650,0.42604991,,,,,
1989-01-19,1648,-0.12121212,25.13287775,,,,
1989-01-20,1644,-0.24271845,24.92401216,,,,
1989-01-23,1646,0.1216545,23.94578313,,,,
1989-01-24,1645,-0.06075334,20.86700955,,,,
1989-01-25,1634,-0.66869301,19.88261189,,,,
1989-01-26,1633,-0.06119951,19.72140762,,,,
1989-01-27,1617,-0.97979179,18.11541271,,,,
1989-01-30,1619,0.12368584,18.08898614,,,,
1989-01-31,1619,0.0,17.91697014,,,,
1989-02-01,1608,-0.67943175,16.69085631,,,,
1989-02-02,1607,-0.06218905,15.61151079,,,,
1989-02-03,1584,-1.43123833,13.46704871,,,,
1989-02-06,1553,-1.95707071,11.08726753,,,,
1989-02-07,1542,-0.7083065,9.36170213,,,,
1989-02-08,1533,-0.58365759,8.33922261,,,,
1989-02-09,1526,-0.456621,7.46478873,,,,
1989-02-10,1523,-0.1965924,6.95224719,,,,
1989-02-13,1511,-0.78791858,5.36959554,,,,
1989-02-14,1506,-0.33090668,4.29362881,,,,
1989-02-15,1503,-0.19920319,3.37001376,,,,
1989-02-16,1499,-0.2661344,1.76510523,,,,
1989-02-17,1495,-0.26684456,0.87719298,,,,
1989-02-20,1502,0.46822742,0.67024129,,,,
1989-02-21,1506,0.26631158,0.73578595,,,,
1989-02-22,1512,0.39840637,0.5988024,,,,
1989-02-23,1513,0.06613757,-0.26367831,,,,
1989-02-24,1529,1.05750165,0.79103494,,,,
1989-02-27,1543,0.91563113,2.05026455,,,,
1989-02-28,1553,0.64808814,3.4643571,,,,
1989-03-01,1563,0.643915,4.13057961,,,,
1989-03-02,1577,0.89571337,5.83892617,,,,
1989-03-03,1588,0.69752695,6.57718121,,,,
1989-03-06,1593,0.31486146,7.12844654,,,,
1989-03-07,1597,0.25109856,7.54208754,,,,
1989-03-08,1608,0.68879148,8.20995962,,,,
1989-03-09,1615,0.43532338,8.09906292,,,,
1989-03-10,1623,0.49535604,8.63453815,,,,
