日期,最新值,涨跌幅,近3月涨跌幅,近6月涨跌幅,近1年涨跌幅,近2年涨跌幅,近3年涨跌幅
1998-12-31,732,,,,,,
1999-01-04,717,-2.04918033,,,,,
1999-01-05,709,-1.11576011,,,,,
1999-01-06,729,2.82087447,,,,,
1999-01-07,734,0.68587106,,,,,
1999-01-08,735,0.13623978,,,,,
1999-01-11,730,-0.68027211,,,,,
1999-01-12,729,-0.1369863,,,,,
1999-01-13,724,-0.68587106,,,,,
1999-01-14,728,0.55248619,,,,,
1999-01-15,734,0.82417582,,,,,
1999-01-18,735,0.13623978,,,,,
1999-01-19,739,0.54421769,,,,,
1999-01-20,758,2.57104195,,,,,
1999-01-21,806,6.33245383,,,,,
1999-01-22,829,2.85359801,,,,,
1999-01-25,838,1.08564536,,,,,
1999-01-26,836,-0.23866348,,,,,
1999-01-27,827,-1.07655502,,,,,
1999-01-28,816,-1.33010883,,,,,
1999-01-29,807,-1.10294118,,,,,
1999-02-01,790,-2.10656753,,,,,
1999-02-02,772,-2.27848101,,,,,
1999-02-03,761,-1.42487047,,,,,
1999-02-04,762,0.13140604,,,,,
1999-02-05,771,1.18110236,,,,,
1999-02-08,772,0.12970169,,,,,
1999-02-09,778,0.77720207,,,,,
1999-02-10,781,0.38560411,,,,,
1999-02-11,781,0.0,,,,,
1999-02-12,790,1.15236876,,,,,
1999-02-15,799,1.13924051,,,,,
1999-02-16,805,0.75093867,,,,,
1999-02-17,812,0.86956522,,,,,
1999-02-18,822,1.23152709,,,,,
1999-02-19,839,2.06812652,,,,,
1999-02-22,862,2.74135876,,,,,
1999-02-24,918,6.49651972,,,,,
1999-02-25,964,5.01089325,,,,,
1999-02-26,1006,4.35684647,,,,,
1999-03-01,1023,1.68986083,,,,,
1999-03-02,1022,-0.09775171,,,,,
1999-03-03,1013,-0.88062622,,,,,
1999-03-04,998,-1.48075025,,,,,
1999-03-05,983,-1.50300601,,,,,
1999-03-08,985,0.2034588,,,,,
1999-03-09,995,1.01522843,,,,,
1999-03-10,1005,1.00502513,,,,,
1999-03-11,1023,1.79104478,,,,,
1999-03-12,1050,2.63929619,,,,,
1999-03-15,1053,0.28571429,,,,,
1999-03-16,1052,-0.09496676,,,,,
1999-03-17,1043,-0.85551331,,,,,
1999-03-18,1029,-1.34228188,,,,,
1999-03-19,1020,-0.87463557,,,,,
1999-03-22,1006,-1.37254902,,,,,
1999-03-23,997,-0.89463221,,,,,
1999-03-24,963,-3.41023069,,,,,
1999-03-25,976,1.34994808,,,,,
1999-03-26,962,-1.43442623,,,,,
1999-03-29,949,-1.35135135,,,,,
1999-03-30,926,-2.42360379,,,,,
1999-03-31,905,-2.26781857,23.63387978,,,,
1999-04-01,890,-1.65745856,21.58469945,,,,
1999-04-06,877,-1.46067416,20.30178326,,,,
1999-04-07,867,-1.14025086,18.11989101,,,,
1999-04-08,854,-1.4994233,16.19047619,,,,
1999-04-09,856,0.23419204,16.46258503,,,,
1999-04-12,857,0.11682243,17.55829904,,,,
1999-04-13,858,0.11668611,18.50828729,,,,
1999-04-14,871,1.51515152,19.64285714,,,,
1999-04-15,885,1.60734788,20.57220708,,,,
1999-04-16,905,2.25988701,23.29700272,,,,
1999-04-19,905,0.0,22.46278755,,,,
1999-04-20,936,3.42541436,23.4828496,,,,
1999-04-21,962,2.77777778,19.35483871,,,,
1999-04-22,994,3.32640333,19.90349819,,,,
1999-04-23,1019,2.51509054,22.91917973,,,,
1999-04-26,1036,1.66830226,23.92344498,,,,
1999-04-27,1066,2.8957529,28.89963724,,,,
1999-04-28,1109,4.03377111,35.90686275,,,,
1999-04-29,1146,3.33633904,42.00743494,,,,
1999-04-30,1184,3.31588133,46.71623296,,,,
1999-05-04,1183,-0.08445946,55.24934383,,,,
1999-05-05,1176,-0.59171598,52.52918288,,,,
1999-05-06,1188,1.02040816,54.08560311,,,,
1999-05-07,1207,1.5993266,56.54993515,,,,
1999-05-10,1215,0.66280033,55.56978233,,,,
1999-05-11,1208,-0.57613169,54.67349552,,,,
1999-05-12,1193,-1.24172185,51.01265823,,,,
1999-05-13,1171,-1.84409053,48.2278481,,,,
1999-05-14,1149,-1.87873612,45.44303797,,,,
1999-05-17,1135,-1.21845083,39.77832512,,,,
1999-05-18,1120,-1.3215859,36.25304136,,,,
1999-05-19,1098,-1.96428571,30.87008343,,,,
1999-05-20,1079,-1.73041894,28.60548272,,,,
1999-05-21,1081,0.18535681,28.84386174,,,,
1999-05-24,1078,-0.27752081,17.4291939,,,,
1999-05-25,1074,-0.37105751,11.41078838,,,,
1999-05-26,1065,-0.83798883,5.86481113,,,,
