月份,募集资金,首发募集资金,增发募集资金,配股募集资金
2023-11,416.35,81.24,317.13,17.98
2023-12,439.66,110.33,329.33,
2024-01,497.9,116.16,381.74,
2024-02,44.83,18.0,26.83,
2024-03,306.71,53.24,253.47,
2024-04,182.98,9.31,173.67,
2024-05,84.48,21.49,62.99,
2024-06,109.7,38.76,70.93,
2024-07,185.47,42.12,143.35,
2024-08,104.06,45.85,58.21,
2024-09,53.19,39.66,13.53,
2024-10,107.17,37.35,69.83,
2024-11,190.44,52.66,137.79,
2024-12,402.88,79.51,323.37,
2025-01,847.32,41.09,806.23,
2025-02,78.43,34.5,43.93,
2025-03,1360.01,58.11,1301.91,
2025-04,219.92,56.44,163.48,
2025-05,221.0,88.37,132.63,
2025-06,5392.38,44.93,5347.45,
2025-07,510.08,219.44,290.63,
2025-08,193.42,13.56,179.86,
2025-09,1543.38,98.45,1444.93,
2025-10,508.3,137.84,370.46,
2025-11,590.68,187.2,403.48,
2025-12,515.34,169.18,346.16,
2026-01,1346.61,89.76,1256.85,
2026-02,434.71,23.64,411.07,
2026-03,707.82,110.96,596.86,
2026-04,579.27,123.98,455.29,
