时间,前值,现值,发布日期
2015年06月,-0.75,-0.75,2015-06-18
2015年09月,-0.75,-0.75,2015-09-17
2015年12月,-0.75,-0.75,2015-12-10
2016年03月,-0.75,-0.75,2016-03-17
2016年06月,-0.75,-0.75,2016-06-16
2016年09月,-0.75,-0.75,2016-09-15
2016年12月,-0.75,-0.75,2016-12-15
2017年03月,-0.75,-0.75,2017-03-16
2017年06月,-0.75,-0.75,2017-06-15
2017年09月,-0.75,-0.75,2017-09-14
2017年12月,-0.75,-0.75,2017-12-14
2018年03月,-0.75,-0.75,2018-03-15
2018年06月,-0.75,-0.75,2018-06-21
2018年09月,-0.75,-0.75,2018-09-20
2018年12月,-0.75,-0.75,2018-12-13
2019年03月,-0.75,-0.75,2019-03-21
2019年06月,-0.75,-0.75,2019-06-13
2019年09月,-0.75,-0.75,2019-09-19
2019年12月,-0.75,-0.75,2019-12-12
2020年03月,-0.75,-0.75,2020-03-19
2020年06月,-0.75,-0.75,2020-06-18
2020年09月,-0.75,-0.75,2020-09-24
2020年12月,-0.75,-0.75,2020-12-14
2021年03月,-0.75,-0.75,2021-03-25
2021年06月,-0.75,-0.75,2021-06-17
2021年09月,-0.75,-0.75,2021-09-23
2021年12月,-0.75,-0.75,2021-12-16
2022年03月,-0.75,-0.75,2022-03-24
2022年06月,-0.75,-0.25,2022-06-16
2022年09月,-0.25,0.5,2022-09-22
2022年12月,0.5,1.0,2022-12-15
2023年03月,1.0,1.5,2023-03-23
2023年06月,1.5,1.75,2023-06-22
2023年09月,1.75,1.75,2023-09-21
2023年12月,1.75,1.75,2023-12-14
2024年03月,1.75,1.5,2024-03-21
2024年06月,1.5,1.25,2024-06-20
2024年09月,1.25,1.0,2024-09-26
2024年12月,1.0,0.5,2024-12-12
2025年03月,0.5,0.25,2025-03-20
2025年06月,0.25,0.0,2025-06-19
2025年09月,0.0,0.0,2025-09-25
2025年12月,0.0,0.0,2025-12-11
2026年03月,0.0,0.0,2026-03-19
2026年06月,0.0,,2026-06-18
2015年03月,-0.25,-0.75,
2014年12月,0.0,-0.25,
2014年09月,0.0,0.0,
2014年06月,0.0,0.0,
2014年03月,0.0,0.0,
2013年12月,0.0,0.0,
2013年09月,0.0,0.0,
2013年06月,0.0,0.0,
2013年03月,0.0,0.0,
2012年12月,0.0,0.0,
2012年09月,0.0,0.0,
2012年06月,0.0,0.0,
2012年03月,0.0,0.0,
2011年12月,0.0,0.0,
2011年09月,0.25,0.0,
2011年06月,0.25,0.25,
2011年03月,0.25,0.25,
2010年12月,0.25,0.25,
2010年09月,0.25,0.25,
2010年06月,0.25,0.25,
2010年03月,0.25,0.25,
2009年12月,0.25,0.25,
2009年09月,0.25,0.25,
2009年06月,0.25,0.25,
2009年03月,0.5,0.25,
2008年12月,2.75,0.5,
2008年09月,2.75,2.75,
2008年06月,2.75,2.75,
2008年03月,,2.75,
