时间,前值,现值,发布日期
2013年03月,1.4,1.1,2013-05-30
2013年06月,1.1,2.5,2013-09-03
2013年09月,2.5,1.9,2013-11-28
2013年12月,1.9,1.7,2014-02-27
2014年03月,1.7,2.0,2014-05-28
2014年06月,2.0,0.6,2014-09-02
2014年09月,0.6,1.9,2014-12-03
2014年12月,1.9,1.9,2015-03-03
2015年03月,1.9,1.1,2015-05-29
2015年06月,1.1,1.2,2015-08-28
2015年09月,1.2,0.8,2015-12-01
2015年12月,0.8,0.4,2016-03-02
2016年03月,0.4,0.7,2016-06-01
2016年06月,0.7,2.0,2016-09-06
2016年09月,2.0,1.3,2016-12-02
2016年12月,1.3,0.6,2017-03-02
2017年03月,0.6,1.1,2017-06-01
2017年06月,1.1,0.3,2017-09-05
2017年09月,0.3,1.2,2017-11-30
2017年12月,1.2,1.9,2018-03-01
2018年03月,1.9,2.2,2018-05-31
2018年06月,2.2,3.4,2018-09-06
2018年09月,3.4,2.4,2018-11-29
2018年12月,2.4,1.4,2019-02-28
2019年03月,1.4,1.7,2019-05-28
2019年06月,1.7,0.2,2019-09-05
2019年09月,0.2,1.1,2019-11-28
2019年12月,1.1,1.5,2020-03-03
2020年03月,1.5,-1.3,2020-06-03
2020年06月,-1.3,-9.3,2020-08-27
2020年09月,-9.3,-1.6,2020-12-01
2020年12月,-1.6,-1.6,2021-02-26
2021年03月,-1.6,-0.5,2021-06-01
2021年06月,-0.5,7.7,2021-09-02
2021年09月,7.7,4.1,2021-11-26
2021年12月,4.1,3.7,2022-02-28
2022年03月,3.7,4.4,2022-05-31
2022年06月,4.4,2.8,2022-09-05
2022年09月,2.8,0.5,2022-11-29
2022年12月,0.5,0.8,2023-02-28
2023年03月,0.8,0.6,2023-05-30
2023年06月,0.6,0.5,2023-09-04
2023年09月,0.5,0.3,2023-12-01
2023年12月,0.3,0.6,2024-02-29
2024年03月,0.6,0.6,2024-05-30
2024年06月,0.6,1.8,2024-09-03
2024年09月,1.8,2.0,2024-11-29
2024年12月,2.0,1.5,2025-02-27
2025年03月,1.5,2.0,2025-06-02
2025年06月,2.0,1.2,2025-08-28
2025年09月,1.2,0.5,2025-11-28
2025年12月,0.5,0.7,2026-02-27
2026年03月,0.7,,2026-06-01
2012年12月,1.3,1.4,
2011年12月,3.1,1.3,
2010年12月,0.6,3.1,
2009年12月,-0.6,0.6,
2008年12月,3.6,-0.6,
2007年12月,,3.6,
