时间,前值,现值,发布日期
2015年06月,49.4,50.0,2015-07-01
2015年07月,50.0,48.7,2015-08-03
2015年08月,48.7,52.2,2015-09-01
2015年09月,52.2,49.5,2015-10-01
2015年10月,49.5,50.7,2015-11-02
2015年11月,50.7,49.7,2015-12-01
2015年12月,49.7,52.1,2016-01-04
2016年01月,52.1,50.0,2016-02-01
2016年02月,50.0,51.6,2016-03-01
2016年03月,51.6,53.2,2016-04-01
2016年04月,53.2,54.7,2016-05-02
2016年05月,54.7,55.8,2016-06-01
2016年06月,55.8,51.6,2016-07-01
2016年07月,51.6,50.1,2016-08-02
2016年08月,50.1,51.0,2016-09-01
2016年09月,51.0,53.2,2016-10-03
2016年10月,53.2,54.7,2016-11-01
2016年11月,54.7,56.6,2016-12-01
2016年12月,56.6,56.0,2017-01-03
2017年01月,56.0,54.6,2017-02-01
2017年02月,54.6,57.8,2017-03-01
2017年03月,57.8,58.6,2017-04-03
2017年04月,58.6,57.4,2017-05-02
2017年05月,57.4,55.6,2017-06-01
2017年06月,55.6,60.1,2017-07-03
2017年07月,60.1,60.9,2017-08-02
2017年08月,60.9,61.2,2017-09-01
2017年09月,61.2,61.7,2017-10-02
2017年10月,61.7,62.0,2017-11-01
2017年11月,62.0,65.1,2017-12-01
2017年12月,65.1,65.2,2018-01-03
2018年01月,65.2,65.3,2018-02-01
2018年02月,65.3,65.5,2018-03-01
2018年03月,65.5,60.3,2018-04-03
2018年04月,60.3,63.6,2018-05-01
2018年05月,63.6,62.4,2018-06-01
2018年06月,62.4,61.6,2018-07-02
2018年07月,61.6,61.9,2018-08-02
2018年08月,61.9,64.8,2018-09-03
2018年09月,64.8,59.7,2018-10-01
2018年10月,59.7,57.4,2018-11-01
2018年11月,57.4,57.7,2018-12-03
2018年12月,57.7,57.8,2019-01-02
2019年01月,57.8,54.3,2019-02-01
2019年02月,54.3,55.4,2019-03-01
2019年03月,55.4,50.3,2019-04-01
2019年04月,50.3,48.5,2019-05-02
2019年05月,48.5,48.6,2019-06-03
2019年06月,48.6,47.7,2019-07-02
2019年07月,47.7,44.7,2019-08-01
2019年08月,44.7,47.2,2019-09-02
2019年09月,47.2,44.6,2019-10-01
2019年10月,44.6,49.4,2019-11-01
2019年11月,49.4,48.8,2019-12-02
2019年12月,48.8,50.2,2020-01-03
2020年01月,50.2,47.8,2020-02-03
2020年02月,47.8,49.5,2020-03-02
2020年03月,49.5,43.7,2020-04-01
2020年04月,43.7,40.7,2020-05-01
2020年05月,40.7,42.1,2020-06-02
2020年06月,42.1,41.9,2020-07-01
2020年07月,41.9,49.2,2020-08-03
2020年08月,49.2,51.8,2020-09-01
2020年09月,51.8,53.1,2020-10-01
2020年10月,53.1,52.3,2020-11-02
2020年11月,52.3,55.2,2020-12-01
2020年12月,55.2,58.0,2021-01-04
2021年01月,58.0,59.4,2021-02-01
2021年02月,59.4,61.3,2021-03-01
2021年03月,61.3,66.3,2021-04-01
2021年04月,66.3,69.5,2021-05-03
2021年05月,69.5,69.9,2021-06-02
2021年06月,69.9,66.7,2021-07-01
2021年07月,66.7,71.1,2021-08-02
2021年08月,71.1,67.7,2021-09-01
2021年09月,67.7,68.1,2021-10-01
2021年10月,68.1,65.4,2021-11-01
2021年11月,65.4,62.5,2021-12-01
2021年12月,62.5,62.7,2022-01-03
2022年01月,62.7,63.8,2022-02-01
2022年02月,63.8,62.6,2022-03-01
2022年03月,62.6,64.0,2022-04-01
2022年04月,64.0,62.5,2022-05-02
2011年04月,59.3,58.4,2022-05-10
2008年05月,56.7,55.7,2022-05-10
2008年06月,55.7,54.9,2022-05-10
2022年05月,62.5,60.0,2022-06-01
2022年06月,60.0,59.1,2022-07-01
2022年07月,59.1,58.0,2022-08-02
2022年08月,58.0,56.4,2022-09-01
2022年09月,56.4,57.1,2022-10-03
2022年10月,57.1,54.9,2022-11-01
2022年11月,54.9,53.9,2022-12-01
2022年12月,53.9,54.1,2023-01-03
2023年01月,54.1,49.3,2023-02-01
2023年02月,49.3,48.9,2023-03-01
2023年03月,48.9,47.0,2023-04-03
2023年04月,47.0,45.3,2023-05-02
2023年05月,45.3,43.2,2023-06-01
2023年06月,43.2,44.9,2023-07-03
