时间,前值,现值,发布日期
2015第2季度,25.0,35.8,2015-07-21
2015第3季度,35.8,30.5,2015-10-20
2015第4季度,30.5,25.4,2016-01-26
2016第1季度,25.4,21.63,2016-04-21
2016第2季度,21.63,35.46,2016-07-21
2016第3季度,35.46,43.74,2016-10-20
2016第4季度,43.74,27.16,2017-01-26
2017第1季度,27.16,31.01,2017-04-27
2017第2季度,31.01,28.13,2017-07-20
2017第3季度,28.13,29.2,2017-10-19
2017第4季度,29.2,26.32,2018-01-30
2018第1季度,26.32,17.68,2018-04-24
2018第2季度,17.68,26.0,2018-07-19
2018第3季度,26.0,24.34,2018-10-18
2018第4季度,24.34,18.97,2019-01-29
2019第1季度,18.97,31.79,2019-04-18
2019第2季度,31.79,40.96,2019-07-18
2019第3季度,40.96,40.2,2019-10-17
2019第4季度,40.2,19.64,2020-01-28
2020第1季度,19.64,40.2,2020-04-21
2020第2季度,40.2,32.16,2020-07-21
2020第3季度,32.16,32.79,2020-10-20
2020第4季度,32.79,28.81,2021-01-28
2021第1季度,28.81,58.16,2021-04-22
2021第2季度,58.16,55.3,2021-07-20
2021第3季度,55.3,50.52,2021-10-19
2021第4季度,50.52,36.93,2022-01-27
2022第1季度,36.93,29.88,2022-04-26
2022第2季度,29.88,38.03,2022-07-19
2022第3季度,38.03,40.03,2022-10-20
2022第4季度,40.03,28.27,2023-01-24
2023第1季度,28.27,45.32,2023-04-25
2023第2季度,45.32,48.23,2023-07-20
2023第3季度,48.23,63.16,2023-10-19
2023第4季度,63.16,12.48,2024-01-30
2024第1季度,12.48,35.42,2024-04-18
2024第2季度,35.42,61.8,2024-07-18
2024第3季度,61.8,49.46,2024-10-17
2024第4季度,49.46,34.94,2025-01-30
2025第1季度,34.94,63.5,2025-04-17
2025第2季度,63.5,57.9,2025-07-17
2025第3季度,57.9,40.73,2025-10-21
2025第4季度,40.73,30.36,2026-01-29
2026第1季度,30.36,31.77,2026-04-21
2015第1季度,15.0,25.0,
2014第4季度,24.5,15.0,
2014第3季度,14.0,24.5,
2014第2季度,21.0,14.0,
2014第1季度,5.0,21.0,
2013第4季度,25.0,5.0,
2013第3季度,27.0,25.0,
2013第2季度,19.0,27.0,
2013第1季度,10.0,19.0,
2012第4季度,20.1,10.0,
2012第3季度,22.0,20.1,
2012第2季度,17.0,22.0,
2012第1季度,20.0,17.0,
2011第4季度,19.0,20.0,
2011第3季度,17.0,19.0,
2011第2季度,11.0,17.0,
2011第1季度,12.6,11.0,
2010第4季度,17.0,12.6,
2010第3季度,18.0,17.0,
2010第2季度,20.0,18.0,
2010第1季度,14.0,20.0,
2009第4季度,19.2,14.0,
2009第3季度,15.7,19.2,
2009第2季度,1.21,15.7,
2009第1季度,2.2,1.21,
2008第4季度,14.4,2.2,
2008第3季度,24.128,14.4,
2008第2季度,12.5,24.128,
2008第1季度,1.98,12.5,
2007第4季度,,1.98,
