时间,前值,现值,发布日期
2008第1季度,0.6,0.4,2008-06-29
2008第2季度,0.4,0.2,2008-09-29
2008第4季度,0.2,-1.5,2009-03-31
2009第1季度,-1.5,-1.9,2009-06-29
2009第2季度,-1.9,-0.8,2009-09-29
2009第3季度,-0.8,0.4,2009-12-30
2009第4季度,0.4,1.6,2010-03-31
2010第1季度,1.6,0.5,2010-06-29
2010第2季度,0.5,0.7,2010-09-29
2010第3季度,0.7,1.9,2010-12-30
2010第4季度,1.9,-0.1,2011-03-31
2011第1季度,-0.1,0.5,2011-06-29
2011第2季度,0.5,0.2,2011-09-29
2011第3季度,0.2,0.7,2011-12-30
2012第1季度,0.7,0.2,2012-06-29
2012第2季度,0.2,-0.2,2012-09-29
2012第3季度,-0.2,1.0,2012-12-30
2012第4季度,1.0,-0.2,2013-03-31
2013第1季度,-0.2,0.6,2013-06-29
2013第2季度,0.6,0.5,2013-09-29
2013第3季度,0.5,0.8,2013-12-30
2013第4季度,0.8,0.5,2014-03-31
2014第1季度,0.5,0.9,2014-06-29
2014第2季度,0.9,0.9,2014-09-29
2014第3季度,0.9,0.8,2014-12-30
2014第4季度,0.8,0.7,2015-03-31
2015第1季度,0.7,0.4,2015-06-30
2015第2季度,0.4,0.6,2015-09-30
2015第3季度,0.6,0.4,2015-12-23
2015第4季度,0.4,0.7,2016-03-31
2016第1季度,0.7,0.2,2016-06-30
2016第2季度,0.2,0.5,2016-09-30
2016第3季度,0.5,0.5,2016-12-23
2016第4季度,0.5,0.6,2017-03-31
2017第1季度,0.6,0.5,2017-06-30
2017第2季度,0.5,0.3,2017-09-29
2017第3季度,0.3,0.4,2017-12-22
2017第4季度,0.4,0.4,2018-03-29
2018第1季度,0.4,0.1,2018-06-29
2018第2季度,0.1,0.4,2018-09-28
2018第3季度,0.4,0.6,2018-12-28
2018第4季度,0.6,0.2,2019-03-29
2019第1季度,0.2,0.6,2019-06-28
2019第2季度,0.6,0.1,2019-08-09
2019第3季度,0.1,0.5,2019-12-20
2019第4季度,0.5,,2020-03-31
2020第1季度,,-2.6,2020-06-30
2020第2季度,-2.6,-21.0,2020-09-30
2020第3季度,-21.0,16.6,2020-12-22
2020第4季度,16.6,1.2,2021-03-31
2021第1季度,1.2,-1.0,2021-06-30
2021第2季度,-1.0,7.3,2021-09-30
2021第3季度,7.3,1.7,2021-12-22
2021第4季度,1.7,1.5,2022-03-31
2022第1季度,1.5,1.0,2022-06-30
2022第2季度,1.0,0.6,2022-09-30
2022第3季度,0.6,0.1,2022-12-22
2022第4季度,0.1,0.3,2023-03-31
2023第1季度,0.3,3.0,2023-06-30
2023第2季度,3.0,-0.7,2023-09-29
2023第3季度,-0.7,0.0,2023-12-22
2023第4季度,0.0,-0.4,2024-03-28
2024第1季度,-0.4,2.5,2024-06-28
2024第2季度,2.5,1.6,2024-09-30
2024第3季度,1.6,1.7,2024-12-23
2024第4季度,1.7,1.3,2025-03-28
2025第1季度,1.3,1.0,2025-06-30
2025第2季度,1.0,1.6,2025-09-30
2025第3季度,1.6,0.8,2025-12-22
2025第4季度,0.8,0.6,2026-03-31
