时间,前值,现值,发布日期
2008年01月,5.2,4.5,2008-02-07
2008年02月,4.5,4.2,2008-03-09
2008年03月,4.2,1.1,2008-04-07
2008年04月,1.1,-0.9,2008-05-08
2008年05月,-0.9,-3.8,2008-06-07
2008年06月,-3.8,-6.1,2008-07-08
2008年07月,-6.1,-8.8,2008-08-07
2008年08月,-8.8,-10.9,2008-09-07
2008年09月,-10.9,-12.4,2008-10-08
2008年10月,-12.4,-13.7,2008-11-07
2008年11月,-13.7,-14.9,2008-12-08
2008年12月,-14.9,-16.2,2009-01-07
2009年01月,-16.2,-17.2,2009-02-07
2009年02月,-17.2,-17.7,2009-03-10
2009年03月,-17.7,-17.5,2009-04-07
2009年04月,-17.5,-17.7,2009-05-08
2009年05月,-17.7,-16.3,2009-06-07
2009年06月,-16.3,-15.0,2009-07-08
2009年07月,-15.0,-12.1,2009-08-07
2009年08月,-12.1,-10.1,2009-09-07
2009年09月,-10.1,-7.4,2009-10-08
2009年10月,-7.4,-4.7,2009-11-07
2009年11月,-4.7,-1.6,2009-12-08
2009年12月,-1.6,1.1,2010-01-07
2010年01月,1.1,3.6,2010-02-07
2010年02月,3.6,4.5,2010-03-10
2010年03月,4.5,5.2,2010-04-07
2010年04月,5.2,6.6,2010-05-08
2010年05月,6.6,6.9,2010-06-07
2010年06月,6.9,6.3,2010-07-08
2010年07月,6.3,4.9,2010-08-07
2010年08月,4.9,4.6,2010-09-07
2010年09月,4.6,2.6,2010-10-08
2010年10月,2.6,1.2,2010-11-07
2010年11月,1.2,-0.7,2010-12-08
2010年12月,-0.7,-1.6,2011-01-07
2011年01月,-1.6,-2.4,2011-02-07
2011年02月,-2.4,-2.8,2011-03-10
2011年03月,-2.8,-2.9,2011-04-07
2011年04月,-2.9,-3.7,2011-05-08
2011年05月,-3.7,-4.2,2011-06-07
2011年06月,-4.2,-3.5,2011-07-08
2011年07月,-3.5,-2.6,2011-08-07
2011年08月,-2.6,-2.6,2011-09-07
2011年09月,-2.6,-2.3,2011-10-08
2011年10月,-2.3,-1.8,2011-11-07
2011年11月,-1.8,-1.0,2011-12-08
2011年12月,-1.0,-1.3,2012-01-07
2012年01月,-1.3,-1.8,2012-02-07
2012年02月,-1.8,-1.9,2012-03-09
2012年03月,-1.9,-0.6,2012-04-07
2012年04月,-0.6,-0.5,2012-05-08
2012年05月,-0.5,-0.06666667,2012-06-07
2012年06月,-0.06666667,-0.5,2012-07-08
2012年07月,-0.5,-0.6,2012-08-07
2012年08月,-0.6,-0.9,2012-09-07
2012年09月,-0.9,-1.2,2012-10-08
2012年10月,-1.2,-1.7,2012-11-07
2012年11月,-1.7,-1.2554464,2012-12-08
2012年12月,-1.2554464,-0.28928876,2013-01-07
2013年01月,-0.28928876,1.27433454,2013-02-07
2013年02月,1.27433454,1.88296934,2013-03-10
2013年03月,1.88296934,1.07677057,2013-04-07
2013年04月,1.07677057,1.96627077,2013-05-08
2013年05月,1.96627077,2.55882344,2013-06-07
2013年06月,2.55882344,3.7,2013-07-08
2013年07月,3.7,4.58963661,2013-08-07
2013年08月,4.58963661,5.40345467,2013-09-07
2013年09月,5.40345467,6.21579664,2013-10-08
2013年10月,6.21579664,6.89136481,2013-11-07
2013年11月,6.89136481,7.65852848,2013-12-08
2013年12月,7.65852848,7.5,2014-01-07
2014年01月,7.5,7.3,2014-02-07
2014年02月,7.3,7.9,2014-03-10
2014年03月,7.9,8.7,2014-04-07
2014年04月,8.7,8.5,2014-05-08
2014年05月,8.5,8.7,2014-06-07
2014年06月,8.7,8.8,2014-07-08
2014年07月,8.8,10.2,2014-08-07
2014年08月,10.2,9.7,2014-09-07
2014年09月,9.7,9.6,2014-10-08
2014年10月,9.6,8.8,2014-11-07
2014年11月,8.8,8.1,2014-12-08
2014年12月,8.1,7.8,2015-01-07
2015年01月,7.8,8.5,2015-02-07
2015年02月,8.5,8.3,2015-03-10
2015年03月,8.3,8.1,2015-04-07
2015年04月,8.1,8.5,2015-05-08
2015年05月,8.5,8.6,2015-06-07
2015年06月,8.6,9.6,2015-07-08
2015年07月,9.6,7.8,2015-08-06
2015年08月,7.8,9.0,2015-09-10
2015年09月,9.0,8.6,2015-10-06
2015年10月,8.6,9.7,2015-11-05
2015年11月,9.7,9.0,2015-12-08
2015年12月,9.0,9.5,2016-01-07
2016年01月,9.5,9.7,2016-02-04
2016年02月,9.7,9.7,2016-03-03
2016年03月,9.7,10.1,2016-04-07
2016年04月,10.1,9.2,2016-05-09
