时间,前值,现值,发布日期
2008年01月,,-0.8,2008-01-20
2008年02月,-0.8,3.2,2008-02-20
2008年03月,3.2,0.8,2008-03-20
2008年04月,0.8,-0.1,2008-04-20
2008年05月,-0.1,1.2,2008-05-20
2008年06月,1.2,-1.2,2008-06-20
2008年07月,-1.2,-1.8,2008-07-20
2008年08月,-1.8,-2.3,2008-08-20
2008年09月,-2.3,-1.0,2008-09-20
2008年10月,-1.0,1.0,2008-10-20
2008年11月,1.0,-2.9,2008-11-20
2008年12月,-2.9,-2.3,2008-12-20
2009年01月,-2.3,-1.9,2009-01-20
2009年02月,-1.9,1.2,2009-02-20
2009年03月,1.2,0.9,2009-03-20
2009年04月,0.9,1.8,2009-04-20
2009年05月,1.8,2.4,2009-05-20
2009年06月,2.4,-0.4,2009-06-20
2011年01月,-0.4,0.3,2011-01-20
2011年02月,0.3,3.1,2011-02-20
2011年03月,3.1,0.8,2011-03-20
2011年04月,0.8,1.7,2011-04-20
2011年05月,1.7,1.3,2011-05-20
2011年06月,1.3,0.6,2011-06-20
2011年07月,0.6,-1.6,2011-07-20
2011年09月,-1.6,0.7,2011-09-20
2011年10月,0.7,2.8,2011-10-20
2011年11月,2.8,-3.1,2011-11-20
2011年12月,-3.1,-2.7,2011-12-20
2012年01月,-2.7,-0.8,2012-01-20
2012年02月,-0.8,4.1,2012-02-20
2012年04月,4.1,2.9,2012-04-20
2012年05月,2.9,0.0,2012-05-20
2012年06月,0.0,1.0,2012-06-20
2012年08月,1.0,-2.4,2012-08-20
2012年09月,-2.4,-0.6,2012-09-20
2012年10月,-0.6,3.5,2012-10-20
2012年11月,3.5,-2.6,2012-11-20
2012年12月,-2.6,-3.3,2012-12-20
2013年01月,-3.3,0.2,2013-01-20
2013年02月,0.2,2.8,2013-02-20
2013年03月,2.8,1.7,2013-03-20
2013年04月,1.7,2.1,2013-04-20
2013年05月,2.1,2.1,2013-05-20
2013年06月,2.1,1.2,2013-06-20
2013年07月,1.2,0.3,2013-07-20
2013年08月,0.3,-1.8,2013-08-20
2013年09月,-1.8,-1.5,2013-09-20
2013年10月,-1.5,2.8,2013-10-20
2013年11月,2.8,-2.4,2013-11-20
2013年12月,-2.4,-1.9,2013-12-20
2014年01月,-1.9,1.0,2014-01-20
2014年02月,1.0,3.3,2014-02-20
2014年03月,3.3,1.6,2014-03-20
2014年04月,1.6,2.6,2014-04-20
2014年05月,2.6,3.6,2014-05-20
2014年06月,3.6,0.1,2014-06-20
2014年07月,0.1,-0.8,2014-07-20
2014年08月,-0.8,-2.9,2014-08-20
2014年09月,-2.9,0.9,2014-09-20
2014年10月,0.9,2.6,2014-10-20
2014年11月,2.6,2.6,2014-11-20
2014年12月,2.6,-3.3,2014-12-20
2015年01月,-3.3,1.4,2015-01-20
2015年02月,1.4,2.1,2015-02-20
2015年03月,2.1,1.0,2015-03-20
2015年04月,1.0,1.6,2015-04-20
2015年05月,1.6,-0.1,2015-05-18
2015年06月,-0.1,3.0,2015-06-15
2015年07月,3.0,0.1,2015-07-21
2015年08月,0.1,-0.8,2015-08-17
2015年09月,-0.8,0.9,2015-09-21
2015年10月,0.9,0.6,2015-10-19
2015年11月,0.6,0.6,2015-11-20
2015年12月,0.6,-1.1,2015-12-18
2016年01月,-1.1,0.5,2016-01-20
2016年02月,0.5,2.9,2016-03-01
2016年03月,2.9,1.3,2016-03-22
2016年04月,1.3,1.3,2016-04-18
2016年05月,1.3,0.4,2016-05-17
2016年06月,0.4,0.8,2016-06-21
2016年07月,0.8,-0.9,2016-07-18
2016年08月,-0.9,-1.2,2016-08-15
2016年09月,-1.2,0.7,2016-09-19
2016年10月,0.7,0.9,2016-10-17
2016年11月,0.9,-1.1,2016-11-20
2016年12月,-1.1,-2.1,2016-12-20
2017年01月,-2.1,0.4,2017-01-16
2017年02月,0.4,2.0,2017-02-20
2017年03月,2.0,1.3,2017-03-20
2017年04月,1.3,1.1,2017-04-20
2017年05月,1.1,1.2,2017-05-20
2017年06月,1.2,-0.4,2017-06-20
2017年07月,-0.4,0.1,2017-07-20
2017年08月,0.1,-0.9,2017-08-21
2017年09月,-0.9,-1.2,2017-09-19
2017年10月,-1.2,1.1,2017-10-17
2017年11月,1.1,-0.8,2017-11-20
2017年12月,-0.8,-2.6,2017-12-15
2018年01月,-2.6,0.7,2018-01-23
