时间,前值,现值,发布日期
2008年01月,-3157,-3750.0,2008-03-11
2008年02月,-3750,-3749.0,2008-04-11
2008年03月,-3749,-3194.0,2008-05-10
2008年04月,-3194,-3182.0,2008-06-10
2008年05月,-3182,-2696.0,2008-07-10
2008年06月,-2696,-3270.0,2008-08-10
2008年07月,-3270,-3131.0,2008-09-09
2008年08月,-3131,-2990.0,2008-10-10
2008年09月,-2990,-2307.0,2008-11-10
2008年10月,-2307,-2062.0,2008-12-10
2008年11月,-2062,-1875.0,2009-01-10
2008年12月,-1875,-848.0,2009-02-09
2009年01月,-848,-2068.0,2009-03-12
2009年02月,-2068,-1711.0,2009-04-12
2009年03月,-1711,-2331.0,2009-05-10
2009年04月,-2331,-2689.0,2009-06-10
2009年05月,-2689,-1547.0,2009-07-10
2009年06月,-1547,-2030.0,2009-08-10
2009年07月,-2030,-1390.0,2009-09-09
2009年08月,-1390,-1046.0,2009-10-10
2009年09月,-1046,-1483.0,2009-11-10
2009年10月,-1483,-1662.0,2009-12-10
2009年11月,-1662,-1248.0,2010-01-10
2009年12月,-1248,-1397.0,2010-02-09
2010年01月,-1397,-2831.0,2010-03-12
2010年02月,-2831,-1317.0,2010-04-12
2010年03月,-1317,-3314.0,2010-05-10
2010年04月,-3314,-2476.0,2010-06-10
2010年05月,-2476,-2413.0,2010-07-10
2010年06月,-2413,-2043.0,2010-08-10
2010年07月,-2043,-3267.0,2010-09-09
2010年08月,-3267,-3086.0,2010-10-10
2010年09月,-3086,-2807.0,2010-11-10
2010年10月,-2807,-2516.0,2010-12-10
2010年11月,-2516,-2557.0,2011-01-10
2010年12月,-2557,-2875.0,2011-02-09
2011年01月,-2875,-1402.0,2011-03-12
2011年02月,-1402,-752.0,2011-04-12
2011年03月,-752,-1780.0,2011-05-10
2011年04月,-1780,-1284.0,2011-06-10
2011年05月,-1284,-2665.0,2011-07-10
2011年06月,-2665,-2468.0,2011-08-10
2011年07月,-2468,-2667.0,2011-09-09
2011年08月,-2667,-1973.0,2011-10-10
2011年09月,-1973,-3376.0,2011-11-10
2011年10月,-3376,-1447.0,2011-12-10
2011年11月,-1447,-2828.0,2012-01-10
2011年12月,-2828,-1505.0,2012-02-09
2012年01月,-1505,-2096.0,2012-03-11
2012年02月,-2096,-2856.0,2012-04-11
2012年03月,-2856,-2937.0,2012-05-10
2012年04月,-2937,-4612.0,2012-06-10
2012年05月,-4612,-2372.0,2012-07-10
2012年06月,-2372,-3565.0,2012-08-10
2012年07月,-3565,-1286.0,2012-09-09
2012年08月,-1286,-4399.0,2012-10-10
2012年09月,-4399,-2403.0,2012-11-10
2012年10月,-2403,-3351.0,2012-12-10
2012年11月,-3351,-3260.0,2013-01-10
2012年12月,-3260,-2316.0,2013-02-09
2013年01月,-2316,-1518.0,2013-03-12
2013年02月,-1518,-2354.0,2013-04-12
2013年03月,-2354,-2276.0,2013-05-10
2013年04月,-2276,-2073.0,2013-06-10
2013年05月,-2073,-2435.0,2013-07-10
2013年06月,-2435,-1548.0,2013-08-10
2013年07月,-1548,-3085.0,2013-09-09
2013年08月,-3085,-3320.0,2013-10-10
2013年09月,-3320,-3268.0,2013-11-10
2013年10月,-3268,-2619.0,2013-12-10
2013年11月,-2619,-3238.0,2014-01-10
2013年12月,-3238,-1026.0,2014-02-09
2014年01月,-1026,-2565.0,2014-03-12
2014年02月,-2565,-2058.0,2014-04-12
2014年03月,-2058,-1284.0,2014-05-10
2014年04月,-1284,-2543.0,2014-06-10
2014年05月,-2543,-2418.0,2014-07-10
2014年06月,-2418,-2459.0,2014-08-10
2014年07月,-2459,-3348.0,2014-09-09
2014年08月,-3348,-1917.0,2014-10-10
2014年09月,-1917,-2753.0,2014-11-10
2014年10月,-2753,-2391.0,2014-12-10
2014年11月,-2391,-1561.0,2015-01-10
2014年12月,-1561,-2107.0,2015-02-09
2015年01月,-2107,-1230.0,2015-03-12
2015年02月,-1230,-3097.0,2015-04-12
2015年03月,-3097,-3150.0,2015-05-10
2015年04月,-3150,-1991.0,2015-06-10
2015年05月,-1991,-769.0,2015-07-10
2015年06月,-769,-2019.0,2015-08-07
2015年07月,-2019,-3590.0,2015-09-09
2015年08月,-3590,-2758.0,2015-10-09
2015年09月,-2758,-2130.0,2015-11-06
2015年10月,-2130,-3921.0,2015-12-10
2015年11月,-3921,-1569.0,2016-01-08
2015年12月,-1569,-373.0,2016-02-09
2016年01月,-373,-1454.0,2016-03-11
2016年02月,-1454,-3434.0,2016-04-08
2016年03月,-3434,-4652.0,2016-05-10
2016年04月,-4652,-3407.0,2016-06-09
