商品,日期,今值,预测值,前值
美国营建许可总数报告,2008-02-20,105.0,105.0,107.0
美国营建许可总数报告,2008-03-18,98.0,105.0,106.0
美国营建许可总数报告,2008-04-16,93.0,97.0,98.0
美国营建许可总数报告,2008-05-16,98.0,92.0,93.0
美国营建许可总数报告,2008-06-17,97.0,96.0,98.0
美国营建许可总数报告,2008-07-17,109.0,96.0,98.0
美国营建许可总数报告,2008-08-19,94.0,98.0,114.0
美国营建许可总数报告,2008-09-17,85.0,93.0,94.0
美国营建许可总数报告,2008-10-17,79.0,84.0,86.0
美国营建许可总数报告,2008-11-19,71.0,77.0,81.0
美国营建许可总数报告,2008-12-16,62.0,70.0,73.0
美国营建许可总数报告,2009-01-22,55.0,60.0,62.0
美国营建许可总数报告,2009-02-18,52.0,52.0,55.0
美国营建许可总数报告,2009-03-17,55.0,51.0,53.0
美国营建许可总数报告,2009-04-16,51.0,55.0,56.0
美国营建许可总数报告,2009-05-19,49.0,52.0,51.0
美国营建许可总数报告,2009-06-16,52.0,50.0,50.0
美国营建许可总数报告,2009-07-17,56.0,52.0,52.0
美国营建许可总数报告,2009-08-18,56.0,58.0,57.0
美国营建许可总数报告,2009-09-17,58.0,58.0,56.0
美国营建许可总数报告,2009-10-20,57.0,59.0,58.0
美国营建许可总数报告,2009-11-18,55.0,58.0,57.0
美国营建许可总数报告,2009-12-16,58.0,57.0,55.0
美国营建许可总数报告,2010-01-20,65.0,59.0,59.0
美国营建许可总数报告,2010-02-17,62.0,62.0,65.0
美国营建许可总数报告,2010-03-16,61.0,60.0,62.0
美国营建许可总数报告,2010-04-16,69.0,63.0,64.0
美国营建许可总数报告,2010-05-18,61.0,68.0,69.0
美国营建许可总数报告,2010-06-16,57.0,63.0,61.0
美国营建许可总数报告,2010-07-20,59.0,57.0,57.0
美国营建许可总数报告,2010-08-17,57.0,57.0,58.0
美国营建许可总数报告,2010-09-21,57.0,56.0,56.0
