商品,日期,今值,预测值,前值
美国商业库存月率报告,1992-03-01,0.2,,
美国商业库存月率报告,1992-04-01,0.4,,0.2
美国商业库存月率报告,1992-05-01,0.3,,0.4
美国商业库存月率报告,1992-06-01,-0.1,,0.3
美国商业库存月率报告,1992-07-01,0.7,,-0.1
美国商业库存月率报告,1992-08-01,0.6,,0.7
美国商业库存月率报告,1992-09-01,0.1,,0.6
美国商业库存月率报告,1992-10-01,0.2,,0.1
美国商业库存月率报告,1992-11-01,0.1,,0.2
美国商业库存月率报告,1992-12-01,0.2,,0.1
美国商业库存月率报告,1993-01-01,0.7,,0.2
美国商业库存月率报告,1993-02-01,0.0,,0.7
美国商业库存月率报告,1993-03-01,0.3,,0.0
美国商业库存月率报告,1993-04-01,0.8,,0.3
美国商业库存月率报告,1993-05-01,0.2,,0.8
美国商业库存月率报告,1993-06-01,0.1,,0.2
美国商业库存月率报告,1993-07-01,0.2,,0.1
美国商业库存月率报告,1993-08-01,0.0,,0.2
美国商业库存月率报告,1993-09-01,0.2,,0.0
美国商业库存月率报告,1993-10-01,0.5,,0.2
美国商业库存月率报告,1993-11-01,0.0,,0.5
美国商业库存月率报告,1993-12-01,0.4,,0.0
美国商业库存月率报告,1994-01-01,0.5,,0.4
美国商业库存月率报告,1994-02-01,0.0,,0.5
美国商业库存月率报告,1994-03-01,0.5,,0.0
美国商业库存月率报告,1994-04-01,0.1,,0.5
美国商业库存月率报告,1994-05-01,0.4,,0.1
美国商业库存月率报告,1994-06-01,1.3,,0.4
美国商业库存月率报告,1994-07-01,0.6,,1.3
美国商业库存月率报告,1994-08-01,0.6,,0.6
美国商业库存月率报告,1994-09-01,0.9,,0.6
美国商业库存月率报告,1994-10-01,0.7,,0.9
美国商业库存月率报告,1994-11-01,0.6,,0.7
美国商业库存月率报告,1994-12-01,0.7,,0.6
美国商业库存月率报告,1995-01-01,0.8,,0.7
美国商业库存月率报告,1995-02-01,1.0,,0.8
美国商业库存月率报告,1995-03-01,0.8,,1.0
美国商业库存月率报告,1995-04-01,0.9,,0.8
美国商业库存月率报告,1995-05-01,0.8,,0.9
美国商业库存月率报告,1995-06-01,0.7,,0.8
美国商业库存月率报告,1995-07-01,0.4,,0.7
美国商业库存月率报告,1995-08-01,0.3,,0.4
美国商业库存月率报告,1995-09-01,0.3,,0.3
美国商业库存月率报告,1995-10-01,0.4,,0.3
美国商业库存月率报告,1995-11-01,0.4,,0.4
美国商业库存月率报告,1995-12-01,0.3,,0.4
美国商业库存月率报告,1996-01-01,-0.1,,0.3
美国商业库存月率报告,1996-02-01,0.5,,-0.1
美国商业库存月率报告,1996-03-01,0.1,,0.5
美国商业库存月率报告,1996-04-01,-0.2,,0.1
美国商业库存月率报告,1996-05-01,0.3,,-0.2
美国商业库存月率报告,1996-06-01,0.2,,0.3
美国商业库存月率报告,1996-07-01,-0.1,,0.2
美国商业库存月率报告,1996-08-01,0.4,,-0.1
美国商业库存月率报告,1996-09-01,0.2,,0.4
美国商业库存月率报告,1996-10-01,0.1,,0.2
美国商业库存月率报告,1996-11-01,0.4,,0.1
美国商业库存月率报告,1996-12-01,0.0,,0.4
美国商业库存月率报告,1997-01-01,0.0,,0.0
美国商业库存月率报告,1997-02-01,0.3,,0.0
美国商业库存月率报告,1997-03-01,0.3,,0.3
美国商业库存月率报告,1997-04-01,0.0,,0.3
美国商业库存月率报告,1997-05-01,0.4,,0.0
美国商业库存月率报告,1997-06-01,0.4,,0.4
美国商业库存月率报告,1997-07-01,0.6,,0.4
美国商业库存月率报告,1997-08-01,0.2,,0.6
美国商业库存月率报告,1997-09-01,0.1,,0.2
美国商业库存月率报告,1997-10-01,0.6,,0.1
美国商业库存月率报告,1997-11-01,0.4,,0.6
美国商业库存月率报告,1997-12-01,0.2,,0.4
美国商业库存月率报告,1998-01-01,0.5,,0.2
美国商业库存月率报告,1998-02-01,0.3,,0.5
美国商业库存月率报告,1998-03-01,0.7,,0.3
美国商业库存月率报告,1998-04-01,0.5,,0.7
美国商业库存月率报告,1998-05-01,0.2,,0.5
美国商业库存月率报告,1998-06-01,-0.1,,0.2
美国商业库存月率报告,1998-07-01,0.0,,-0.1
美国商业库存月率报告,1998-08-01,0.2,,0.0
美国商业库存月率报告,1998-09-01,0.2,,0.2
美国商业库存月率报告,1998-10-01,0.4,,0.2
美国商业库存月率报告,1998-11-01,0.2,,0.4
美国商业库存月率报告,1998-12-01,0.4,,0.2
美国商业库存月率报告,1999-01-01,0.0,,0.4
美国商业库存月率报告,1999-02-01,0.0,,0.0
美国商业库存月率报告,1999-03-01,0.5,,0.0
美国商业库存月率报告,1999-04-01,0.7,,0.5
美国商业库存月率报告,1999-05-01,0.3,,0.7
美国商业库存月率报告,1999-06-01,0.3,,0.3
美国商业库存月率报告,1999-07-01,0.3,,0.3
美国商业库存月率报告,1999-08-01,0.5,,0.3
美国商业库存月率报告,1999-09-01,0.2,,0.5
美国商业库存月率报告,1999-10-01,0.6,,0.2
美国商业库存月率报告,1999-11-01,0.3,,0.6
美国商业库存月率报告,1999-12-01,1.1,,0.3
美国商业库存月率报告,2000-01-01,0.8,,1.1
美国商业库存月率报告,2000-02-01,0.2,,0.8
美国商业库存月率报告,2000-03-01,0.6,,0.2
美国商业库存月率报告,2000-04-01,0.4,,0.6
美国商业库存月率报告,2000-05-01,0.6,,0.4
美国商业库存月率报告,2000-06-01,0.6,,0.6
