商品,日期,今值,预测值,前值
美国核心PCE物价指数年率,1970-01-01,4.8,,
美国核心PCE物价指数年率,1970-02-01,4.7,,4.8
美国核心PCE物价指数年率,1970-03-01,4.8,,4.7
美国核心PCE物价指数年率,1970-04-01,4.7,,4.8
美国核心PCE物价指数年率,1970-05-01,4.7,,4.7
美国核心PCE物价指数年率,1970-06-01,4.6,,4.7
美国核心PCE物价指数年率,1970-07-01,4.6,,4.6
美国核心PCE物价指数年率,1970-08-01,4.5,,4.6
美国核心PCE物价指数年率,1970-09-01,4.6,,4.5
美国核心PCE物价指数年率,1970-10-01,4.6,,4.6
美国核心PCE物价指数年率,1970-11-01,4.7,,4.6
美国核心PCE物价指数年率,1970-12-01,4.8,,4.7
美国核心PCE物价指数年率,1971-01-01,5.0,,4.8
美国核心PCE物价指数年率,1971-02-01,5.0,,5.0
美国核心PCE物价指数年率,1971-03-01,5.0,,5.0
美国核心PCE物价指数年率,1971-04-01,5.0,,5.0
美国核心PCE物价指数年率,1971-05-01,4.9,,5.0
美国核心PCE物价指数年率,1971-06-01,5.0,,4.9
美国核心PCE物价指数年率,1971-07-01,5.1,,5.0
美国核心PCE物价指数年率,1971-08-01,5.1,,5.1
美国核心PCE物价指数年率,1971-09-01,4.9,,5.1
美国核心PCE物价指数年率,1971-10-01,4.6,,4.9
美国核心PCE物价指数年率,1971-11-01,4.2,,4.6
美国核心PCE物价指数年率,1971-12-01,3.9,,4.2
美国核心PCE物价指数年率,1972-01-01,3.8,,3.9
美国核心PCE物价指数年率,1972-02-01,3.8,,3.8
美国核心PCE物价指数年率,1972-03-01,3.7,,3.8
美国核心PCE物价指数年率,1972-04-01,3.5,,3.7
美国核心PCE物价指数年率,1972-05-01,3.4,,3.5
美国核心PCE物价指数年率,1972-06-01,3.2,,3.4
美国核心PCE物价指数年率,1972-07-01,3.0,,3.2
美国核心PCE物价指数年率,1972-08-01,2.9,,3.0
美国核心PCE物价指数年率,1972-09-01,3.0,,2.9
美国核心PCE物价指数年率,1972-10-01,3.1,,3.0
美国核心PCE物价指数年率,1972-11-01,3.0,,3.1
美国核心PCE物价指数年率,1972-12-01,3.1,,3.0
美国核心PCE物价指数年率,1973-01-01,3.1,,3.1
美国核心PCE物价指数年率,1973-02-01,2.7,,3.1
美国核心PCE物价指数年率,1973-03-01,2.7,,2.7
美国核心PCE物价指数年率,1973-04-01,2.9,,2.7
美国核心PCE物价指数年率,1973-05-01,3.3,,2.9
美国核心PCE物价指数年率,1973-06-01,3.5,,3.3
美国核心PCE物价指数年率,1973-07-01,3.7,,3.5
美国核心PCE物价指数年率,1973-08-01,3.9,,3.7
美国核心PCE物价指数年率,1973-09-01,4.1,,3.9
美国核心PCE物价指数年率,1973-10-01,4.3,,4.1
美国核心PCE物价指数年率,1973-11-01,4.6,,4.3
美国核心PCE物价指数年率,1973-12-01,4.9,,4.6
美国核心PCE物价指数年率,1974-01-01,5.1,,4.9
美国核心PCE物价指数年率,1974-02-01,5.6,,5.1
美国核心PCE物价指数年率,1974-03-01,5.9,,5.6
美国核心PCE物价指数年率,1974-04-01,6.3,,5.9
美国核心PCE物价指数年率,1974-05-01,6.5,,6.3
美国核心PCE物价指数年率,1974-06-01,7.1,,6.5
美国核心PCE物价指数年率,1974-07-01,7.7,,7.1
美国核心PCE物价指数年率,1974-08-01,8.2,,7.7
美国核心PCE物价指数年率,1974-09-01,8.8,,8.2
美国核心PCE物价指数年率,1974-10-01,9.2,,8.8
美国核心PCE物价指数年率,1974-11-01,9.6,,9.2
美国核心PCE物价指数年率,1974-12-01,9.9,,9.6
美国核心PCE物价指数年率,1975-01-01,10.1,,9.9
美国核心PCE物价指数年率,1975-02-01,10.2,,10.1
美国核心PCE物价指数年率,1975-03-01,10.2,,10.2
美国核心PCE物价指数年率,1975-04-01,10.0,,10.2
美国核心PCE物价指数年率,1975-05-01,9.7,,10.0
美国核心PCE物价指数年率,1975-06-01,9.1,,9.7
美国核心PCE物价指数年率,1975-07-01,8.5,,9.1
美国核心PCE物价指数年率,1975-08-01,8.2,,8.5
美国核心PCE物价指数年率,1975-09-01,7.6,,8.2
美国核心PCE物价指数年率,1975-10-01,7.2,,7.6
美国核心PCE物价指数年率,1975-11-01,6.9,,7.2
美国核心PCE物价指数年率,1975-12-01,6.8,,6.9
美国核心PCE物价指数年率,1976-01-01,6.7,,6.8
美国核心PCE物价指数年率,1976-02-01,6.6,,6.7
美国核心PCE物价指数年率,1976-03-01,6.3,,6.6
美国核心PCE物价指数年率,1976-04-01,6.1,,6.3
美国核心PCE物价指数年率,1976-05-01,6.0,,6.1
美国核心PCE物价指数年率,1976-06-01,6.0,,6.0
美国核心PCE物价指数年率,1976-07-01,5.9,,6.0
美国核心PCE物价指数年率,1976-08-01,5.9,,5.9
美国核心PCE物价指数年率,1976-09-01,6.1,,5.9
美国核心PCE物价指数年率,1976-10-01,6.2,,6.1
美国核心PCE物价指数年率,1976-11-01,6.1,,6.2
美国核心PCE物价指数年率,1976-12-01,5.9,,6.1
美国核心PCE物价指数年率,1977-01-01,5.8,,5.9
美国核心PCE物价指数年率,1977-02-01,5.9,,5.8
美国核心PCE物价指数年率,1977-03-01,6.2,,5.9
美国核心PCE物价指数年率,1977-04-01,6.3,,6.2
美国核心PCE物价指数年率,1977-05-01,6.4,,6.3
美国核心PCE物价指数年率,1977-06-01,6.4,,6.4
美国核心PCE物价指数年率,1977-07-01,6.6,,6.4
美国核心PCE物价指数年率,1977-08-01,6.7,,6.6
美国核心PCE物价指数年率,1977-09-01,6.6,,6.7
美国核心PCE物价指数年率,1977-10-01,6.4,,6.6
美国核心PCE物价指数年率,1977-11-01,6.4,,6.4
美国核心PCE物价指数年率,1977-12-01,6.5,,6.4
美国核心PCE物价指数年率,1978-01-01,6.5,,6.5
美国核心PCE物价指数年率,1978-02-01,6.5,,6.5
美国核心PCE物价指数年率,1978-03-01,6.3,,6.5
美国核心PCE物价指数年率,1978-04-01,6.4,,6.3
