日期,美国国内原油总量-产量,美国国内原油总量-变化,美国本土48州原油产量-产量,美国本土48州原油产量-变化,美国阿拉斯加州原油产量-产量,美国阿拉斯加州原油产量-变化
1983-01-07,863.4,,0.0,,0.0,
1983-01-14,863.4,0.0,0.0,0.0,0.0,0.0
1983-01-21,863.4,0.0,0.0,0.0,0.0,0.0
1983-01-28,863.4,0.0,0.0,0.0,0.0,0.0
1983-02-04,866.0,2.6,0.0,0.0,0.0,0.0
1983-02-11,866.0,0.0,0.0,0.0,0.0,0.0
1983-02-18,866.0,0.0,0.0,0.0,0.0,0.0
1983-02-25,866.0,0.0,0.0,0.0,0.0,0.0
1983-03-04,867.7,1.7,0.0,0.0,0.0,0.0
1983-03-11,867.7,0.0,0.0,0.0,0.0,0.0
1983-03-18,867.7,0.0,0.0,0.0,0.0,0.0
1983-03-25,867.7,0.0,0.0,0.0,0.0,0.0
1983-04-01,867.7,0.0,0.0,0.0,0.0,0.0
1983-04-08,868.6,0.9,0.0,0.0,0.0,0.0
1983-04-15,868.6,0.0,0.0,0.0,0.0,0.0
1983-04-29,868.6,0.0,0.0,0.0,0.0,0.0
1983-05-13,868.2,-0.4,0.0,0.0,0.0,0.0
1983-05-20,868.2,0.0,0.0,0.0,0.0,0.0
1983-06-03,867.6,-0.6,0.0,0.0,0.0,0.0
1983-06-10,867.6,0.0,0.0,0.0,0.0,0.0
1983-06-17,867.6,0.0,0.0,0.0,0.0,0.0
1983-06-24,867.6,0.0,0.0,0.0,0.0,0.0
1983-07-01,867.6,0.0,0.0,0.0,0.0,0.0
1983-07-08,864.7,-2.9,0.0,0.0,0.0,0.0
1983-07-15,864.7,0.0,0.0,0.0,0.0,0.0
1983-07-22,864.7,0.0,0.0,0.0,0.0,0.0
1983-07-29,864.7,0.0,0.0,0.0,0.0,0.0
1983-08-05,865.3,0.6,0.0,0.0,0.0,0.0
1983-08-12,865.3,0.0,0.0,0.0,0.0,0.0
1983-08-19,865.3,0.0,0.0,0.0,0.0,0.0
1983-08-26,865.3,0.0,0.0,0.0,0.0,0.0
1983-09-02,866.6,1.3,0.0,0.0,0.0,0.0
