商品,日期,今值,预测值,前值
美国经常账报告,2008-03-17,-1730.0,-1840.0,-1790
美国经常账报告,2008-06-17,-1760.0,,-1730
美国经常账报告,2008-09-17,-1830.0,-1800.0,-1760
美国经常账报告,2008-12-17,-1740.0,-1800.0,-1830
美国经常账报告,2009-03-18,-1330.0,-1370.0,-1740
美国经常账报告,2009-06-17,-1015.0,-850.0,-1549
美国经常账报告,2009-09-16,-988.0,-920.0,-1050
美国经常账报告,2009-12-16,-1080.0,-1050.0,-980
美国经常账报告,2010-03-18,-1160.0,-1200.0,-1020
美国经常账报告,2010-06-17,-1090.0,-1230.0,-1010
美国经常账报告,2010-09-16,-1233.0,-1250.0,-1090
美国经常账报告,2010-12-16,-1270.0,-1253.0,-1233
美国经常账报告,2011-03-16,-1130.0,-1100.0,-1260
美国经常账报告,2011-06-16,-1190.0,-1300.0,-1120
美国经常账报告,2011-09-15,-1180.0,-1210.0,-1200
美国经常账报告,2011-12-15,-1100.0,-1080.0,-1250
美国经常账报告,2012-03-14,-1241.0,-1140.0,-1080
美国经常账报告,2012-06-14,-1373.0,-1323.0,-1187
美国经常账报告,2012-09-18,-1174.0,-1255.0,-1336
美国经常账报告,2012-12-18,-1075.0,-1034.0,-1181
美国经常账报告,2013-03-14,-1104.0,-1128.0,-1124
美国经常账报告,2013-06-14,-1061.0,-1097.0,-1023
美国经常账报告,2013-09-19,-989.0,-970.0,-1049
美国经常账报告,2013-12-17,-948.0,-1000.0,-966
美国经常账报告,2014-03-19,-811.0,-880.0,-964
美国经常账报告,2014-06-18,-1112.0,-969.0,-873
美国经常账报告,2014-09-17,-985.0,-1140.0,-1021
美国经常账报告,2014-12-17,-1003.0,-979.0,-984
美国经常账报告,2015-03-19,-1135.0,-1032.0,-989
美国经常账报告,2015-06-18,-1133.0,-1170.0,-1031
美国经常账报告,2015-09-17,-1097.0,-1113.0,-1183
美国经常账报告,2015-12-17,-1241.0,-1180.0,-1111
美国经常账报告,2016-03-17,-1253.0,-1189.0,-1299
美国经常账报告,2016-06-16,-1247.0,-1250.0,-1134
美国经常账报告,2016-09-15,-1199.0,-1205.0,-1318
美国经常账报告,2016-12-15,-1130.0,-1116.0,-1183
美国经常账报告,2017-03-21,-1124.0,-1282.0,-1160
美国经常账报告,2017-06-20,-1168.0,-1238.0,-1140
美国经常账报告,2017-09-19,-1231.0,-1151.0,-1135
美国经常账报告,2017-12-19,-1006.0,-1168.0,-1244
美国经常账报告,2018-03-21,-1282.0,-1250.0,-1015
美国经常账报告,2018-06-20,-1241.0,-1290.0,-1162
美国经常账报告,2018-09-19,-1015.0,-1035.0,-1217
美国经常账报告,2018-12-19,-1248.0,-1243.0,-1012
美国经常账报告,2019-03-27,-1344.0,-1300.0,-1266
美国经常账报告,2019-06-20,-1304.0,-1250.0,-1439
美国经常账报告,2019-09-19,-1282.0,-1278.0,-1362
美国经常账报告,2019-12-19,-1241.0,-1221.0,-1252
美国经常账报告,2020-03-19,-1098.0,-1090.0,-1254
美国经常账报告,2020-06-19,-1042.0,-1030.0,-1043
美国经常账报告,2020-09-18,-1705.0,-1579.0,-1115
美国经常账报告,2020-12-18,-1785.0,-1890.0,-1614
美国经常账报告,2021-03-23,-1885.0,-1899.0,-1809
美国经常账报告,2021-06-23,-1957.0,-2068.0,-1751
美国经常账报告,2021-09-21,-1903.0,-1910.0,-1894
美国经常账报告,2021-12-21,-2148.0,-2050.0,-1983
美国经常账报告,2022-03-24,-2179.0,-2180.0,-2199
美国经常账报告,2022-06-23,-2914.0,-2735.0,-2248
美国经常账报告,2022-09-22,-2511.0,-2606.0,-2825
美国经常账报告,2022-12-21,-2171.0,-2220.0,-2387
美国经常账报告,2023-03-23,-2068.0,-2132.0,-2190
美国经常账报告,2023-06-22,-2193.0,-2169.0,-2162
美国经常账报告,2023-09-21,-2121.0,-2210.0,-2145
美国经常账报告,2023-12-20,-2003.0,-1970.0,-2168
美国经常账报告,2024-03-21,-1948.0,-2090.0,-1964
美国经常账报告,2024-06-20,-2376.0,-2070.0,-2218
美国经常账报告,2024-09-19,-2668.0,-2590.0,-2410
美国经常账报告,2024-12-18,-3109.0,-2860.0,-2750
美国经常账报告,2025-03-20,-3039.0,-3300.0,-3103
美国经常账报告,2025-06-24,-4502.0,-4480.0,-3120
美国经常账报告,2025-09-23,,,-4502
