商品,日期,今值,预测值,前值
美国EIA原油库存,1982-09-01,-263.0,,
美国EIA原油库存,1982-10-01,-8.0,,-263.0
美国EIA原油库存,1982-11-01,-41.0,,-8.0
美国EIA原油库存,1982-12-01,-88.0,,-41.0
美国EIA原油库存,1983-01-01,51.0,,-88.0
美国EIA原油库存,1983-02-01,156.0,,51.0
美国EIA原油库存,1983-03-01,233.0,,156.0
美国EIA原油库存,1983-04-01,-335.0,,233.0
美国EIA原油库存,1983-05-01,368.0,,-335.0
美国EIA原油库存,1983-06-01,284.0,,368.0
美国EIA原油库存,1983-07-01,-35.0,,284.0
美国EIA原油库存,1983-08-01,-160.0,,-35.0
美国EIA原油库存,1983-09-01,16.0,,-160.0
美国EIA原油库存,1983-10-01,38.0,,16.0
美国EIA原油库存,1983-11-01,-56.0,,38.0
美国EIA原油库存,1983-12-01,33.0,,-56.0
美国EIA原油库存,1984-01-01,-24.0,,33.0
美国EIA原油库存,1984-02-01,-97.0,,-24.0
美国EIA原油库存,1984-03-01,-123.0,,-97.0
美国EIA原油库存,1984-04-01,-165.0,,-123.0
美国EIA原油库存,1984-05-01,253.0,,-165.0
美国EIA原油库存,1984-06-01,367.0,,253.0
美国EIA原油库存,1984-07-01,-53.0,,367.0
美国EIA原油库存,1984-08-01,-98.0,,-53.0
美国EIA原油库存,1984-09-01,-226.0,,-98.0
美国EIA原油库存,1984-10-01,-333.0,,-226.0
美国EIA原油库存,1984-11-01,195.0,,-333.0
美国EIA原油库存,1984-12-01,191.0,,195.0
美国EIA原油库存,1985-01-01,-90.0,,191.0
美国EIA原油库存,1985-02-01,-233.0,,-90.0
美国EIA原油库存,1985-03-01,-322.0,,-233.0
美国EIA原油库存,1985-04-01,357.0,,-322.0
美国EIA原油库存,1985-05-01,274.0,,357.0
美国EIA原油库存,1985-06-01,170.0,,274.0
美国EIA原油库存,1985-07-01,-238.0,,170.0
美国EIA原油库存,1985-08-01,-424.0,,-238.0
美国EIA原油库存,1985-09-01,-96.0,,-424.0
美国EIA原油库存,1985-10-01,-171.0,,-96.0
美国EIA原油库存,1985-11-01,8.0,,-171.0
美国EIA原油库存,1985-12-01,48.0,,8.0
美国EIA原油库存,1986-01-01,150.0,,48.0
美国EIA原油库存,1986-02-01,39.0,,150.0
美国EIA原油库存,1986-03-01,188.0,,39.0
美国EIA原油库存,1986-04-01,279.0,,188.0
美国EIA原油库存,1986-05-01,-157.0,,279.0
美国EIA原油库存,1986-06-01,-215.0,,-157.0
美国EIA原油库存,1986-07-01,-61.0,,-215.0
美国EIA原油库存,1986-08-01,327.0,,-61.0
美国EIA原油库存,1986-09-01,-167.0,,327.0
美国EIA原油库存,1986-10-01,72.0,,-167.0
美国EIA原油库存,1986-11-01,285.0,,72.0
美国EIA原油库存,1986-12-01,-124.0,,285.0
美国EIA原油库存,1987-01-01,-331.0,,-124.0
美国EIA原油库存,1987-02-01,46.0,,-331.0
美国EIA原油库存,1987-03-01,46.0,,46.0
美国EIA原油库存,1987-04-01,-23.0,,46.0
美国EIA原油库存,1987-05-01,-105.0,,-23.0
美国EIA原油库存,1987-06-01,-146.0,,-105.0
美国EIA原油库存,1987-07-01,107.0,,-146.0
美国EIA原油库存,1987-08-01,54.0,,107.0
美国EIA原油库存,1987-09-01,79.0,,54.0
美国EIA原油库存,1987-10-01,105.0,,79.0
美国EIA原油库存,1987-11-01,316.0,,105.0
美国EIA原油库存,1987-12-01,169.0,,316.0
美国EIA原油库存,1988-01-01,-30.0,,169.0
美国EIA原油库存,1988-02-01,-446.0,,-30.0
美国EIA原油库存,1988-03-01,199.0,,-446.0
美国EIA原油库存,1988-04-01,82.0,,199.0
美国EIA原油库存,1988-05-01,159.0,,82.0
美国EIA原油库存,1988-06-01,151.0,,159.0
美国EIA原油库存,1988-07-01,11.0,,151.0
美国EIA原油库存,1988-08-01,-234.0,,11.0
美国EIA原油库存,1988-09-01,-371.0,,-234.0
美国EIA原油库存,1988-10-01,-214.0,,-371.0
美国EIA原油库存,1988-11-01,282.0,,-214.0
美国EIA原油库存,1988-12-01,72.0,,282.0
美国EIA原油库存,1989-01-01,-162.0,,72.0
美国EIA原油库存,1989-02-01,-76.0,,-162.0
美国EIA原油库存,1989-03-01,-30.0,,-76.0
美国EIA原油库存,1989-04-01,-34.0,,-30.0
美国EIA原油库存,1989-05-01,219.0,,-34.0
美国EIA原油库存,1989-06-01,134.0,,219.0
美国EIA原油库存,1989-07-01,-179.0,,134.0
美国EIA原油库存,1989-08-01,-31.0,,-179.0
美国EIA原油库存,1989-09-01,105.0,,-31.0
美国EIA原油库存,1989-10-01,-116.0,,105.0
美国EIA原油库存,1989-11-01,168.0,,-116.0
美国EIA原油库存,1989-12-01,212.0,,168.0
美国EIA原油库存,1990-01-01,-152.0,,212.0
美国EIA原油库存,1990-02-01,123.0,,-152.0
美国EIA原油库存,1990-03-01,-145.0,,123.0
美国EIA原油库存,1990-04-01,421.0,,-145.0
美国EIA原油库存,1990-05-01,254.0,,421.0
美国EIA原油库存,1990-06-01,233.0,,254.0
美国EIA原油库存,1990-07-01,85.0,,233.0
美国EIA原油库存,1990-08-01,13.0,,85.0
美国EIA原油库存,1990-09-01,-280.0,,13.0
美国EIA原油库存,1990-10-01,-458.0,,-280.0
美国EIA原油库存,1990-11-01,-191.0,,-458.0
美国EIA原油库存,1990-12-01,-66.0,,-191.0
