商品,日期,今值,预测值,前值
美国成屋销售总数年化报告,1970-01-01,160.0,,
美国成屋销售总数年化报告,1970-02-01,153.0,,160.0
美国成屋销售总数年化报告,1970-03-01,146.0,,153.0
美国成屋销售总数年化报告,1970-04-01,137.0,,146.0
美国成屋销售总数年化报告,1970-05-01,151.0,,137.0
美国成屋销售总数年化报告,1970-06-01,153.0,,151.0
美国成屋销售总数年化报告,1970-07-01,158.0,,153.0
美国成屋销售总数年化报告,1970-08-01,163.0,,158.0
美国成屋销售总数年化报告,1970-09-01,172.0,,163.0
美国成屋销售总数年化报告,1970-10-01,173.0,,172.0
美国成屋销售总数年化报告,1970-11-01,170.0,,173.0
美国成屋销售总数年化报告,1970-12-01,175.0,,170.0
美国成屋销售总数年化报告,1971-01-01,185.0,,175.0
美国成屋销售总数年化报告,1971-02-01,191.0,,185.0
美国成屋销售总数年化报告,1971-03-01,190.0,,191.0
美国成屋销售总数年化报告,1971-04-01,198.0,,190.0
美国成屋销售总数年化报告,1971-05-01,201.0,,198.0
美国成屋销售总数年化报告,1971-06-01,204.0,,201.0
美国成屋销售总数年化报告,1971-07-01,199.0,,204.0
美国成屋销售总数年化报告,1971-08-01,200.0,,199.0
美国成屋销售总数年化报告,1971-09-01,200.0,,200.0
美国成屋销售总数年化报告,1971-10-01,205.0,,200.0
美国成屋销售总数年化报告,1971-11-01,205.0,,205.0
美国成屋销售总数年化报告,1971-12-01,214.0,,205.0
美国成屋销售总数年化报告,1972-01-01,218.0,,214.0
美国成屋销售总数年化报告,1972-02-01,220.0,,218.0
美国成屋销售总数年化报告,1972-03-01,215.0,,220.0
美国成屋销售总数年化报告,1972-04-01,218.0,,215.0
美国成屋销售总数年化报告,1972-05-01,216.0,,218.0
美国成屋销售总数年化报告,1972-06-01,211.0,,216.0
美国成屋销售总数年化报告,1972-07-01,217.0,,211.0
美国成屋销售总数年化报告,1972-08-01,219.0,,217.0
美国成屋销售总数年化报告,1972-09-01,230.0,,219.0
美国成屋销售总数年化报告,1972-10-01,234.0,,230.0
美国成屋销售总数年化报告,1972-11-01,238.0,,234.0
美国成屋销售总数年化报告,1972-12-01,238.0,,238.0
美国成屋销售总数年化报告,1973-01-01,249.0,,238.0
美国成屋销售总数年化报告,1973-02-01,243.0,,249.0
美国成屋销售总数年化报告,1973-03-01,250.0,,243.0
美国成屋销售总数年化报告,1973-04-01,242.0,,250.0
美国成屋销售总数年化报告,1973-05-01,235.0,,242.0
美国成屋销售总数年化报告,1973-06-01,233.0,,235.0
美国成屋销售总数年化报告,1973-07-01,236.0,,233.0
美国成屋销售总数年化报告,1973-08-01,234.0,,236.0
美国成屋销售总数年化报告,1973-09-01,228.0,,234.0
美国成屋销售总数年化报告,1973-10-01,224.0,,228.0
美国成屋销售总数年化报告,1973-11-01,227.0,,224.0
美国成屋销售总数年化报告,1973-12-01,226.0,,227.0
美国成屋销售总数年化报告,1974-01-01,223.0,,226.0
美国成屋销售总数年化报告,1974-02-01,241.0,,223.0
美国成屋销售总数年化报告,1974-03-01,238.0,,241.0
美国成屋销售总数年化报告,1974-04-01,244.0,,238.0
美国成屋销售总数年化报告,1974-05-01,239.0,,244.0
美国成屋销售总数年化报告,1974-06-01,240.0,,239.0
美国成屋销售总数年化报告,1974-07-01,227.0,,240.0
美国成屋销售总数年化报告,1974-08-01,229.0,,227.0
美国成屋销售总数年化报告,1974-09-01,225.0,,229.0
美国成屋销售总数年化报告,1974-10-01,215.0,,225.0
美国成屋销售总数年化报告,1974-11-01,210.0,,215.0
美国成屋销售总数年化报告,1974-12-01,209.0,,210.0
美国成屋销售总数年化报告,1975-01-01,211.0,,209.0
美国成屋销售总数年化报告,1975-02-01,206.0,,211.0
美国成屋销售总数年化报告,1975-03-01,223.0,,206.0
美国成屋销售总数年化报告,1975-04-01,229.0,,223.0
美国成屋销售总数年化报告,1975-05-01,239.0,,229.0
美国成屋销售总数年化报告,1975-06-01,247.0,,239.0
美国成屋销售总数年化报告,1975-07-01,251.0,,247.0
美国成屋销售总数年化报告,1975-08-01,245.0,,251.0
美国成屋销售总数年化报告,1975-09-01,253.0,,245.0
美国成屋销售总数年化报告,1975-10-01,263.0,,253.0
美国成屋销售总数年化报告,1975-11-01,268.0,,263.0
美国成屋销售总数年化报告,1975-12-01,274.0,,268.0
美国成屋销售总数年化报告,1976-01-01,278.0,,274.0
美国成屋销售总数年化报告,1976-02-01,281.0,,278.0
美国成屋销售总数年化报告,1976-03-01,293.0,,281.0
美国成屋销售总数年化报告,1976-04-01,290.0,,293.0
美国成屋销售总数年化报告,1976-05-01,294.0,,290.0
美国成屋销售总数年化报告,1976-06-01,296.0,,294.0
美国成屋销售总数年化报告,1976-07-01,311.0,,296.0
美国成屋销售总数年化报告,1976-08-01,310.0,,311.0
美国成屋销售总数年化报告,1976-09-01,311.0,,310.0
美国成屋销售总数年化报告,1976-10-01,321.0,,311.0
美国成屋销售总数年化报告,1976-11-01,316.0,,321.0
美国成屋销售总数年化报告,1976-12-01,322.0,,316.0
美国成屋销售总数年化报告,1977-01-01,334.0,,322.0
美国成屋销售总数年化报告,1977-02-01,343.0,,334.0
美国成屋销售总数年化报告,1977-03-01,336.0,,343.0
美国成屋销售总数年化报告,1977-04-01,358.0,,336.0
美国成屋销售总数年化报告,1977-05-01,353.0,,358.0
美国成屋销售总数年化报告,1977-06-01,364.0,,353.0
美国成屋销售总数年化报告,1977-07-01,363.0,,364.0
美国成屋销售总数年化报告,1977-08-01,365.0,,363.0
美国成屋销售总数年化报告,1977-09-01,371.0,,365.0
美国成屋销售总数年化报告,1977-10-01,376.0,,371.0
美国成屋销售总数年化报告,1977-11-01,371.0,,376.0
美国成屋销售总数年化报告,1977-12-01,386.0,,371.0
美国成屋销售总数年化报告,1978-01-01,389.0,,386.0
