商品,日期,今值,预测值,前值
美国进口物价指数,1989-02-01,2.0,,
美国进口物价指数,1989-03-01,-0.5,,2.0
美国进口物价指数,1989-04-01,0.8,,-0.5
美国进口物价指数,1989-05-01,0.8,,0.8
美国进口物价指数,1989-06-01,0.7,,0.8
美国进口物价指数,1989-07-01,-1.2,,0.7
美国进口物价指数,1989-08-01,-1.1,,-1.2
美国进口物价指数,1989-09-01,-0.6,,-1.1
美国进口物价指数,1989-10-01,0.4,,-0.6
美国进口物价指数,1989-11-01,0.6,,0.4
美国进口物价指数,1989-12-01,0.2,,0.6
美国进口物价指数,1990-01-01,0.5,,0.2
美国进口物价指数,1990-02-01,1.0,,0.5
美国进口物价指数,1990-03-01,0.2,,1.0
美国进口物价指数,1990-04-01,-0.3,,0.2
美国进口物价指数,1990-05-01,-0.9,,-0.3
美国进口物价指数,1990-06-01,-0.4,,-0.9
美国进口物价指数,1990-07-01,-0.4,,-0.4
美国进口物价指数,1990-08-01,-0.3,,-0.4
美国进口物价指数,1990-09-01,3.1,,-0.3
美国进口物价指数,1990-10-01,3.4,,3.1
美国进口物价指数,1990-11-01,2.9,,3.4
美国进口物价指数,1990-12-01,-0.6,,2.9
美国进口物价指数,1991-01-01,-0.3,,-0.6
美国进口物价指数,1991-02-01,-1.4,,-0.3
美国进口物价指数,1991-03-01,-2.1,,-1.4
美国进口物价指数,1991-04-01,0.0,,-2.1
美国进口物价指数,1991-05-01,-0.8,,0.0
美国进口物价指数,1991-06-01,-0.2,,-0.8
美国进口物价指数,1991-07-01,-0.6,,-0.2
美国进口物价指数,1991-08-01,-0.6,,-0.6
美国进口物价指数,1991-09-01,0.3,,-0.6
美国进口物价指数,1991-10-01,0.2,,0.3
美国进口物价指数,1991-11-01,0.9,,0.2
美国进口物价指数,1991-12-01,0.4,,0.9
美国进口物价指数,1992-01-01,-0.2,,0.4
美国进口物价指数,1992-02-01,-0.3,,-0.2
美国进口物价指数,1992-03-01,0.0,,-0.3
美国进口物价指数,1992-04-01,-0.1,,0.0
美国进口物价指数,1992-05-01,-0.3,,-0.1
美国进口物价指数,1992-06-01,0.4,,-0.3
美国进口物价指数,1992-07-01,0.9,,0.4
美国进口物价指数,1992-08-01,0.5,,0.9
美国进口物价指数,1992-09-01,0.4,,0.5
美国进口物价指数,1992-10-01,0.2,,0.4
美国进口物价指数,1992-11-01,0.7,,0.2
美国进口物价指数,1992-12-01,-0.6,,0.7
美国进口物价指数,1993-01-01,-1.7,,-0.6
美国进口物价指数,1993-02-01,-0.1,,-1.7
美国进口物价指数,1993-03-01,-0.1,,-0.1
美国进口物价指数,1993-04-01,0.5,,-0.1
美国进口物价指数,1993-05-01,0.5,,0.5
美国进口物价指数,1993-06-01,0.3,,0.5
美国进口物价指数,1993-07-01,-0.5,,0.3
美国进口物价指数,1993-08-01,-0.5,,-0.5
美国进口物价指数,1993-09-01,-0.1,,-0.5
美国进口物价指数,1993-10-01,0.1,,-0.1
美国进口物价指数,1993-11-01,0.4,,0.1
美国进口物价指数,1993-12-01,-0.5,,0.4
美国进口物价指数,1994-01-01,-1.0,,-0.5
美国进口物价指数,1994-02-01,0.0,,-1.0
美国进口物价指数,1994-03-01,0.4,,0.0
美国进口物价指数,1994-04-01,0.1,,0.4
美国进口物价指数,1994-05-01,0.7,,0.1
美国进口物价指数,1994-06-01,0.8,,0.7
美国进口物价指数,1994-07-01,0.8,,0.8
美国进口物价指数,1994-08-01,0.9,,0.8
美国进口物价指数,1994-09-01,0.4,,0.9
美国进口物价指数,1994-10-01,-0.4,,0.4
美国进口物价指数,1994-11-01,0.7,,-0.4
美国进口物价指数,1994-12-01,0.6,,0.7
美国进口物价指数,1995-01-01,-0.1,,0.6
美国进口物价指数,1995-02-01,0.3,,-0.1
美国进口物价指数,1995-03-01,0.7,,0.3
美国进口物价指数,1995-04-01,0.5,,0.7
美国进口物价指数,1995-05-01,1.0,,0.5
美国进口物价指数,1995-06-01,0.9,,1.0
美国进口物价指数,1995-07-01,-0.4,,0.9
美国进口物价指数,1995-08-01,-0.3,,-0.4
美国进口物价指数,1995-09-01,-0.3,,-0.3
美国进口物价指数,1995-10-01,0.0,,-0.3
美国进口物价指数,1995-11-01,-0.4,,0.0
美国进口物价指数,1995-12-01,0.2,,-0.4
美国进口物价指数,1996-01-01,0.4,,0.2
美国进口物价指数,1996-02-01,0.2,,0.4
美国进口物价指数,1996-03-01,-0.2,,0.2
美国进口物价指数,1996-04-01,0.6,,-0.2
美国进口物价指数,1996-05-01,0.9,,0.6
美国进口物价指数,1996-06-01,-0.7,,0.9
美国进口物价指数,1996-07-01,-1.1,,-0.7
美国进口物价指数,1996-08-01,-0.1,,-1.1
美国进口物价指数,1996-09-01,0.1,,-0.1
美国进口物价指数,1996-10-01,1.1,,0.1
美国进口物价指数,1996-11-01,0.6,,1.1
美国进口物价指数,1996-12-01,-0.2,,0.6
美国进口物价指数,1997-01-01,0.3,,-0.2
美国进口物价指数,1997-02-01,-0.3,,0.3
美国进口物价指数,1997-03-01,-1.0,,-0.3
美国进口物价指数,1997-04-01,-1.2,,-1.0
美国进口物价指数,1997-05-01,-1.2,,-1.2
