商品,日期,今值,预测值,前值
美国初请失业金人数,1970-01-01,22.109,,
美国初请失业金人数,1970-02-01,24.932,,22.109
美国初请失业金人数,1970-03-01,25.85,,24.932
美国初请失业金人数,1970-04-01,26.868,,25.85
美国初请失业金人数,1970-05-01,33.159,,26.868
美国初请失业金人数,1970-06-01,30.59,,33.159
美国初请失业金人数,1970-07-01,29.473,,30.59
美国初请失业金人数,1970-08-01,28.178,,29.473
美国初请失业金人数,1970-09-01,29.305,,28.178
美国初请失业金人数,1970-10-01,32.255,,29.305
美国初请失业金人数,1970-11-01,33.136,,32.255
美国初请失业金人数,1970-12-01,32.443,,33.136
美国初请失业金人数,1971-01-01,30.539,,32.443
美国初请失业金人数,1971-02-01,29.8,,30.539
美国初请失业金人数,1971-03-01,28.4,,29.8
美国初请失业金人数,1971-04-01,29.443,,28.4
美国初请失业金人数,1971-05-01,28.65,,29.443
美国初请失业金人数,1971-06-01,29.314,,28.65
美国初请失业金人数,1971-07-01,29.364,,29.314
美国初请失业金人数,1971-08-01,29.541,,29.364
美国初请失业金人数,1971-09-01,32.832,,29.541
美国初请失业金人数,1971-10-01,31.286,,32.832
美国初请失业金人数,1971-11-01,29.733,,31.286
美国初请失业金人数,1971-12-01,28.809,,29.733
美国初请失业金人数,1972-01-01,27.204,,28.809
美国初请失业金人数,1972-02-01,26.957,,27.204
美国初请失业金人数,1972-03-01,26.229,,26.957
美国初请失业金人数,1972-04-01,26.222,,26.229
美国初请失业金人数,1972-05-01,26.425,,26.222
美国初请失业金人数,1972-06-01,26.726,,26.425
美国初请失业金人数,1972-07-01,29.195,,26.726
美国初请失业金人数,1972-08-01,28.286,,29.195
美国初请失业金人数,1972-09-01,25.443,,28.286
美国初请失业金人数,1972-10-01,25.586,,25.443
美国初请失业金人数,1972-11-01,25.136,,25.586
美国初请失业金人数,1972-12-01,24.586,,25.136
美国初请失业金人数,1973-01-01,24.552,,24.586
美国初请失业金人数,1973-02-01,22.843,,24.552
美国初请失业金人数,1973-03-01,22.155,,22.843
美国初请失业金人数,1973-04-01,22.75,,22.155
美国初请失业金人数,1973-05-01,23.943,,22.75
美国初请失业金人数,1973-06-01,23.848,,23.943
美国初请失业金人数,1973-07-01,24.01,,23.848
美国初请失业金人数,1973-08-01,24.395,,24.01
美国初请失业金人数,1973-09-01,25.491,,24.395
美国初请失业金人数,1973-10-01,24.8,,25.491
美国初请失业金人数,1973-11-01,24.209,,24.8
美国初请失业金人数,1973-12-01,25.532,,24.209
美国初请失业金人数,1974-01-01,28.995,,25.532
美国初请失业金人数,1974-02-01,30.626,,28.995
美国初请失业金人数,1974-03-01,31.83,,30.626
美国初请失业金人数,1974-04-01,31.362,,31.83
美国初请失业金人数,1974-05-01,29.245,,31.362
美国初请失业金人数,1974-06-01,29.417,,29.245
美国初请失业金人数,1974-07-01,31.25,,29.417
美国初请失业金人数,1974-08-01,31.283,,31.25
美国初请失业金人数,1974-09-01,34.227,,31.283
美国初请失业金人数,1974-10-01,36.124,,34.227
美国初请失业金人数,1974-11-01,39.948,,36.124
美国初请失业金人数,1974-12-01,46.743,,39.948
美国初请失业金人数,1975-01-01,51.782,,46.743
美国初请失业金人数,1975-02-01,54.709,,51.782
美国初请失业金人数,1975-03-01,54.125,,54.709
美国初请失业金人数,1975-04-01,54.629,,54.125
美国初请失业金人数,1975-05-01,52.195,,54.629
美国初请失业金人数,1975-06-01,49.795,,52.195
美国初请失业金人数,1975-07-01,49.205,,49.795
美国初请失业金人数,1975-08-01,44.491,,49.205
美国初请失业金人数,1975-09-01,45.162,,44.491
美国初请失业金人数,1975-10-01,44.35,,45.162
美国初请失业金人数,1975-11-01,41.926,,44.35
美国初请失业金人数,1975-12-01,39.725,,41.926
美国初请失业金人数,1976-01-01,37.265,,39.725
美国初请失业金人数,1976-02-01,37.245,,37.265
美国初请失业金人数,1976-03-01,34.825,,37.245
美国初请失业金人数,1976-04-01,36.304,,34.825
美国初请失业金人数,1976-05-01,37.227,,36.304
美国初请失业金人数,1976-06-01,39.271,,37.227
美国初请失业金人数,1976-07-01,39.432,,39.271
美国初请失业金人数,1976-08-01,39.036,,39.432
美国初请失业金人数,1976-09-01,39.145,,39.036
美国初请失业金人数,1976-10-01,40.636,,39.145
美国初请失业金人数,1976-11-01,40.919,,40.636
美国初请失业金人数,1976-12-01,39.064,,40.919
美国初请失业金人数,1977-01-01,37.265,,39.064
美国初请失业金人数,1977-02-01,41.476,,37.265
美国初请失业金人数,1977-03-01,44.055,,41.476
美国初请失业金人数,1977-04-01,35.843,,44.055
美国初请失业金人数,1977-05-01,37.071,,35.843
美国初请失业金人数,1977-06-01,37.868,,37.071
美国初请失业金人数,1977-07-01,35.905,,37.868
美国初请失业金人数,1977-08-01,36.357,,35.905
美国初请失业金人数,1977-09-01,36.813,,36.357
美国初请失业金人数,1977-10-01,36.332,,36.813
美国初请失业金人数,1977-11-01,36.195,,36.332
美国初请失业金人数,1977-12-01,35.477,,36.195
美国初请失业金人数,1978-01-01,35.859,,35.477
美国初请失业金人数,1978-02-01,35.182,,35.859
美国初请失业金人数,1978-03-01,38.275,,35.182
美国初请失业金人数,1978-04-01,34.5,,38.275
