商品,日期,今值,预测值,前值
美国ISM非制造业PMI报告,1997-08-01,56.7,,
美国ISM非制造业PMI报告,1997-09-01,62.0,,56.7
美国ISM非制造业PMI报告,1997-10-01,56.2,,62.0
美国ISM非制造业PMI报告,1997-11-01,56.6,,56.2
美国ISM非制造业PMI报告,1997-12-01,58.5,,56.6
美国ISM非制造业PMI报告,1998-01-01,55.5,,58.5
美国ISM非制造业PMI报告,1998-02-01,57.0,,55.5
美国ISM非制造业PMI报告,1998-03-01,56.2,,57.0
美国ISM非制造业PMI报告,1998-04-01,54.7,,56.2
美国ISM非制造业PMI报告,1998-05-01,54.9,,54.7
美国ISM非制造业PMI报告,1998-06-01,56.2,,54.9
美国ISM非制造业PMI报告,1998-07-01,55.1,,56.2
美国ISM非制造业PMI报告,1998-08-01,55.8,,55.1
美国ISM非制造业PMI报告,1998-09-01,53.5,,55.8
美国ISM非制造业PMI报告,1998-10-01,55.0,,53.5
美国ISM非制造业PMI报告,1998-11-01,53.8,,55.0
美国ISM非制造业PMI报告,1998-12-01,52.6,,53.8
美国ISM非制造业PMI报告,1999-01-01,52.9,,52.6
美国ISM非制造业PMI报告,1999-02-01,55.6,,52.9
美国ISM非制造业PMI报告,1999-03-01,54.4,,55.6
美国ISM非制造业PMI报告,1999-04-01,55.3,,54.4
美国ISM非制造业PMI报告,1999-05-01,55.5,,55.3
美国ISM非制造业PMI报告,1999-06-01,55.3,,55.5
美国ISM非制造业PMI报告,1999-07-01,56.7,,55.3
美国ISM非制造业PMI报告,1999-08-01,56.2,,56.7
美国ISM非制造业PMI报告,1999-09-01,56.4,,56.2
美国ISM非制造业PMI报告,1999-10-01,56.2,,56.4
美国ISM非制造业PMI报告,1999-11-01,57.6,,56.2
美国ISM非制造业PMI报告,1999-12-01,54.9,,57.6
美国ISM非制造业PMI报告,2000-01-01,56.9,,54.9
美国ISM非制造业PMI报告,2000-02-01,56.6,,56.9
美国ISM非制造业PMI报告,2000-03-01,56.2,,56.6
美国ISM非制造业PMI报告,2000-04-01,57.4,,56.2
美国ISM非制造业PMI报告,2000-05-01,58.0,,57.4
美国ISM非制造业PMI报告,2000-06-01,57.7,,58.0
美国ISM非制造业PMI报告,2000-07-01,56.9,,57.7
美国ISM非制造业PMI报告,2000-08-01,55.3,,56.9
美国ISM非制造业PMI报告,2000-09-01,57.6,,55.3
美国ISM非制造业PMI报告,2000-10-01,56.7,,57.6
美国ISM非制造业PMI报告,2000-11-01,56.7,,56.7
美国ISM非制造业PMI报告,2000-12-01,56.2,,56.7
美国ISM非制造业PMI报告,2001-01-01,54.0,,56.2
美国ISM非制造业PMI报告,2001-02-01,51.6,,54.0
美国ISM非制造业PMI报告,2001-03-01,51.3,,51.6
美国ISM非制造业PMI报告,2001-04-01,50.7,,51.3
美国ISM非制造业PMI报告,2001-05-01,48.3,,50.7
美国ISM非制造业PMI报告,2001-06-01,49.0,,48.3
美国ISM非制造业PMI报告,2001-07-01,50.1,,49.0
美国ISM非制造业PMI报告,2001-08-01,48.1,,50.1
美国ISM非制造业PMI报告,2001-09-01,46.9,,48.1
美国ISM非制造业PMI报告,2001-10-01,49.5,,46.9
美国ISM非制造业PMI报告,2001-11-01,44.8,,49.5
美国ISM非制造业PMI报告,2001-12-01,48.2,,44.8
美国ISM非制造业PMI报告,2002-01-01,49.7,,48.2
美国ISM非制造业PMI报告,2002-02-01,48.9,,49.7
美国ISM非制造业PMI报告,2002-03-01,52.7,,48.9
美国ISM非制造业PMI报告,2002-04-01,52.8,,52.7
美国ISM非制造业PMI报告,2002-05-01,53.5,,52.8
美国ISM非制造业PMI报告,2002-06-01,54.8,,53.5
美国ISM非制造业PMI报告,2002-07-01,52.5,,54.8
美国ISM非制造业PMI报告,2002-08-01,50.4,,52.5
美国ISM非制造业PMI报告,2002-09-01,50.9,,50.4
美国ISM非制造业PMI报告,2002-10-01,52.3,,50.9
