商品,日期,今值,预测值,前值
美国ISM制造业PMI报告,1970-01-01,52.0,,
美国ISM制造业PMI报告,1970-02-01,48.7,,52.0
美国ISM制造业PMI报告,1970-03-01,47.4,,48.7
美国ISM制造业PMI报告,1970-04-01,46.9,,47.4
美国ISM制造业PMI报告,1970-05-01,45.0,,46.9
美国ISM制造业PMI报告,1970-06-01,47.2,,45.0
美国ISM制造业PMI报告,1970-07-01,51.1,,47.2
美国ISM制造业PMI报告,1970-08-01,49.5,,51.1
美国ISM制造业PMI报告,1970-09-01,47.3,,49.5
美国ISM制造业PMI报告,1970-10-01,44.1,,47.3
美国ISM制造业PMI报告,1970-11-01,42.4,,44.1
美国ISM制造业PMI报告,1970-12-01,39.7,,42.4
美国ISM制造业PMI报告,1971-01-01,45.4,,39.7
美国ISM制造业PMI报告,1971-02-01,47.9,,45.4
美国ISM制造业PMI报告,1971-03-01,54.8,,47.9
美国ISM制造业PMI报告,1971-04-01,51.2,,54.8
美国ISM制造业PMI报告,1971-05-01,54.5,,51.2
美国ISM制造业PMI报告,1971-06-01,54.2,,54.5
美国ISM制造业PMI报告,1971-07-01,53.8,,54.2
美国ISM制造业PMI报告,1971-08-01,54.4,,53.8
美国ISM制造业PMI报告,1971-09-01,53.6,,54.4
美国ISM制造业PMI报告,1971-10-01,55.1,,53.6
美国ISM制造业PMI报告,1971-11-01,55.0,,55.1
美国ISM制造业PMI报告,1971-12-01,52.3,,55.0
美国ISM制造业PMI报告,1972-01-01,57.6,,52.3
美国ISM制造业PMI报告,1972-02-01,59.6,,57.6
美国ISM制造业PMI报告,1972-03-01,60.6,,59.6
美国ISM制造业PMI报告,1972-04-01,59.8,,60.6
美国ISM制造业PMI报告,1972-05-01,59.3,,59.8
美国ISM制造业PMI报告,1972-06-01,61.4,,59.3
美国ISM制造业PMI报告,1972-07-01,58.6,,61.4
美国ISM制造业PMI报告,1972-08-01,60.1,,58.6
美国ISM制造业PMI报告,1972-09-01,61.7,,60.1
美国ISM制造业PMI报告,1972-10-01,65.1,,61.7
美国ISM制造业PMI报告,1972-11-01,67.0,,65.1
美国ISM制造业PMI报告,1972-12-01,69.9,,67.0
美国ISM制造业PMI报告,1973-01-01,70.5,,69.9
