商品,日期,今值,预测值,前值
美国挑战者企业裁员人数,1994-02-01,10.89,,
美国挑战者企业裁员人数,1994-03-01,3.46,,10.89
美国挑战者企业裁员人数,1994-04-01,4.9,,3.46
美国挑战者企业裁员人数,1994-05-01,3.61,,4.9
美国挑战者企业裁员人数,1994-06-01,3.63,,3.61
美国挑战者企业裁员人数,1994-07-01,3.5,,3.63
美国挑战者企业裁员人数,1994-08-01,1.91,,3.5
美国挑战者企业裁员人数,1994-09-01,4.64,,1.91
美国挑战者企业裁员人数,1994-10-01,5.22,,4.64
美国挑战者企业裁员人数,1994-11-01,4.24,,5.22
美国挑战者企业裁员人数,1994-12-01,2.85,,4.24
美国挑战者企业裁员人数,1995-01-01,2.75,,2.85
美国挑战者企业裁员人数,1995-02-01,3.9,,2.75
美国挑战者企业裁员人数,1995-03-01,3.09,,3.9
美国挑战者企业裁员人数,1995-04-01,2.78,,3.09
美国挑战者企业裁员人数,1995-05-01,1.57,,2.78
美国挑战者企业裁员人数,1995-06-01,5.85,,1.57
美国挑战者企业裁员人数,1995-07-01,4.04,,5.85
美国挑战者企业裁员人数,1995-08-01,2.33,,4.04
美国挑战者企业裁员人数,1995-09-01,3.33,,2.33
美国挑战者企业裁员人数,1995-10-01,3.32,,3.33
美国挑战者企业裁员人数,1995-11-01,4.13,,3.32
美国挑战者企业裁员人数,1995-12-01,4.13,,4.13
美国挑战者企业裁员人数,1996-01-01,5.52,,4.13
美国挑战者企业裁员人数,1996-02-01,9.74,,5.52
美国挑战者企业裁员人数,1996-03-01,3.38,,9.74
美国挑战者企业裁员人数,1996-04-01,3.75,,3.38
美国挑战者企业裁员人数,1996-05-01,3.08,,3.75
美国挑战者企业裁员人数,1996-06-01,3.08,,3.08
美国挑战者企业裁员人数,1996-07-01,4.02,,3.08
美国挑战者企业裁员人数,1996-08-01,4.18,,4.02
美国挑战者企业裁员人数,1996-09-01,2.03,,4.18
美国挑战者企业裁员人数,1996-10-01,2.96,,2.03
美国挑战者企业裁员人数,1996-11-01,4.79,,2.96
美国挑战者企业裁员人数,1996-12-01,2.95,,4.79
美国挑战者企业裁员人数,1997-01-01,3.74,,2.95
美国挑战者企业裁员人数,1997-02-01,4.36,,3.74
美国挑战者企业裁员人数,1997-03-01,4.05,,4.36
美国挑战者企业裁员人数,1997-04-01,5.02,,4.05
美国挑战者企业裁员人数,1997-05-01,1.52,,5.02
美国挑战者企业裁员人数,1997-06-01,2.1,,1.52
美国挑战者企业裁员人数,1997-07-01,1.51,,2.1
美国挑战者企业裁员人数,1997-08-01,4.83,,1.51
美国挑战者企业裁员人数,1997-09-01,2.69,,4.83
美国挑战者企业裁员人数,1997-10-01,2.07,,2.69
美国挑战者企业裁员人数,1997-11-01,4.73,,2.07
美国挑战者企业裁员人数,1997-12-01,4.72,,4.73
美国挑战者企业裁员人数,1998-01-01,5.83,,4.72
美国挑战者企业裁员人数,1998-02-01,7.22,,5.83
美国挑战者企业裁员人数,1998-03-01,4.39,,7.22
美国挑战者企业裁员人数,1998-04-01,2.3,,4.39
美国挑战者企业裁员人数,1998-05-01,4.88,,2.3
美国挑战者企业裁员人数,1998-06-01,2.76,,4.88
美国挑战者企业裁员人数,1998-07-01,5.49,,2.76
美国挑战者企业裁员人数,1998-08-01,5.08,,5.49
美国挑战者企业裁员人数,1998-09-01,3.72,,5.08
美国挑战者企业裁员人数,1998-10-01,7.31,,3.72
美国挑战者企业裁员人数,1998-11-01,9.15,,7.31
美国挑战者企业裁员人数,1998-12-01,5.16,,9.15
美国挑战者企业裁员人数,1999-01-01,10.32,,5.16
美国挑战者企业裁员人数,1999-02-01,7.97,,10.32
美国挑战者企业裁员人数,1999-03-01,6.19,,7.97
美国挑战者企业裁员人数,1999-04-01,6.9,,6.19
美国挑战者企业裁员人数,1999-05-01,5.44,,6.9
美国挑战者企业裁员人数,1999-06-01,5.52,,5.44
美国挑战者企业裁员人数,1999-07-01,6.34,,5.52
美国挑战者企业裁员人数,1999-08-01,5.47,,6.34
美国挑战者企业裁员人数,1999-09-01,5.73,,5.47
美国挑战者企业裁员人数,1999-10-01,6.12,,5.73
美国挑战者企业裁员人数,1999-11-01,2.28,,6.12
美国挑战者企业裁员人数,1999-12-01,5.09,,2.28
美国挑战者企业裁员人数,2000-01-01,4.47,,5.09
美国挑战者企业裁员人数,2000-02-01,5.06,,4.47
美国挑战者企业裁员人数,2000-03-01,3.54,,5.06
美国挑战者企业裁员人数,2000-04-01,5.58,,3.54
美国挑战者企业裁员人数,2000-05-01,3.73,,5.58
美国挑战者企业裁员人数,2000-06-01,2.7,,3.73
美国挑战者企业裁员人数,2000-07-01,1.72,,2.7
美国挑战者企业裁员人数,2000-08-01,6.4,,1.72
美国挑战者企业裁员人数,2000-09-01,5.72,,6.4
美国挑战者企业裁员人数,2000-10-01,4.77,,5.72
美国挑战者企业裁员人数,2000-11-01,4.38,,4.77
美国挑战者企业裁员人数,2000-12-01,4.42,,4.38
美国挑战者企业裁员人数,2001-01-01,13.37,,4.42
美国挑战者企业裁员人数,2001-02-01,14.221,,13.37
美国挑战者企业裁员人数,2001-03-01,10.173,,14.221
美国挑战者企业裁员人数,2001-04-01,16.287,,10.173
美国挑战者企业裁员人数,2001-05-01,16.556,,16.287
美国挑战者企业裁员人数,2001-06-01,8.014,,16.556
美国挑战者企业裁员人数,2001-07-01,12.485,,8.014
美国挑战者企业裁员人数,2001-08-01,20.598,,12.485
美国挑战者企业裁员人数,2001-09-01,14.002,,20.598
美国挑战者企业裁员人数,2001-10-01,24.833,,14.002
美国挑战者企业裁员人数,2001-11-01,24.219,,24.833
美国挑战者企业裁员人数,2001-12-01,18.141,,24.219
美国挑战者企业裁员人数,2002-01-01,16.158,,18.141
美国挑战者企业裁员人数,2002-02-01,24.848,,16.158
美国挑战者企业裁员人数,2002-03-01,12.812,,24.848
美国挑战者企业裁员人数,2002-04-01,10.232,,12.812
美国挑战者企业裁员人数,2002-05-01,11.265,,10.232
