商品,日期,今值,预测值,前值
美联储劳动力市场状况指数,2014-10-06,2.5,,
美联储劳动力市场状况指数,2014-11-10,4.0,,4.0
美联储劳动力市场状况指数,2014-12-08,2.9,,3.9
美联储劳动力市场状况指数,2015-01-12,6.1,,5.5
美联储劳动力市场状况指数,2015-02-09,4.9,,7.3
美联储劳动力市场状况指数,2015-03-09,4.0,,4.9
美联储劳动力市场状况指数,2015-04-06,-0.3,,2.0
美联储劳动力市场状况指数,2015-05-11,-1.9,,-1.8
美联储劳动力市场状况指数,2015-06-08,1.3,,-0.5
美联储劳动力市场状况指数,2015-07-06,0.8,2.0,0.9
美联储劳动力市场状况指数,2015-08-10,1.1,1.0,1.4
美联储劳动力市场状况指数,2015-09-08,2.1,1.5,1.8
美联储劳动力市场状况指数,2015-10-05,0.0,,1.2
美联储劳动力市场状况指数,2015-11-09,1.6,0.9,1.3
美联储劳动力市场状况指数,2015-12-07,0.5,1.6,2.2
美联储劳动力市场状况指数,2016-01-11,2.9,0.0,2.7
美联储劳动力市场状况指数,2016-02-08,0.4,2.5,2.3
美联储劳动力市场状况指数,2016-03-07,-2.4,1.0,-0.8
美联储劳动力市场状况指数,2016-04-04,-2.1,1.5,-2.5
美联储劳动力市场状况指数,2016-05-09,-0.9,-1.0,-2.1
美联储劳动力市场状况指数,2016-06-06,-4.8,-0.8,-3.4
美联储劳动力市场状况指数,2016-07-11,-1.9,0.0,-3.6
美联储劳动力市场状况指数,2016-08-08,1.0,,-0.1
美联储劳动力市场状况指数,2016-09-06,-0.7,0.0,1.0
美联储劳动力市场状况指数,2016-10-11,-2.2,,-1.3
美联储劳动力市场状况指数,2016-11-07,0.7,,-0.1
美联储劳动力市场状况指数,2016-12-05,1.5,,1.4
美联储劳动力市场状况指数,2017-01-09,-0.3,,2.1
美联储劳动力市场状况指数,2017-02-06,1.3,,0.6
美联储劳动力市场状况指数,2017-03-17,1.3,,1.3
美联储劳动力市场状况指数,2017-04-10,0.4,,1.5
美联储劳动力市场状况指数,2017-05-08,3.5,,3.6
美联储劳动力市场状况指数,2017-06-16,2.3,3.0,3.5
美联储劳动力市场状况指数,2017-07-10,1.5,2.5,3.3
