商品,日期,今值,预测值,前值
美国密歇根大学消费者信心指数初值报告,1970-03-01,78.1,,
美国密歇根大学消费者信心指数初值报告,1970-06-01,75.4,,78.1
美国密歇根大学消费者信心指数初值报告,1970-09-01,77.6,,75.4
美国密歇根大学消费者信心指数初值报告,1970-12-01,72.4,,77.6
美国密歇根大学消费者信心指数初值报告,1971-03-01,78.1,,72.4
美国密歇根大学消费者信心指数初值报告,1971-06-01,80.2,,78.1
美国密歇根大学消费者信心指数初值报告,1971-09-01,82.1,,80.2
美国密歇根大学消费者信心指数初值报告,1971-12-01,82.0,,82.1
美国密歇根大学消费者信心指数初值报告,1972-03-01,92.8,,82.0
美国密歇根大学消费者信心指数初值报告,1972-06-01,88.6,,92.8
美国密歇根大学消费者信心指数初值报告,1972-09-01,95.2,,88.6
美国密歇根大学消费者信心指数初值报告,1972-12-01,90.7,,95.2
美国密歇根大学消费者信心指数初值报告,1973-03-01,81.9,,90.7
美国密歇根大学消费者信心指数初值报告,1973-06-01,77.0,,81.9
美国密歇根大学消费者信心指数初值报告,1973-09-01,72.0,,77.0
美国密歇根大学消费者信心指数初值报告,1973-12-01,76.5,,72.0
美国密歇根大学消费者信心指数初值报告,1974-03-01,61.8,,76.5
美国密歇根大学消费者信心指数初值报告,1974-06-01,72.1,,61.8
美国密歇根大学消费者信心指数初值报告,1974-09-01,64.4,,72.1
美国密歇根大学消费者信心指数初值报告,1974-12-01,59.5,,64.4
美国密歇根大学消费者信心指数初值报告,1975-03-01,57.6,,59.5
美国密歇根大学消费者信心指数初值报告,1975-06-01,72.8,,57.6
美国密歇根大学消费者信心指数初值报告,1975-09-01,75.7,,72.8
美国密歇根大学消费者信心指数初值报告,1975-12-01,75.6,,75.7
美国密歇根大学消费者信心指数初值报告,1976-03-01,84.6,,75.6
美国密歇根大学消费者信心指数初值报告,1976-06-01,83.3,,84.6
美国密歇根大学消费者信心指数初值报告,1976-09-01,89.7,,83.3
美国密歇根大学消费者信心指数初值报告,1976-12-01,87.0,,89.7
美国密歇根大学消费者信心指数初值报告,1977-03-01,87.1,,87.0
美国密歇根大学消费者信心指数初值报告,1977-06-01,90.2,,87.1
美国密歇根大学消费者信心指数初值报告,1977-09-01,89.0,,90.2
美国密歇根大学消费者信心指数初值报告,1977-12-01,84.4,,89.0
美国密歇根大学消费者信心指数初值报告,1978-02-01,83.7,,84.4
美国密歇根大学消费者信心指数初值报告,1978-03-01,84.3,,83.7
美国密歇根大学消费者信心指数初值报告,1978-04-01,78.8,,84.3
美国密歇根大学消费者信心指数初值报告,1978-05-01,81.6,,78.8
美国密歇根大学消费者信心指数初值报告,1978-06-01,82.9,,81.6
美国密歇根大学消费者信心指数初值报告,1978-07-01,80.0,,82.9
美国密歇根大学消费者信心指数初值报告,1978-08-01,82.4,,80.0
美国密歇根大学消费者信心指数初值报告,1978-09-01,78.4,,82.4
美国密歇根大学消费者信心指数初值报告,1978-10-01,80.4,,78.4
美国密歇根大学消费者信心指数初值报告,1978-11-01,79.3,,80.4
美国密歇根大学消费者信心指数初值报告,1978-12-01,75.0,,79.3
美国密歇根大学消费者信心指数初值报告,1979-01-01,66.1,,75.0
美国密歇根大学消费者信心指数初值报告,1979-02-01,72.1,,66.1
美国密歇根大学消费者信心指数初值报告,1979-03-01,73.9,,72.1
美国密歇根大学消费者信心指数初值报告,1979-04-01,68.4,,73.9
美国密歇根大学消费者信心指数初值报告,1979-05-01,66.0,,68.4
美国密歇根大学消费者信心指数初值报告,1979-06-01,68.1,,66.0
美国密歇根大学消费者信心指数初值报告,1979-07-01,65.8,,68.1
美国密歇根大学消费者信心指数初值报告,1979-08-01,60.4,,65.8
美国密歇根大学消费者信心指数初值报告,1979-09-01,64.5,,60.4
美国密歇根大学消费者信心指数初值报告,1979-10-01,66.7,,64.5
美国密歇根大学消费者信心指数初值报告,1979-11-01,62.1,,66.7
美国密歇根大学消费者信心指数初值报告,1979-12-01,63.3,,62.1
美国密歇根大学消费者信心指数初值报告,1980-01-01,61.0,,63.3
美国密歇根大学消费者信心指数初值报告,1980-02-01,67.0,,61.0
美国密歇根大学消费者信心指数初值报告,1980-03-01,66.9,,67.0
美国密歇根大学消费者信心指数初值报告,1980-04-01,56.5,,66.9
美国密歇根大学消费者信心指数初值报告,1980-05-01,52.7,,56.5
美国密歇根大学消费者信心指数初值报告,1980-06-01,51.7,,52.7
美国密歇根大学消费者信心指数初值报告,1980-07-01,58.7,,51.7
美国密歇根大学消费者信心指数初值报告,1980-08-01,62.3,,58.7
美国密歇根大学消费者信心指数初值报告,1980-09-01,67.3,,62.3
美国密歇根大学消费者信心指数初值报告,1980-10-01,73.7,,67.3
美国密歇根大学消费者信心指数初值报告,1980-11-01,75.0,,73.7
美国密歇根大学消费者信心指数初值报告,1980-12-01,76.7,,75.0
美国密歇根大学消费者信心指数初值报告,1981-01-01,64.5,,76.7
美国密歇根大学消费者信心指数初值报告,1981-02-01,71.4,,64.5
美国密歇根大学消费者信心指数初值报告,1981-03-01,66.9,,71.4
美国密歇根大学消费者信心指数初值报告,1981-04-01,66.5,,66.9
美国密歇根大学消费者信心指数初值报告,1981-05-01,72.4,,66.5
美国密歇根大学消费者信心指数初值报告,1981-06-01,76.3,,72.4
美国密歇根大学消费者信心指数初值报告,1981-07-01,73.1,,76.3
美国密歇根大学消费者信心指数初值报告,1981-08-01,74.1,,73.1
美国密歇根大学消费者信心指数初值报告,1981-09-01,77.2,,74.1
美国密歇根大学消费者信心指数初值报告,1981-10-01,73.1,,77.2
美国密歇根大学消费者信心指数初值报告,1981-11-01,70.3,,73.1
美国密歇根大学消费者信心指数初值报告,1981-12-01,62.5,,70.3
美国密歇根大学消费者信心指数初值报告,1982-01-01,64.3,,62.5
美国密歇根大学消费者信心指数初值报告,1982-02-01,71.0,,64.3
美国密歇根大学消费者信心指数初值报告,1982-03-01,66.5,,71.0
美国密歇根大学消费者信心指数初值报告,1982-04-01,62.0,,66.5
美国密歇根大学消费者信心指数初值报告,1982-05-01,65.5,,62.0
美国密歇根大学消费者信心指数初值报告,1982-06-01,67.5,,65.5
美国密歇根大学消费者信心指数初值报告,1982-07-01,65.7,,67.5
美国密歇根大学消费者信心指数初值报告,1982-08-01,65.4,,65.7
美国密歇根大学消费者信心指数初值报告,1982-09-01,65.4,,65.4
美国密歇根大学消费者信心指数初值报告,1982-10-01,69.3,,65.4
美国密歇根大学消费者信心指数初值报告,1982-11-01,73.4,,69.3
美国密歇根大学消费者信心指数初值报告,1982-12-01,72.1,,73.4
美国密歇根大学消费者信心指数初值报告,1983-01-01,71.9,,72.1
美国密歇根大学消费者信心指数初值报告,1983-02-01,70.4,,71.9
美国密歇根大学消费者信心指数初值报告,1983-03-01,74.6,,70.4
美国密歇根大学消费者信心指数初值报告,1983-04-01,80.8,,74.6
美国密歇根大学消费者信心指数初值报告,1983-05-01,89.1,,80.8
美国密歇根大学消费者信心指数初值报告,1983-06-01,93.3,,89.1
美国密歇根大学消费者信心指数初值报告,1983-07-01,92.2,,93.3
美国密歇根大学消费者信心指数初值报告,1983-08-01,92.8,,92.2
美国密歇根大学消费者信心指数初值报告,1983-09-01,90.9,,92.8
